review_id,license_number,product_id,issue_type,raw_value,standard_value,source,reason
review_unknown_0001,衛署藥輸字第024751號,eye_formal_139,unknown_substance_role,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7H3SXF10-15),sodium carboxymethylcellulose (type 7h3sxf10-15),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0002,衛署藥輸字第024751號,eye_formal_139,unknown_substance_role,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7M8SFPH),sodium carboxymethylcellulose (type 7m8sfph),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0003,衛部藥製字第058129號,eye_formal_149,unknown_substance_role,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),tetracycline hcl (eq to tetracycline hydrochloride),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0004,衛署藥製字第052555號,eye_formal_150,unknown_substance_role,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),tetracycline hcl (eq to tetracycline hydrochloride),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0005,衛署藥輸字第016492號,eye_formal_170,unknown_substance_role,PROPARACAINE HCL,proparacaine hcl,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0006,衛署藥輸字第023521號,eye_formal_171,unknown_substance_role,PEMIROLAST POTASSIUM,pemirolast potassium,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0007,衛署藥製字第048389號,eye_formal_186,unknown_substance_role,CHLORHEXIDINE GLUCONATE,chlorhexidine gluconate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0008,衛署藥製字第048471號,eye_formal_192,unknown_substance_role,20% CHLORHEXIDINE GLUCONATE SOLUTION,20% chlorhexidine gluconate solution,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0009,衛署藥輸字第023384號,eye_formal_200,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0010,衛部藥輸字第028848號,eye_formal_208,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0011,衛署藥製字第047554號,eye_formal_209,unknown_substance_role,EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE),ephedrine hcl (eq to ephedrine hydrochloride),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0012,衛署藥製字第004887號,eye_formal_242,unknown_substance_role,TETRACAINE HCL,tetracaine hcl,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0013,衛署藥製字第048362號,eye_formal_255,unknown_substance_role,DIPIVEFRIN HCL,dipivefrin hcl,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0014,衛部藥輸字第027906號,eye_formal_262,unknown_substance_role,Omidenepag isopropyl,omidenepag isopropyl,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0015,衛署藥製字第057881號,eye_formal_269,unknown_substance_role,EMEDASTINE (AS DIFUMARATE),emedastine (as difumarate),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0016,衛部藥輸字第028623號,eye_formal_270,unknown_substance_role,Omidenepag isopropyl,omidenepag isopropyl,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0017,衛署藥輸字第025668號,eye_formal_271,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0018,衛署藥製字第036634號,eye_formal_277,unknown_substance_role,POVIDONE (EQ TO POLYVINYL PYRROLIDONE)( EQ TO PVP ) ( EQ TO POLYVIDONE)(EQ TO POLYVINYLPYRROLIDONE),povidone (eq to polyvinyl pyrrolidone)( eq to pvp ) ( eq to polyvidone)(eq to polyvinylpyrrolidone),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0019,衛署藥製字第036634號,eye_formal_277,unknown_substance_role,POLYVINYL ALCOHOL,polyvinyl alcohol,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0020,內衛藥製字第010694號,eye_formal_291,unknown_substance_role,CHLOROBUTANOL (TRICHLORISOBUTYLIC ALCOHOL),chlorobutanol (trichlorisobutylic alcohol),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0021,衛署藥製字第055938號,eye_formal_297,unknown_substance_role,POLYVINYL ALCOHOL,polyvinyl alcohol,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0022,衛署藥製字第038193號,eye_formal_298,unknown_substance_role,IDOXURIDINE,idoxuridine,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0023,衛署藥輸字第025973號,eye_formal_299,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0024,衛部藥製字第062373號,eye_formal_152,unknown_substance_role,,unknown,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0025,衛部藥輸字第026905號,eye_formal_302,unknown_substance_role,SODIUM BICARBONATE ( EQ TO SODIUM HYDROGEN CARBONATE),sodium bicarbonate ( eq to sodium hydrogen carbonate),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0026,衛署藥製字第037677號,eye_formal_305,unknown_substance_role,EDETATE DISODIUM DIHYDRATE (EQ TO DISODIUM EDETATE DIHYDRATE),edetate disodium dihydrate (eq to disodium edetate dihydrate),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0027,衛署藥製字第037677號,eye_formal_305,unknown_substance_role,SORBIC ACID,sorbic acid,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0028,內衛藥製字第001905號,eye_formal_306,unknown_substance_role,PANTOTHENYL ALCOHOL D-,pantothenyl alcohol d-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0029,衛署藥輸字第025644號,eye_formal_311,unknown_substance_role,RETINOL PALMITATE,retinol palmitate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0030,衛署藥輸字第025666號,eye_formal_313,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0031,衛署藥輸字第024644號,eye_formal_316,unknown_substance_role,AMINOETHYLSULFONIC ACID,aminoethylsulfonic acid,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0032,衛署藥輸字第025769號,eye_formal_319,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0033,衛署藥製字第022473號,eye_formal_331,unknown_substance_role,SODIUM BORATE DECAHYDRATE (BORAX),sodium borate decahydrate (borax),core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0034,衛署藥製字第022473號,eye_formal_331,unknown_substance_role,BENZALKONIUM CHLORIDE,benzalkonium chloride,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0035,衛部藥輸字第027549號,eye_formal_338,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0036,衛部藥輸字第027549號,eye_formal_338,unknown_substance_role,DL-ALPHA-TOCOPHERYL ACETATE,dl-alpha-tocopheryl acetate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0037,衛部藥輸字第027567號,eye_formal_341,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0038,衛部藥輸字第027567號,eye_formal_341,unknown_substance_role,RETINOL PALMITATE,retinol palmitate,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
review_unknown_0039,衛部藥輸字第027573號,eye_formal_342,unknown_substance_role,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,core eye_core_ingredient_review.csv,role_in_product is unknown in production; not exported as active ingredient
