product_substance_id,product_id,license_number,substance_id,substance_raw,substance_normalized,substance_role,strength,unit,confirmed_status,source,formulation_function
ps_001_01,eye_formal_001,衛署藥輸字第022362號,sub_0001,SODIUM CARBOXYMETHYL CELLULOSE,carboxymethylcellulose,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_002_01,eye_formal_002,衛署藥輸字第023814號,sub_0001,SODIUM CARBOXYMETHYL CELLULOSE,carboxymethylcellulose,active,10.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_003_01,eye_formal_003,衛署藥輸字第025921號,sub_0002,CARBOMER (CARBOPOL 980 NF),carbomer,active,2.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_004_01,eye_formal_004,衛部藥輸字第026529號,sub_0001,CARBOXYMETHYLCELLULOSE SODIUM (EQ TO SODIUM CARBOXYMETHYLCELLULOSE),carboxymethylcellulose,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_004_02,eye_formal_004,衛部藥輸字第026529號,sub_0003,GLYCERIN (eq to GLYCEROL),glycerin,active,10.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_006_01,eye_formal_005,衛署藥製字第057143號,sub_0004,KETOTIFEN FUMARATE,ketotifen,active,0.345000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_007_01,eye_formal_006,衛署藥製字第039964號,sub_0005,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),cromolyn,active,20.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_008_01,eye_formal_007,衛署藥製字第055260號,sub_0006,TOBRAMYCIN,tobramycin,active,3.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_009_01,eye_formal_008,衛署藥輸字第024011號,sub_0007,MOXIFLOXACIN HYDROCHLORIDE,moxifloxacin,active,5.450000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_010_01,eye_formal_009,衛署藥輸字第025438號,sub_0008,BESIFLOXACIN HYDROCHLORIDE,besifloxacin,active,6.630000,MG/ML,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_011_01,eye_formal_010,衛署藥製字第049558號,sub_0009,ACYCLOVIR,acyclovir,active,30.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_012_01,eye_formal_011,衛署藥製字第049530號,sub_0010,FLUOROMETHOLONE,fluorometholone,active,1.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_012_02,eye_formal_011,衛署藥製字第049530號,sub_0011,TETRAHYDROZOLINE HCL,tetrahydrozoline,active,0.250000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_013_01,eye_formal_012,衛署藥製字第049561號,sub_0012,PREDNISOLONE ACETATE,prednisolone,active,10.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_014_01,eye_formal_013,衛署藥製字第044245號,sub_0013,DICLOFENAC SODIUM,diclofenac,active,1.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_015_01,eye_formal_014,衛署藥輸字第024795號,sub_0014,NEPAFENAC,nepafenac,active,1.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_016_01,eye_formal_015,衛部藥製字第061872號,sub_0015,KETOROLAC TROMETHAMINE,ketorolac,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_017_01,eye_formal_016,衛署藥輸字第023337號,sub_0016,DORZOLAMIDE HYDROCHLORIDE,dorzolamide,active,22.260000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_017_02,eye_formal_016,衛署藥輸字第023337號,sub_0017,TIMOLOL MALEATE,timolol,active,6.830000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_018_01,eye_formal_017,衛部藥輸字第026615號,sub_0018,TAFLUPROST,tafluprost,active,0.015000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_019_01,eye_formal_018,衛部藥輸字第026770號,sub_0018,TAFLUPROST,tafluprost,active,0.015000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_019_02,eye_formal_018,衛部藥輸字第026770號,sub_0017,TIMOLOL MALEATE,timolol,active,6.840000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_020_01,eye_formal_019,衛部藥輸字第026260號,sub_0019,BIMATOPROST,bimatoprost,active,0.300000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_021_01,eye_formal_020,衛署藥製字第035597號,sub_0020,TROPICAMIDE,tropicamide,active,4.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_022_01,eye_formal_021,衛部藥製字第060272號,sub_0021,ATROPINE SULFATE,atropine,active,0.100000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_023_01,eye_formal_022,衛署藥輸字第005728號,sub_0020,TROPICAMIDE,tropicamide,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_023_02,eye_formal_022,衛署藥輸字第005728號,sub_0022,PHENYLEPHRINE HCL,phenylephrine,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_024_01,eye_formal_023,衛署藥輸字第021271號,sub_0023,DEXPANTHENOL,dexpanthenol,active,50.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_025_01,eye_formal_024,衛署藥輸字第016765號,sub_0024,DEXAMETHASONE,dexamethasone,active,1.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_025_02,eye_formal_024,衛署藥輸字第016765號,sub_0025,NEOMYCIN (SULFATE),neomycin,active,3.500000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_025_03,eye_formal_024,衛署藥輸字第016765號,sub_0026,POLYMYXIN B SULFATE,polymyxin b,active,6000.000000,I.U.,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_026_01,eye_formal_025,衛署藥輸字第016876號,sub_0024,DEXAMETHASONE,dexamethasone,active,1.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_026_02,eye_formal_025,衛署藥輸字第016876號,sub_0025,NEOMYCIN SULFATE,neomycin,active,3500.000000,I.U.,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_026_03,eye_formal_025,衛署藥輸字第016876號,sub_0026,POLYMYXIN B SULFATE,polymyxin b,active,6000.000000,I.U.,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_027_01,eye_formal_026,衛署藥製字第003871號,sub_0027,ERYTHROMYCIN (LACTOBIONATE),erythromycin,active,10.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_028_01,eye_formal_027,衛署藥輸字第016894號,sub_0028,NATAMYCIN,natamycin,active,50.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_029_01,eye_formal_028,衛署藥製字第022198號,sub_0029,GENTAMICIN (AS SULFATE),gentamicin,active,3.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_030_01,eye_formal_029,衛部藥輸字第026371號,sub_0030,CHONDROITIN SULFATE SODIUM (EQ TO SODIUM CHONDROITIN SULFATE ),chondroitin sulfate,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_030_06,eye_formal_029,衛部藥輸字第026371號,sub_0031,HYPROMELLOSE,hypromellose,active,2.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_031_01,eye_formal_030,衛部藥輸字第027112號,sub_0032,HYALURONATE SODIUM ( EQ TO SODIUM HYALURONATE ),sodium hyaluronate,active,1.500000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_031_02,eye_formal_030,衛部藥輸字第027112號,sub_0033,POLYETHYLENE GLYCOL 400,polyethylene glycol 400,active,4.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_031_03,eye_formal_030,衛部藥輸字第027112號,sub_0034,PROPYLENE GLYCOL,propylene glycol,active,3.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_032_01,eye_formal_031,衛部藥輸字第028267號,sub_0034,"PROPYLENE GLYCOL (EQ TO 1,2-DIHYDROXYPROPANE)(EQ TO 1,2-PROPANEDIOL)",propylene glycol,active,6.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_033_01,eye_formal_032,衛署藥輸字第025042號,sub_0033,POLYETHYLENE GLYCOL 400,polyethylene glycol 400,active,4.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_033_02,eye_formal_032,衛署藥輸字第025042號,sub_0034,PROPYLENE GLYCOL,propylene glycol,active,3.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_034_01,eye_formal_033,衛署藥輸字第023892號,sub_0005,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),cromolyn,active,20.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_035_01,eye_formal_034,衛署藥輸字第020121號,sub_0005,CROMOLYN SODIUM (EQ TO SODIUM CROMOGLICATE)(EQ TO SODIUM CROMOGLYCATE),cromolyn,active,20.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_036_01,eye_formal_035,衛部藥製字第060876號,sub_0004,Ketotifen Hydrogen Fumarate,ketotifen,active,0.345000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_037_01,eye_formal_036,衛部藥輸字第028362號,sub_0007,MOXIFLOXACIN HYDROCHLORIDE,moxifloxacin,active,5.450000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_038_01,eye_formal_037,衛部藥製字第058636號,sub_0035,BETAMETHASONE SODIUM PHOSPHATE,betamethasone,active,1.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_038_02,eye_formal_037,衛部藥製字第058636號,sub_0025,NEOMYCIN SULFATE,neomycin,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_039_01,eye_formal_038,衛署藥製字第043124號,sub_0013,DICLOFENAC SODIUM,diclofenac,active,1.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_040_01,eye_formal_039,衛署藥製字第049328號,sub_0015,KETOROLAC TROMETHAMINE,ketorolac,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_041_01,eye_formal_040,衛署藥輸字第024766號,sub_0036,TRAVOPROST,travoprost,active,0.040000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_041_02,eye_formal_040,衛署藥輸字第024766號,sub_0037,TIMOLOL,timolol,active,5.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_042_01,eye_formal_041,衛部藥輸字第027825號,sub_0038,LATANOPROSTENE BUNOD,latanoprostene bunod,active,0.240000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_043_01,eye_formal_042,衛署藥輸字第025377號,sub_0018,TAFLUPROST,tafluprost,active,0.015000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_044_01,eye_formal_043,衛署藥輸字第016711號,sub_0020,TROPICAMIDE,tropicamide,active,10.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_045_01,eye_formal_044,衛署藥製字第037924號,sub_0039,NORFLOXACIN (BACCIDAL),norfloxacin,active,3.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_046_01,eye_formal_045,衛署藥輸字第025922號,sub_0002,CARBOMER (CARBOPOL 980 NF),carbomer,active,2.000000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_047_01,eye_formal_046,衛部藥製字第060271號,sub_0016,DORZOLAMIDE HYDROCHLORIDE,dorzolamide,active,22.300000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_047_02,eye_formal_046,衛部藥製字第060271號,sub_0017,TIMOLOL MALEATE,timolol,active,6.830000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
ps_048_01,eye_formal_047,衛部藥輸字第028400號,sub_0040,LATANOPROST,latanoprost,active,0.050000,MG,confirmed,TFDA Open Data InfoId=43 處方成分明細資料集,
