substance_id,standard_name,chinese_name,base_ingredient_name,salt_ester_hydrate_form,default_role
sub_0001,carboxymethylcellulose,羧甲基纖維素鈉,carboxymethylcellulose,sodium,active
sub_0002,carbomer,卡波姆,carbomer,,active
sub_0003,glycerin,甘油,glycerin,,active
sub_0004,ketotifen,酮替芬,ketotifen,fumarate,active
sub_0005,cromolyn,色甘酸,cromolyn,sodium,active
sub_0006,tobramycin,妥布黴素,tobramycin,,active
sub_0007,moxifloxacin,莫西沙星,moxifloxacin,hydrochloride,active
sub_0008,besifloxacin,貝西沙星,besifloxacin,hydrochloride,active
sub_0009,acyclovir,阿昔洛韋,acyclovir,,active
sub_0010,fluorometholone,氟米龍,fluorometholone,,active
sub_0011,tetrahydrozoline,四氫唑啉,tetrahydrozoline,hcl,active
sub_0012,prednisolone,潑尼松龍,prednisolone,acetate,active
sub_0013,diclofenac,雙氯芬酸,diclofenac,sodium,active
sub_0014,nepafenac,奈帕芬胺,nepafenac,,active
sub_0015,ketorolac,酮咯酸,ketorolac,tromethamine,active
sub_0016,dorzolamide,多佐胺,dorzolamide,hydrochloride,active
sub_0017,timolol,噻嗎洛爾,timolol,maleate,active
sub_0018,tafluprost,他氟前列素,tafluprost,,active
sub_0019,bimatoprost,比馬前列素,bimatoprost,,active
sub_0020,tropicamide,托吡卡胺,tropicamide,,active
sub_0021,atropine,阿托品,atropine,sulfate,active
sub_0022,phenylephrine,去氧腎上腺素,phenylephrine,hcl,active
sub_0023,dexpanthenol,右泛醇,dexpanthenol,,active
sub_0024,dexamethasone,地塞米松,dexamethasone,,active
sub_0025,neomycin,新黴素,neomycin,sulfate,active
sub_0026,polymyxin b,多黏菌素B,polymyxin b,sulfate,active
sub_0027,erythromycin,紅黴素,erythromycin,,active
sub_0028,natamycin,那他黴素,natamycin,,active
sub_0029,gentamicin,慶大黴素,gentamicin,sulfate,active
sub_0030,chondroitin sulfate,硫酸軟骨素,chondroitin sulfate,sulfate; sodium,active
sub_0031,hypromellose,羥丙甲纖維素,hypromellose,,active
sub_0032,sodium hyaluronate,玻尿酸鈉,sodium hyaluronate,sodium,active
sub_0033,polyethylene glycol 400,聚乙二醇400,polyethylene glycol 400,,active
sub_0034,propylene glycol,丙二醇,propylene glycol,,active
sub_0035,betamethasone,倍他米松,betamethasone,sodium,active
sub_0036,travoprost,曲伏前列素,travoprost,,active
sub_0037,timolol,噻嗎洛爾,timolol,,active
sub_0038,latanoprostene bunod,拉坦前列素布諾,latanoprostene bunod,,active
sub_0039,norfloxacin,諾氟沙星,norfloxacin,,active
sub_0040,latanoprost,拉坦前列素,latanoprost,,active
sub_0041,lifitegrast,利非格司,lifitegrast,,active
sub_0042,bacitracin,桿菌肽,bacitracin,,active
sub_0043,tetracycline,四環素,tetracycline,hcl,active
sub_0044,chloramphenicol,氯黴素,chloramphenicol,,active
sub_0045,pirfenoxone,吡非諾酮,pirfenoxone,,active
sub_0046,loteprednol,氯替潑諾,loteprednol,,active
sub_0047,brinzolamide,布林佐胺,brinzolamide,,active
sub_0048,betaxolol,倍他洛爾,betaxolol,hcl,active
sub_0049,cyclosporine,環孢素,cyclosporine,,active
sub_0050,mineral oil,礦物油,mineral oil,,active
sub_0051,light mineral oil,輕質礦物油,light mineral oil,,active
sub_0052,brimonidine,溴莫尼定,brimonidine,,active
sub_0053,olopatadine,奧洛他定,olopatadine,,active
sub_0054,ciprofloxacin,環丙沙星,ciprofloxacin,hcl,active
sub_0055,levofloxacin,左氧氟沙星,levofloxacin,,active
sub_0056,vitamin a,維生素A,vitamin a,,active
sub_0057,chlorpheniramine,氯苯那敏,chlorpheniramine,maleate,active
sub_0058,taurine,牛磺酸,taurine,,active
sub_0059,dextran 70,右旋糖酐70,dextran 70,,active
sub_0060,hydrocortisone,氫化可體松,hydrocortisone,acetate,active
sub_0061,triamcinolone,曲安西龍,triamcinolone,,active
sub_0062,atropine,阿托品,atropine,sulfate; monohydrate; hydrate,active
