license_number,product_id,product_substance_id,substance_raw,substance_normalized_before,substance_normalized_after,normalized_variants,original_role,new_role,resolution_status,rule,matched_standard_substance,supporting_product,supporting_evidence,confidence,reason
衛部藥輸字第026908號,eye_formal_088,ps_089_03,CYANOCOBALAMIN (VIT B12),cyanocobalamin (vit b12),cyanocobalamin,cyanocobalamin | cyanocobalamin vit b12,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,cyanocobalamin,衛署藥輸字第025023號,衛署藥輸字第025023號 醫立明點眼液 confirmed active: CYANOCOBALAMIN (VIT B12),high,matched confirmed active dictionary with no non-active role conflict
衛署藥輸字第024751號,eye_formal_139,ps_140_01,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7H3SXF10-15),sodium carboxymethylcellulose (type 7h3sxf10-15),sodium carboxymethylcellulose (type 7h3sxf10-15),carboxymethylcellulose 7h3sxf10 15 | sodium carboxymethylcellulose 7h3sxf10 15,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥輸字第024751號,eye_formal_139,ps_140_02,SODIUM CARBOXYMETHYLCELLULOSE (TYPE 7M8SFPH),sodium carboxymethylcellulose (type 7m8sfph),sodium carboxymethylcellulose (type 7m8sfph),carboxymethylcellulose 7m8sfph | sodium carboxymethylcellulose 7m8sfph,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥製字第046069號,eye_formal_141,ps_142_01,CHLORAMPHENICOL,chloramphenicol,chloramphenicol,chloramphenicol,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,chloramphenicol,衛署藥製字第004490號,"衛署藥製字第004490號 ""綠洲"" 氯黴素眼藥膏 confirmed active: CHLORAMPHENICOL",high,matched confirmed active dictionary with no non-active role conflict
衛署藥輸字第017121號,eye_formal_144,ps_145_01,MINERAL OIL,mineral oil,mineral oil,mineral oil,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,mineral oil,衛部藥輸字第027403號,衛部藥輸字第027403號 凱舒諾人工淚液 confirmed active: MINERAL OIL,high,matched confirmed active dictionary with no non-active role conflict
衛署藥製字第003697號,eye_formal_148,ps_149_01,TETRACYCLINE (HCL),tetracycline (hcl),tetracycline,tetracycline | tetracycline hcl,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,tetracycline,內衛藥製字第016430號,"內衛藥製字第016430號 ""健喬""鹽酸四環素眼藥膏１％ confirmed active: TETRACYCLINE (HCL)",high,matched confirmed active dictionary with no non-active role conflict
衛部藥製字第058129號,eye_formal_149,ps_150_01,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),tetracycline hcl (eq to tetracycline hydrochloride),tetracycline hcl (eq to tetracycline hydrochloride),tetracycline hcl tetracycline | tetracycline hcl tetracycline hcl | tetracycline tetracycline,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥製字第052555號,eye_formal_150,ps_151_01,TETRACYCLINE HCL (EQ TO TETRACYCLINE HYDROCHLORIDE),tetracycline hcl (eq to tetracycline hydrochloride),tetracycline hcl (eq to tetracycline hydrochloride),tetracycline hcl tetracycline | tetracycline hcl tetracycline hcl | tetracycline tetracycline,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥製字第057303號,eye_formal_151,ps_152_01,MINERAL OIL,mineral oil,mineral oil,mineral oil,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,mineral oil,衛部藥輸字第027403號,衛部藥輸字第027403號 凱舒諾人工淚液 confirmed active: MINERAL OIL,high,matched confirmed active dictionary with no non-active role conflict
衛署藥輸字第016492號,eye_formal_170,ps_171_01,PROPARACAINE HCL,proparacaine hcl,proparacaine hcl,proparacaine | proparacaine hcl,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥輸字第023521號,eye_formal_171,ps_172_01,PEMIROLAST POTASSIUM,pemirolast potassium,pemirolast potassium,pemirolast | pemirolast potassium,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥製字第056663號,eye_formal_185,ps_186_01,BRIMONIDINE TARTRATE,brimonidine tartrate,brimonidine,brimonidine | brimonidine tartrate,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,brimonidine,衛署藥輸字第023695號,衛署藥輸字第023695號 艾弗目P無菌眼用液劑 0.15% confirmed active: BRIMONIDINE TARTRATE,high,matched confirmed active dictionary with no non-active role conflict
衛署藥製字第048389號,eye_formal_186,ps_187_03,CHLORHEXIDINE GLUCONATE,chlorhexidine gluconate,chlorhexidine gluconate,chlorhexidine | chlorhexidine gluconate,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥製字第056700號,eye_formal_187,ps_188_01,BRIMONIDINE TARTRATE,brimonidine tartrate,brimonidine,brimonidine | brimonidine tartrate,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,brimonidine,衛署藥輸字第023695號,衛署藥輸字第023695號 艾弗目P無菌眼用液劑 0.15% confirmed active: BRIMONIDINE TARTRATE,high,matched confirmed active dictionary with no non-active role conflict
衛署藥製字第048471號,eye_formal_192,ps_193_03,20% CHLORHEXIDINE GLUCONATE SOLUTION,20% chlorhexidine gluconate solution,20% chlorhexidine gluconate solution,20 chlorhexidine | 20 chlorhexidine gluconate | chlorhexidine gluconate,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥輸字第023384號,eye_formal_200,ps_201_03,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,aminocaproic acid epsilon-,aminocaproic acid epsilon,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥製字第047314號,eye_formal_207,ps_208_01,BRIMONIDINE TARTRATE,brimonidine tartrate,brimonidine,brimonidine | brimonidine tartrate,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,brimonidine,衛署藥輸字第023695號,衛署藥輸字第023695號 艾弗目P無菌眼用液劑 0.15% confirmed active: BRIMONIDINE TARTRATE,high,matched confirmed active dictionary with no non-active role conflict
衛部藥輸字第028848號,eye_formal_208,ps_209_02,AMINOCAPROIC ACID EPSILON-,aminocaproic acid epsilon-,aminocaproic acid epsilon-,aminocaproic acid epsilon,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛署藥製字第047554號,eye_formal_209,ps_210_02,EPHEDRINE HCL (EQ TO EPHEDRINE HYDROCHLORIDE),ephedrine hcl (eq to ephedrine hydrochloride),ephedrine hcl (eq to ephedrine hydrochloride),ephedrine ephedrine | ephedrine hcl ephedrine | ephedrine hcl ephedrine hcl,unknown,unknown,no_reliable_match,,,,,,no_reliable_match
衛部藥製字第061457號,eye_formal_217,ps_218_01,BRIMONIDINE TARTRATE,brimonidine tartrate,brimonidine,brimonidine | brimonidine tartrate,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,brimonidine,衛署藥輸字第023695號,衛署藥輸字第023695號 艾弗目P無菌眼用液劑 0.15% confirmed active: BRIMONIDINE TARTRATE,high,matched confirmed active dictionary with no non-active role conflict
衛署藥製字第044483號,eye_formal_222,ps_223_01,CHLORAMPHENICOL,chloramphenicol,chloramphenicol,chloramphenicol,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,chloramphenicol,衛署藥製字第004490號,"衛署藥製字第004490號 ""綠洲"" 氯黴素眼藥膏 confirmed active: CHLORAMPHENICOL",high,matched confirmed active dictionary with no non-active role conflict
衛署藥製字第021191號,eye_formal_223,ps_224_01,CHLORAMPHENICOL,chloramphenicol,chloramphenicol,chloramphenicol,unknown,active,resolved_to_active,D_same_formula_or_raw_component_pattern,chloramphenicol,衛署藥製字第004490號,"衛署藥製字第004490號 ""綠洲"" 氯黴素眼藥膏 confirmed active: CHLORAMPHENICOL",high,matched confirmed active dictionary with no non-active role conflict
