藥證字號,商品名,英文品名,劑型,成分_官方原文,適應症,排除理由
衛署藥製字第047026號,立可寧吸入劑,ANFRANE (ENFLURANE),吸入用液劑,ENFLURANE,吸入性全身麻醉。,吸入性麻醉劑（非本資料庫裝置範圍）
衛署藥製字第047180號,愛可寧吸入劑,ISOFRANE (ISOFLURANE),吸入用液劑,ISOFLURANE,吸入性全身麻醉。,吸入性麻醉劑（非本資料庫裝置範圍）
衛署藥製字第048165號,易可寧 吸入劑,Sevofrane (Sevoflurane),吸入用液劑,SEVOFLURANE,吸入性全身麻醉劑。,吸入性麻醉劑（非本資料庫裝置範圍）
衛署藥輸字第021192號,愛爾能吸入劑,AERRANE,吸入用液劑,ISOFLURANE,吸入性全身麻醉,吸入性麻醉劑（非本資料庫裝置範圍）
衛署藥輸字第021383號,輸活能液態吸入劑,SUPRANE (DESFLURANE),吸入用液劑,DESFLURANE,吸入性全身麻醉劑。 說明： 麻醉誘導 SUPRANE適用於成人在住院及門診手術誘導期之吸入性麻醉劑。 SUPRANE禁用做為兒科病患誘導用之吸入性麻醉劑，因為它會導致中至重度的上呼吸道不良反應。 麻醉維持 SUPRANE適用於成人與兒科病患住院或門診手術之吸入性麻醉維持。 若以本藥以外之吸入性麻醉藥來誘導與氣管插管，SUPRANE可用在小孩及嬰兒麻醉維持。 SUPRANE不適用於非插管之幼童麻醉維持，因為SUPRANE極可能造成幼童之呼吸不良反應，包括：咳嗽、咽喉痙攣或刺激分泌產生。,吸入性麻醉劑（非本資料庫裝置範圍）
衛署藥輸字第024308號,奇氟能吸入用液劑,Sevoflurane Inhalation Anesthetic Liquid,吸入用液劑,SEVOFLURANE,吸入性全身麻醉劑。,吸入性麻醉劑（非本資料庫裝置範圍）
衛署藥輸字第025283號,“百特”七氟烷吸入用液劑,Sevoflurane Inhalation Anesthetic Liquid,吸入用液劑,SEVOFLURANE,吸入性全身麻醉劑。,吸入性麻醉劑（非本資料庫裝置範圍）
衛部藥輸字第026542號,"'美國廠""舒眾吸入用液劑","SOJOURN (Sevoflurane, USP) Inhalation Liquid",吸入用液劑,SEVOFLURANE,吸入性全身麻醉劑。,吸入性麻醉劑（非本資料庫裝置範圍）
衛部藥輸字第026632號,"""美國廠""泰若然吸入用液劑","TERRELL (Isoflurane, USP) Liquid for Inhalation",吸入用液劑,ISOFLURANE,吸入性全身麻醉劑。,吸入性麻醉劑（非本資料庫裝置範圍）
衛部藥輸字第026923號,"""艾伯維""西福銳吸入用液劑",Ultane Inhalation Anesthetic Liquid,吸入用液劑,SEVOFLURANE,吸入性全身麻醉劑。,吸入性麻醉劑（非本資料庫裝置範圍）
