license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
內衛成製字第000093號,"""美""利風油",LIHONYU,外用液劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_topical: TFDA form/name/use identifies a topical preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛成製字第000403號,速淨－Ｋ消毒液,"SUZINE-K ANTISEPTIC SOLUTION ""S.T.""",外用液劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_topical: TFDA form/name/use identifies a topical preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛成製字第000434號,"""應元""複方煤溜油醇液","LIQUOR GRESOLIS SAPONATUS ""Y.Y.""",外用液劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_topical: TFDA form/name/use identifies a topical preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛成製字第000437號,"""應元""美克多消毒液１０％","MECETOL SOLUTION 10% ""Y.Y.""",外用液劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_topical: TFDA form/name/use identifies a topical preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005339號,"""濟生""克力糖注射液２０％","20% GLUCOS INJECTION ""CHI SHENG""",注射劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_other: TFDA form/name/use identifies a non-oral or excluded preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005340號,"""濟生""５％氯化鈣注射液","5% CALCIUM CHLORIDE INJECTION ""CHI SHENG""",注射劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_other: TFDA form/name/use identifies a non-oral or excluded preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005344號,"""濟生""維他命Ｃ注射液","VITAMIN C INJECTION ""CHI SHENG""",注射劑,視需要1日注射1~2次，每次50~100mg通常注射於皮下，肌肉或靜脈內。但需較大劑量治療時通常一天1~2次每次250mg~500mg注射於靜脈內，皮下肌肉注射恐會感覺局部疼痛，故須避免施行為妥。,oral-liquid or excluded-liquid form/name/use signal,excluded_other: TFDA form/name/use identifies a non-oral or excluded preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005348號,"""濟生""賜爾復安注射液","HYSCOPAN INJECTION ""CHI SHENG""",注射劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_other: TFDA form/name/use identifies a non-oral or excluded preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005612號,"""南光""扶如泄民注射液","FUROSEMIDE INJECTION ""N.K.""",注射劑,,oral-liquid or excluded-liquid form/name/use signal,excluded_other: TFDA form/name/use identifies a non-oral or excluded preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005854號,普力能錠,"PRENIN TABLETS ""N.C.P.""",錠劑,"本藥須由醫師處方使用。本劑將普通一日之全投與量分為每餐後及就寢前 4
次 或 朝 夕 2 次 服 用 ， 症 狀 好 轉 後 每 隔 2~3 日將 1 日 投 與 量 減 少
2.5~5mg(1/2~1 錠)作維持療法，若萬一再發時，漸次增量而抑制症狀，以下
所述之用法用量係適應於各種疾患及其症狀程度之一般使用法，故仍應視
個人差別及症狀之輕重加以適當之增減。 
1.  風濕性關節炎：
初期投與量（抑制量），重症：1 日 30mg（6 粒） 其他：1 日 20mg（4
粒）普通本劑治療開始後 3~4 日症狀即應見好轉，若繼續初期投與量 7
日仍 不見效時，應懷疑該症是否真性風濕性關節炎，症狀好轉後，將
投與量每隔 2~3 日減少 2.5mg（1/2 粒）至適當量後為維持量，必要時
與安靜療法，食餌療法，整形外科療法等合併治療亦無妨。
2.  風濕熱、風濕性心疾、骨關節炎等風濕性疾患： 
使用法與風濕性關節炎之方法相同，視症狀之輕重，投與有效之最低
量。 
3.  支氣管氣喘：
投與風濕性關節炎治療略同量為抑制量，普通症狀於 12~24 小時內即可
好轉，但如喘息發作停止後，勿立即休藥，而將 1 日投與量減少
2.5~5mg （1/2~1 粒）後改為維持療法，治療開始後 3~4 日，呼吸困難
會消失， 肺活量亦有顯著之增加。
4.  播種性紅斑性狼瘡等： 一般於此種皮膚疾患，需要投與較大量，初期
抑制量，普通使用量 1 日 須 30mg（6 粒）以上。",oral-liquid or excluded-liquid form/name/use signal,excluded_topical: TFDA form/name/use identifies a topical preparation.,tfda_open_data_info37_cached_20260711,2026-07-14T00:00:00+08:00
