product_id,substance_id,raw_name,normalized_name,base_substance_group,strength_raw,numerator_value,numerator_unit,denominator_value,denominator_unit,display_concentration,normalized_value_per_ml,concentration_normalized,normalization_status,concentration_status,parsing_rule,confidence,role,confirmation_status,source_id
oral_liquid_00001,sub_tfda_4020100442,ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE),aspartate potassium l- (eq to potassium l-aspartate),aspartate potassium l- (eq to potassium l-aspartate),EACH 100ML CONTAINS: ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE) 250.000000 MG,250,mg,100,mL,250 mg/100 mL,2.5,2.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00001,sub_tfda_4020100432,ASPARTATE MAGNESIUM L-,aspartate magnesium l-,aspartate magnesium l-,EACH 100ML CONTAINS: ASPARTATE MAGNESIUM L- 250.000000 MG,250,mg,100,mL,250 mg/100 mL,2.5,2.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00001,sub_tfda_8810101001,THIAMINE MONONITRATE,thiamine mononitrate,thiamine mononitrate,EACH 100ML CONTAINS: THIAMINE MONONITRATE 20.000000 MG,20,mg,100,mL,20 mg/100 mL,0.2,0.2 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00001,sub_tfda_8810200400,RIBOFLAVIN (VIT B2),riboflavin (vit b2),riboflavin (vit b2),EACH 100ML CONTAINS: RIBOFLAVIN (VIT B2) 2.000000 MG,2,mg,100,mL,2 mg/100 mL,0.02,0.02 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00001,sub_tfda_8810600300,PYRIDOXINE HCL,pyridoxine hcl,pyridoxine hcl,EACH 100ML CONTAINS: PYRIDOXINE HCL 2.000000 MG,2,mg,100,mL,2 mg/100 mL,0.02,0.02 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00001,sub_tfda_8810000300,NIACINAMIDE (NICOTINAMIDE),niacinamide (nicotinamide),niacinamide (nicotinamide),EACH 100ML CONTAINS: NIACINAMIDE (NICOTINAMIDE) 20.000000 MG,20,mg,100,mL,20 mg/100 mL,0.2,0.2 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00002,sub_tfda_4800001010,DEXTROMETHORPHAN HBR,dextromethorphan hbr,dextromethorphan hbr,EACH 10ML CONTAINS: DEXTROMETHORPHAN HBR 10 MG,10,mg,10,mL,10 mg/10 mL,1,1 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00002,sub_tfda_1212002310,PHENYLEPHRINE HCL,phenylephrine hcl,phenylephrine hcl,EACH 10ML CONTAINS: PHENYLEPHRINE HCL 5 MG,5,mg,10,mL,5 mg/10 mL,0.5,0.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00002,sub_tfda_0400003410,PYRILAMINE MALEATE (MEPYRAMINE MALEATE),pyrilamine maleate (mepyramine maleate),pyrilamine maleate (mepyramine maleate),EACH 10ML CONTAINS: PYRILAMINE MALEATE (MEPYRAMINE MALEATE) 25 MG,25,mg,10,mL,25 mg/10 mL,2.5,2.5 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
oral_liquid_00002,sub_tfda_4004000200,AMMONIUM CHLORIDE,ammonium chloride,ammonium chloride,EACH 10ML CONTAINS: AMMONIUM CHLORIDE 120 MG,120,mg,10,mL,120 mg/10 mL,12,12 mg/mL,parsed_per_ml,parsed,explicit_volume_basis,high,active,confirmed,tfda_open_data_info43_cached_20260711
