substance_id,raw_name,normalized_name,base_substance_group,source_id
sub_tfda_4020100442,ASPARTATE POTASSIUM L- (eq to POTASSIUM L-ASPARTATE),aspartate potassium l- (eq to potassium l-aspartate),aspartate potassium l- (eq to potassium l-aspartate),tfda_open_data_info43_cached_20260711
sub_tfda_4020100432,ASPARTATE MAGNESIUM L-,aspartate magnesium l-,aspartate magnesium l-,tfda_open_data_info43_cached_20260711
sub_tfda_8810101001,THIAMINE MONONITRATE,thiamine mononitrate,thiamine mononitrate,tfda_open_data_info43_cached_20260711
sub_tfda_8810200400,RIBOFLAVIN (VIT B2),riboflavin (vit b2),riboflavin (vit b2),tfda_open_data_info43_cached_20260711
sub_tfda_8810600300,PYRIDOXINE HCL,pyridoxine hcl,pyridoxine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_8810000300,NIACINAMIDE (NICOTINAMIDE),niacinamide (nicotinamide),niacinamide (nicotinamide),tfda_open_data_info43_cached_20260711
sub_tfda_4800001010,DEXTROMETHORPHAN HBR,dextromethorphan hbr,dextromethorphan hbr,tfda_open_data_info43_cached_20260711
sub_tfda_1212002310,PHENYLEPHRINE HCL,phenylephrine hcl,phenylephrine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_0400003410,PYRILAMINE MALEATE (MEPYRAMINE MALEATE),pyrilamine maleate (mepyramine maleate),pyrilamine maleate (mepyramine maleate),tfda_open_data_info43_cached_20260711
sub_tfda_4004000200,AMMONIUM CHLORIDE,ammonium chloride,ammonium chloride,tfda_open_data_info43_cached_20260711
sub_tfda_4800002800,POTASSIUM GUAIACOLSULFONATE,potassium guaiacolsulfonate,potassium guaiacolsulfonate,tfda_open_data_info43_cached_20260711
sub_tfda_8816000100,ASCORBIC ACID (VIT C),ascorbic acid (vit c),ascorbic acid (vit c),tfda_open_data_info43_cached_20260711
sub_tfda_8811200300,CYANOCOBALAMIN (VIT B12),cyanocobalamin (vit b12),cyanocobalamin (vit b12),tfda_open_data_info43_cached_20260711
sub_tfda_8416000700,PANTHENOL,panthenol,panthenol,tfda_open_data_info43_cached_20260711
sub_tfda_0400001610,DIPHENHYDRAMINE HCL,diphenhydramine hcl,diphenhydramine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_0400005810,CETIRIZINE DIHYDROCHLORIDE (EQ TO CETIRIZINE 2HCL ),cetirizine dihydrochloride (eq to cetirizine 2hcl ),cetirizine dihydrochloride (eq to cetirizine 2hcl ),tfda_open_data_info43_cached_20260711
sub_tfda_4800003700,POTASSIUM CRESOLSULFONATE,potassium cresolsulfonate,potassium cresolsulfonate,tfda_open_data_info43_cached_20260711
sub_tfda_8813000100,INOSITOL (MESO-INOSITOL),inositol (meso-inositol),inositol (meso-inositol),tfda_open_data_info43_cached_20260711
sub_tfda_5656900720,THIOCTIC ACID AMIDE (THIOCTAMIDE),thioctic acid amide (thioctamide),thioctic acid amide (thioctamide),tfda_open_data_info43_cached_20260711
sub_tfda_1212001710,METHOXYPHENAMINE HCL,methoxyphenamine hcl,methoxyphenamine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_4800001420,GUAIACOL GLYCERYL ETHER (EQ TO GUAIFENESIN),guaiacol glyceryl ether (eq to guaifenesin),guaiacol glyceryl ether (eq to guaifenesin),tfda_open_data_info43_cached_20260711
sub_tfda_1212001813,DL-METHYLEPHEDRINE HCL,dl-methylephedrine hcl,dl-methylephedrine hcl,tfda_open_data_info43_cached_20260711
sub_tfda_8600000800,DYPHYLLINE,dyphylline,dyphylline,tfda_open_data_info43_cached_20260711
sub_tfda_2820000460,CAFFEINE HYDRATE,caffeine hydrate,caffeine hydrate,tfda_open_data_info43_cached_20260711
