license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
衛署藥製字第049702號,黴癒噴劑 10 毫克/公克,Lisim Spray 10 mg/gm,外用噴液劑,"體癬、股癬、足癬：1天1次均勻噴於患部
汗斑：1天2次均勻噴於患部",dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049765號,康黴安噴劑 10 毫克/公克,Binafine Spray 10mg/g,外用噴液劑,請詳閱說明書後使用。,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049839號,康足噴劑 10 毫克/公克,Ternafin Spray 10mg/g,外用噴液劑,依適應症一天1至2次；使用前須將患部清理乾淨和乾燥，將足量的本藥噴溼於患部及其周圍。1天1次：體癬、股癬、足癬。1天2次：汗斑。,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049852號,潔黴樂噴劑 10 毫克/公克,Bina Spray 10mg/g,外用噴液劑,請詳閱說明書後使用。,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥輸字第028984號,紛永維外用噴液劑,Finjuve cutaneous spray,外用噴液劑,詳見仿單,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第035693號,"""依必朗"" 卡優宜液",KAA IOU YI SOLUTION,外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第049668號,“派頓”特那噴劑 10 毫克/公克,Terna Spray 10mg/g”Patron”,外用噴液劑,請詳閱說明書後使用。,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第057328號,"""羅得""安黴舒噴劑","T. FREE SPRAY ""ROOT""",外用噴液劑,請詳見仿單,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第057333號,足舒樂噴劑10毫克/公克,ComfiFeet Spray 10mg/g,外用噴液劑,請詳見仿單,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛署藥製字第038648號,斯斯爽喉消炎噴液,U-Chu Throdine Spray,外用噴液劑,,dosage_form_spray_signal,skin_or_other_nonlocal_spray,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
