product_id,class_id,classification_evidence,source_id,verified_at
spray_0001,decongestant,rule evaluated against TFDA 主成分略述: PHENYLEPHRINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0002,analgesic_or_anti_inflammatory,rule evaluated against TFDA 主成分略述: BENZYDAMINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0003,decongestant,rule evaluated against TFDA 主成分略述: DIPHENHYDRAMINE HCL;;NAPHAZOLINE HCL;;PROCAINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0004,analgesic_or_anti_inflammatory,rule evaluated against TFDA 主成分略述: BENZYDAMINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0005,corticosteroid,rule evaluated against TFDA 主成分略述: MOMETASONE FUROATE MONOHYDRATE MICRONIZED EQ TO MOMETASONE FUROATE ANHYDROUS,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0006,decongestant,rule evaluated against TFDA 主成分略述: OXYMETAZOLINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0007,corticosteroid,rule evaluated against TFDA 主成分略述: BECLOMETHASONE DIPROPIONATE,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0008,decongestant,rule evaluated against TFDA 主成分略述: XYLOMETAZOLINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0009,decongestant,rule evaluated against TFDA 主成分略述: XYLOMETAZOLINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0010,other_nasal,rule evaluated against TFDA 主成分略述: DIAZEPAM,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0011,other_nasal,rule evaluated against TFDA 主成分略述: DIAZEPAM,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0012,other_nasal,rule evaluated against TFDA 主成分略述: DIAZEPAM,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0013,decongestant,rule evaluated against TFDA 主成分略述: NAPHAZOLINE HCL;;DIPHENHYDRAMINE HCL;;PROCAINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0014,decongestant,rule evaluated against TFDA 主成分略述: OXYMETAZOLINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0015,decongestant,rule evaluated against TFDA 主成分略述: OXYMETAZOLINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0016,decongestant,rule evaluated against TFDA 主成分略述: OXYMETAZOLINE HCL,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0017,corticosteroid,rule evaluated against TFDA 主成分略述: FLUTICASONE PROPIONATE MICRONIZED;;AZELASTINE HYDROCHLORIDE,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
