product_id,substance_id,role,strength,strength_unit,source_id,verified_at
spray_0001,sub_phenylephrine_hcl,active,,%,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0002,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0003,sub_naphazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0004,sub_benzydamine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0005,sub_mometasone,active,(0.5mg).,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0006,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0007,sub_beclomethasone,active,50.0,MCG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0008,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0009,sub_xylometazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0010,sub_diazepam,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0011,sub_diazepam,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0012,sub_diazepam,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0013,sub_naphazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0014,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0015,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0016,sub_oxymetazoline,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0017,sub_fluticasone_azelastine,active,,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0018,sub_oxymetazoline,active,0.5,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
spray_0019,sub_neomycin_sulfate_diphenhydramine_hcl_phenylephrine_prednisolone,active,50; 2; 50; 10,MG,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
