product_id,license_number,license_year,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,application_site,local_spray_inclusion_evidence,indication_raw,indication_normalized,active_ingredient_raw,active_ingredient_normalized,strength,strength_unit,therapeutic_class,license_status,license_expiry_date,applicant,manufacturer,source_id,verified_at,processing_status
spray_0001,內衛藥製字第005906號,1970,必愈鼻鼻用噴霧劑,P.A.B. NASAL SPRAY,鼻用噴液劑,nasal_spray,,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=; 品名=必愈鼻鼻用噴霧劑/P.A.B. NASAL SPRAY. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,鼻塞、流鼻水、鼻竇炎、過敏性鼻炎,鼻塞、流鼻水、鼻竇炎、過敏性鼻炎,PHENYLEPHRINE HCL,phenylephrine hcl,,%,decongestant,active,2027/12/31,人人化學製藥股份有限公司,人人化學製藥股份有限公司中壢廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0002,衛部藥製字第060125號,2018,"""國嘉""歐立舒消炎鎮痛噴液1.5毫克/毫升","Desore Anti-inflammatory Pain Relief Throat Spray 1.5mg/ml ""Kojar""",口腔噴液劑,oropharyngeal_spray,成人及12歲以上噴液劑每次噴4-8下，直接噴於疼痛及發炎部位。需要時，可每1.5-3小時使用一次。6歲以上 未滿12歲噴液劑每次噴4下，直接噴於疼痛及發炎部位。需要時，可每1.5-3小時使用一次。6歲以下及有肝、腎疾病或其他重大疾病請洽醫師診治。,oromucosal_or_throat,throat,"TFDA 劑型=口腔噴液劑; 用法用量=成人及12歲以上噴液劑每次噴4-8下，直接噴於疼痛及發炎部位。需要時，可每1.5-3小時使用一次。6歲以上 未滿12歲噴液劑每次噴4下，直接噴於疼痛及發炎部位。需要時，可每1.5-3小時使用一次。6歲以下及有肝、腎疾病或其他重大疾病請洽醫師診治。; 品名=""國嘉""歐立舒消炎鎮痛噴液1.5毫克/毫升/Desore Anti-inflammatory Pain Relief Throat Spray 1.5mg/ml ""Kojar"". 口腔/咽喉局部使用訊號由劑型/用法或品名交叉支持。",緩解喉嚨及口腔部位的疼痛，如喉嚨痛、舌頭或牙齦疼痛、口腔潰瘍。,緩解喉嚨及口腔部位的疼痛，如喉嚨痛、舌頭或牙齦疼痛、口腔潰瘍。,BENZYDAMINE HCL,benzydamine,,MG,analgesic_or_anti_inflammatory,active,2028/06/21,國嘉製藥工業股份有限公司幼獅三廠,國嘉製藥工業股份有限公司幼獅三廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0003,衛署藥製字第049759號,2008,“中美”鼻舒康噴鼻液,Bisoucan Nasal Spray“C.M.”,鼻用噴液劑,nasal_spray,詳見仿單。,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=詳見仿單。; 品名=“中美”鼻舒康噴鼻液/Bisoucan Nasal Spray“C.M.”. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,鼻炎、副鼻腔炎、過敏性鼻炎所引起之流鼻水、鼻塞及鼻出血。,鼻炎、副鼻腔炎、過敏性鼻炎所引起之流鼻水、鼻塞及鼻出血。,DIPHENHYDRAMINE HCL;;NAPHAZOLINE HCL;;PROCAINE HCL,naphazoline,,MG,decongestant,active,2028/11/05,興中美生技有限公司,中美兄弟製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0004,衛部藥製字第058647號,2015,"""廣欣""克伏寧加強消炎噴液劑3毫克/毫升","Cufflam Forte Anti-inflammatory Throat Spray 3mg/ml ""G.S.""",口腔噴液劑,oropharyngeal_spray,請詳見仿單,oromucosal_or_throat,throat,"TFDA 劑型=口腔噴液劑; 用法用量=請詳見仿單; 品名=""廣欣""克伏寧加強消炎噴液劑3毫克/毫升/Cufflam Forte Anti-inflammatory Throat Spray 3mg/ml ""G.S."". 口腔/咽喉局部使用訊號由劑型/用法或品名交叉支持。",舒解口腔及咽喉疼痛，包括下列疾病或症狀引起的疼痛：扁桃腺炎、咽嚨痛、放射治療引起的黏膜炎、鵝口瘡潰瘍、口腔與牙周手術後疼痛。,舒解口腔及咽喉疼痛，包括下列疾病或症狀引起的疼痛：扁桃腺炎、咽嚨痛、放射治療引起的黏膜炎、鵝口瘡潰瘍、口腔與牙周手術後疼痛。,BENZYDAMINE HCL,benzydamine,,MG,analgesic_or_anti_inflammatory,active,2030/03/27,廣欣藥品股份有限公司,大豐製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0005,衛部藥製字第058777號,2015,樂鼻寧水性鼻用噴液劑50微公克/劑量,Momenase Aqueous Nasal Spray 50mcg/dose,鼻用噴液劑,nasal_spray,請詳見仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=請詳見仿單; 品名=樂鼻寧水性鼻用噴液劑50微公克/劑量/Momenase Aqueous Nasal Spray 50mcg/dose. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,成人、青少年及二歲以上兒童之季節性或常年性過敏性鼻炎。亦用於治療18歲及以上成年人輕度到中度鼻息肉之相關症狀。,成人、青少年及二歲以上兒童之季節性或常年性過敏性鼻炎。亦用於治療18歲及以上成年人輕度到中度鼻息肉之相關症狀。,MOMETASONE FUROATE MONOHYDRATE MICRONIZED EQ TO MOMETASONE FUROATE ANHYDROUS,mometasone,(0.5mg).,MG,corticosteroid,active,2030/05/27,健喬信元醫藥生技股份有限公司,健喬信元醫藥生技股份有限公司健喬廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0006,衛署藥製字第037385號,1994,通鼻通噴鼻劑０．５公絲/公撮（異每達佐林）,"CORTIMIN NASAL SPRAY 0.5MG/ML (OXYMETAZOLINE) ""B&F""",外用液劑,nasal_local_other,,intranasal,nasal,"TFDA 劑型=外用液劑; 用法用量=; 品名=通鼻通噴鼻劑０．５公絲/公撮（異每達佐林）/CORTIMIN NASAL SPRAY 0.5MG/ML (OXYMETAZOLINE) ""B&F"". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",感冒、過敏、鼻竇炎等所引起鼻塞之緩解,感冒、過敏、鼻竇炎等所引起鼻塞之緩解,OXYMETAZOLINE HCL,oxymetazoline,0.5,MG,decongestant,active,2029/03/28,寶齡富錦生技股份有限公司,寶齡富錦生技股份有限公司平鎮廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0007,衛署藥製字第044299號,2001,"""黃氏""鼻康納鼻用噴液　５０μＧ/ＳＰＲＡＹ","BETONASE AQUEOUS NASAL SPRAY 50μG/SPRAY ""H.S.""",鼻用噴液劑,nasal_spray,詳見仿單,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=詳見仿單; 品名=""黃氏""鼻康納鼻用噴液　５０μＧ/ＳＰＲＡＹ/BETONASE AQUEOUS NASAL SPRAY 50μG/SPRAY ""H.S."". 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",暫時緩解經醫師診斷之過敏性鼻炎或其他上呼吸道過敏相關症狀：鼻塞、流鼻水、打噴嚏、鼻搔癢、眼睛癢、流眼淚。,暫時緩解經醫師診斷之過敏性鼻炎或其他上呼吸道過敏相關症狀：鼻塞、流鼻水、打噴嚏、鼻搔癢、眼睛癢、流眼淚。,BECLOMETHASONE DIPROPIONATE,beclomethasone,50.0,MCG,corticosteroid,active,2031/02/27,黃氏製藥股份有限公司,黃氏製藥股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0008,衛署藥輸字第024654號,2007,歐治鼻 噴鼻液 0.1%(西羅美塔柔林),"Otrivin Moisturzing 0.1 %, nasal drops in Metered-Dose-Spray",鼻用噴液劑,nasal_spray,詳如仿單。,intranasal,nasal,"TFDA 劑型=鼻用噴液劑; 用法用量=詳如仿單。; 品名=歐治鼻 噴鼻液 0.1%(西羅美塔柔林)/Otrivin Moisturzing 0.1 %, nasal drops in Metered-Dose-Spray. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。",暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀,暫時緩解因鼻炎、過敏性鼻炎、過敏或感冒引起之鼻塞、流鼻水症狀,XYLOMETAZOLINE HCL,xylometazoline,,MG,decongestant,active,2030/03/28,英商赫力昂股份有限公司台灣分公司,新竹物流股份有限公司,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0009,衛部藥製字第062098號,2026,樂佐寧噴鼻液0.1%,NAZOLINE NASAL SPRAY 0.1%,鼻用噴液劑,nasal_spray,詳如仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=詳如仿單; 品名=樂佐寧噴鼻液0.1%/NAZOLINE NASAL SPRAY 0.1%. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,一般感冒、鼻塞、流鼻水、打噴嚏、過敏性鼻炎及由過敏所引起之鼻充血。,一般感冒、鼻塞、流鼻水、打噴嚏、過敏性鼻炎及由過敏所引起之鼻充血。,XYLOMETAZOLINE HCL,xylometazoline,,MG,decongestant,active,2031/01/05,健喬信元醫藥生技股份有限公司,健喬信元醫藥生技股份有限公司健喬廠,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
spray_0010,衛部藥輸字第029015號,2025,維圖可鼻噴劑10毫克,Valtoco (diazepam nasal spray) 10 mg,鼻用噴液劑,nasal_spray,詳如仿單,intranasal,nasal,TFDA 劑型=鼻用噴液劑; 用法用量=詳如仿單; 品名=維圖可鼻噴劑10毫克/Valtoco (diazepam nasal spray) 10 mg. 鼻腔局部使用訊號由劑型/用法或品名交叉支持。,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,適用於6歲以上癲癇病人，用於急性治療間歇、定型的(stereotypic)頻繁癲癇發作(即叢集性癲癇(seizure clusters)、急性反覆發作)，這些發作與病人通常的癲癇發作模式不同。,DIAZEPAM,diazepam,,MG,other_nasal,active,2030/09/08,台灣康聯達股份有限公司,"Renaissance Lakewood, LLC.",tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00,core_complete_optional_missing
