license_number,chinese_name,english_name,dosage_form_raw,route_raw,candidate_reason,exclusion_reason,source_id,verified_at
內衛成製字第000114號,皮樂軟膏,PILU OINTMENT,軟膏劑,一天2次,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛成製字第000407號,"""人生""力西軟膏","LISHI OINTMENT ""JEN SHENG""",軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛成製字第000541號,"""金蝶牌"" 克膚靈藥膏","CAFFREN OINTMENT ""GOLD BUTTERFLY""",軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005339號,"""濟生""克力糖注射液２０％","20% GLUCOS INJECTION ""CHI SHENG""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005340號,"""濟生""５％氯化鈣注射液","5% CALCIUM CHLORIDE INJECTION ""CHI SHENG""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005344號,"""濟生""維他命Ｃ注射液","VITAMIN C INJECTION ""CHI SHENG""",注射劑,視需要1日注射1~2次，每次50~100mg通常注射於皮下，肌肉或靜脈內。但需較大劑量治療時通常一天1~2次每次250mg~500mg注射於靜脈內，皮下肌肉注射恐會感覺局部疼痛，故須避免施行為妥。,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005348號,"""濟生""賜爾復安注射液","HYSCOPAN INJECTION ""CHI SHENG""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005461號,“紐約”痔瘡膏,"HEMORRHOIDS OINTMENT ""NEW YORK""",軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005612號,"""南光""扶如泄民注射液","FUROSEMIDE INJECTION ""N.K.""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005853號,普力能藥膏,"PRENIN OINTMENT ""N.C.P.""",軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005894號,“紐約”止痛膏,"DIBUTON ANESTHETIC OINTMENT ""N.Y.""",軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第005905號,抗體敏注射液,"ANTERGY INJECTION ""GCPC""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006061號,持續性荷爾蒙－Ｆ針,DEPOT HORMON-F INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006063號,信加祿針,SINCAL INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006066號,"""信東"" 美達研注射液",VITAGEN INJECTION 5%,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006268號,"""健康"" 害可消軟膏","HYCORZOL OINTMENT ""HEALTH""",軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006279號,濕癬藥膏,KINGLENIC OINTMENT,軟膏劑,,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006377號,"""東洲"" 阿美諾非林注射液","AMINOPHYLLIN INJECTION ""ORIENTAL""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006379號,普樂非林注射液,PROPHYLLIN M INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006480號,"""濟生""活性維他命Ｂ-糖注射液","NEO-VITABOSE INJECTION ""CHI SHENG""",注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006511號,持續性兩性荷爾蒙ＭＦ針,DEPOT HORMON-MF INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006513號,美達康注射液,VITACICOL INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006516號,濃美達民注射液,STRONG VITA-B1 INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006517號,賜康寧注射液,TICANIN INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006523號,美達健針,VITA-K INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006527號,美福民針,VIFLAVIN INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006528號,"""信東""美納鈣樂－B6注射液",VENACALO-B6 INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006530號,信血平針,SINSERPINE INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006532號,持續性荷爾蒙－Ｍ針,DEPOT HORMON-M INJECTION,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006711號,抗血液凝固枸櫞酸鹽葡萄糖液－甲,A C D SOLUTION-A,注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
內衛藥製字第006732號,克黴素針,COMYCIN INJECTION,乾粉注射劑,,TFDA solid insertion dosage-form/name/use signal,injection_implant_or_other,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥製字第060139號,"""黃氏""莫比舒膚軟膏","Mupirocin Ointment ""H.S.""",軟膏劑,請詳見仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
衛部藥製字第060143號,"""嘉林""舒尼乳膏0.5毫克/公克(可洛貝他索)",Betaderm Cream 0.5mg/gm (Clorbetasol),乳膏劑,請詳見仿單,TFDA solid insertion dosage-form/name/use signal,topical_ointment_cream_gel,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
