product_id,substance_id,role,confirmation_status,role_evidence,source_id,verified_at
supp_0001,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0002,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0003,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0004,sub_aspirin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0005,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0006,sub_aspirin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0007,sub_nystatin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0008,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0009,sub_polycresolsulfonate_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0010,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0011,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0012,sub_animal_heart_extract_water_insoluble,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0013,sub_acetaminophen_eq_to_paracetamol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0014,sub_acetaminophen_eq_to_paracetamol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0015,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0016,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0017,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0018,sub_dl_methylephedrine_hcl_diprophylline,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0019,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0020,sub_hydrocortisone_acetate_tocopherol_acetate_zinc_oxide_lidocaine_allantoin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0021,sub_betamethasone_valerate_phenylephrine_hcl_lidocaine_hcl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0022,sub_aluminum_acetate_hydrocortisone_acetate_zinc_oxide_lidocaine,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0023,sub_meta_cresolsulfonic_acid_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0024,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0025,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0026,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0027,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0028,sub_lidocaine_tocopherol_acetate_alpha_dl_prednisolone_acetate_chlorhexidine_hcl_aluminum_chlorhydroxyallantoinate_alcoxa,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0029,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0030,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0031,sub_aspirin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0032,sub_bisacodyl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0033,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0034,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0035,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0036,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0037,sub_diprophylline_dl_methylephedrine_hcl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0038,sub_acetaminophen_eq_to_paracetamol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0039,sub_glycerin_eq_to_glycerol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0040,sub_isoconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0041,sub_nystatin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0042,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0043,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0044,sub_lidocaine_hydrocortisone_acetate_zinc_oxide_allantoin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0045,sub_allantoin_tocopherol_acetate_alpha_dl_benzocaine_ethyl_aminobenzoate_hydrocortisone_acetate_zinc_oxide_chlorhexidine_hcl,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0046,sub_miconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0047,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0048,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0049,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0050,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0051,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0052,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0053,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0054,sub_tocopherol_acetate_alpha_dl_prednisolone_acetate_aluminum_chlorhydroxyallantoinate_alcoxa_chlorhexidine_hcl_lidocaine,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0055,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0056,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0057,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0058,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0059,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0060,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0061,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0062,sub_polycresolsulfonate_policresulen_cinchocaine_hydrochloride,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0063,sub_mesalazine_mesalamine,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0064,sub_dequalinium_chloride,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0065,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0066,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0067,sub_progesterone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0068,sub_mesalazine_mesalamine,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0069,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0070,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0071,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0072,sub_acetaminophen_eq_to_paracetamol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0073,sub_dehydroepiandrosterone_sodium_sodium_prasterone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0074,sub_carbarsone_chloramphenicol_benzethonium_chloride,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0075,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0076,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0077,sub_ephedrine_sulfate_diphenhydramine_hcl_diprophylline_guaiacol_glycolate_eq_to_glyceryl_guaiacolate_diphenhydramine_hcl_ephedrine_sulfate_guaiacol_glycolate_eq_to_glyceryl_guaiacolate_diprophylline,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0078,sub_miconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0079,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0080,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0081,sub_erythromycin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0082,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0083,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0084,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0085,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0086,sub_acetaminophen_eq_to_paracetamol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0087,sub_miconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0088,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0089,sub_acetaminophen_eq_to_paracetamol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0090,sub_isoconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0091,sub_polycresolsulfonate_policresulen_cinchocaine_hydrochloride,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0092,sub_prednisolone_acetate_lidocaine_allantoin_tocopherol_acetate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0093,sub_acetylsalicylate_lysine,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0094,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0095,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0096,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0097,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0098,sub_cinchocaine_hydrochloride_polycresolsulfonate_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0099,sub_dinoprostone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0100,sub_estriol,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0101,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0102,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0103,sub_diclofenac_sodium,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0104,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0105,sub_domperidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0106,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0107,sub_metronidazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0108,sub_isoconazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0109,sub_clotrimazole,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0110,sub_benzocaine_ethyl_aminobenzoate_tocopherol_acetate_prednisolone_tetracaine_hcl_zinc_oxide,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0111,sub_polycresolsulfonate_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0112,sub_polycresolsulfonate_policresulen,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0113,sub_iodine_povidone,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0114,sub_nystatin,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
supp_0115,sub_econazole_nitrate,active,confirmed,TFDA InfoId=37 主成分略述 (official active-ingredient summary).,tfda_open_data_info37_43_cached_20260711,2026-07-14T00:00:00+08:00
