material_a,material_b,product_count,percent_of_577
乳香,沒藥,409,70.884
玄參,白芷,272,47.14
當歸,白芷,250,43.328
乳香,白芷,237,41.075
沒藥,白芷,234,40.555
乳香,木鼈子,232,40.208
當歸,赤芍,231,40.035
木鼈子,沒藥,227,39.341
肉桂,赤芍,218,37.782
白芷,草烏,217,37.608
當歸,肉桂,216,37.435
沒藥,當歸,212,36.742
玄參,當歸,206,35.702
木鼈子,白芷,204,35.355
乳香,當歸,203,35.182
木鼈子,當歸,200,34.662
白芷,赤芍,197,34.142
乳香,玄參,194,33.622
沒藥,玄參,192,33.276
大黃,白芷,187,32.409
玄參,赤芍,185,32.062
白芷,肉桂,184,31.889
玄參,生地黃,181,31.369
生地黃,白芷,181,31.369
大黃,赤芍,180,31.196
玄參,草烏,179,31.023
大黃,當歸,178,30.849
玄參,肉桂,178,30.849
生地黃,赤芍,177,30.676
木鼈子,赤芍,175,30.329
生地黃,當歸,174,30.156
大黃,玄參,173,29.983
生地黃,肉桂,173,29.983
木鼈子,玄參,169,29.289
大黃,生地黃,168,29.116
大黃,肉桂,165,28.596
當歸,草烏,164,28.423
大黃,木鼈子,163,28.25
木鼈子,生地黃,163,28.25
木鼈子,肉桂,159,27.556
大黃,沒藥,156,27.036
沒藥,赤芍,156,27.036
沒藥,肉桂,154,26.69
乳香,赤芍,147,25.477
乳香,肉桂,145,25.13
乳香,草烏,144,24.957
沒藥,草烏,144,24.957
白及,白蘞,142,24.61
甘草,白蘞,128,22.184
木鼈子,草烏,127,22.01
柳枝,當歸,127,22.01
柳枝,白芷,126,21.837
當歸,白蘞,125,21.664
大黃,甘草,124,21.49
白芷,白蘞,124,21.49
木鼈子,柳枝,122,21.144
乳香,大黃,121,20.971
獨活,當歸,121,20.971
獨活,白芷,121,20.971
獨活,赤芍,120,20.797
獨活,玄參,119,20.624
甘草,白及,115,19.931
大黃,白蘞,114,19.757
川烏,當歸,113,19.584
川烏,白芷,113,19.584
川烏,草烏,113,19.584
白蘞,草烏,113,19.584
川烏,赤芍,112,19.411
草烏,赤芍,112,19.411
乳香,生地黃,111,19.237
獨活,生地黃,111,19.237
沒藥,生地黃,110,19.064
獨活,肉桂,110,19.064
木鼈子,白蘞,109,18.891
當歸,白及,109,18.891
白及,白芷,109,18.891
木鼈子,獨活,108,18.718
當歸,苦參,108,18.718
白芷,苦參,107,18.544
白蘞,苦參,106,18.371
甘草,赤芍,105,18.198
當歸,羌活,105,18.198
白芷,羌活,105,18.198
大黃,獨活,104,18.024
川烏,木鼈子,104,18.024
甘草,白芷,104,18.024
羌活,赤芍,104,18.024
乳香,威靈仙,103,17.851
川烏,玄參,103,17.851
大黃,白及,102,17.678
甘草,當歸,102,17.678
甘草,羌活,102,17.678
白及,苦參,102,17.678
白及,草烏,102,17.678
苦參,草烏,102,17.678
威靈仙,木鼈子,100,17.331
威靈仙,沒藥,100,17.331
乳香,蓖麻子,99,17.158
威靈仙,蓖麻子,97,16.811
柳枝,玄參,97,16.811
