license,cluster_id,cluster_product_count,traditional_materials,core_traditional_materials,common_added_traditional_materials,rare_or_unique_traditional_materials
衛署成製字第008450號,EFP-004,79,乳香|杏仁|沒藥|玄參|當歸尾|白膠香|白芷|草烏|豬牙皂角|連鬚葉葱,乳香|杏仁|沒藥|玄參|白芷|草烏|豬牙皂角,當歸|當歸尾|白膠香|連鬚葉蔥,一條根(大葉千斤拔)|梅片(冰片)|歸尾|葱(帶鬚)|蓮鬚葉葱|蔓性千斤拔(一條根)|蔥(帶鬚)|薄荷葉|藥用炭|辣椒提取物
衛署成製字第009782號,EFP-004,79,乳香|杏仁|沒藥|玄參|當歸尾|白膠香|白芷|草烏|豬牙皂角|連鬚葉蔥,乳香|杏仁|沒藥|玄參|白芷|草烏|豬牙皂角,當歸|當歸尾|白膠香|連鬚葉蔥,一條根(大葉千斤拔)|梅片(冰片)|歸尾|葱(帶鬚)|蓮鬚葉葱|蔓性千斤拔(一條根)|蔥(帶鬚)|薄荷葉|藥用炭|辣椒提取物
衛署成製字第012554號,EFP-001,102,乳香|威靈仙|川七|木鼈子|柳枝|沒藥|蓖麻子,乳香|威靈仙|木鼈子|沒藥|蓖麻子,,田七(川七)
衛署成製字第013746號,EFP-013,2,乳香|威靈仙|山梨醇|川七|木鼈子|柳枝|檸檬酸|沒藥|白陶土|羧甲基纖維素-1380|羧甲基纖維素-2200|蓖麻子,乳香|威靈仙|山梨醇|川七|木鼈子|柳枝|檸檬酸|沒藥|白陶土|羧甲基纖維素-1380|羧甲基纖維素-2200|蓖麻子,,
衛署成製字第014425號,EFP-008,25,乳香|沒藥,乳香|沒藥,,
衛署成製字第014555號,EFP-002,96,乳香|大黃|木鼈子|柳枝|沒藥|獨活|玄參|生地黃|當歸|白芷|肉桂|血餘|赤芍|阿魏,乳香|大黃|木鼈子|沒藥|玄參|生地黃|當歸|白芷|肉桂|血餘|赤芍|阿魏,川烏|柳枝|槐枝|獨活|草烏|辣椒,木瓜|木龞子
衛署成製字第014802號,EFP-004,79,乳香|杏仁|沒藥|玄參|當歸|白芷|草烏|豬牙皂角|連鬚葉蔥,乳香|杏仁|沒藥|玄參|白芷|草烏|豬牙皂角,當歸|當歸尾|白膠香|連鬚葉蔥,一條根(大葉千斤拔)|梅片(冰片)|歸尾|葱(帶鬚)|蓮鬚葉葱|蔓性千斤拔(一條根)|蔥(帶鬚)|薄荷葉|藥用炭|辣椒提取物
衛署成製字第014816號,EFP-007,31,乳香|厚朴|川芎|木鼈子|柳枝|槐枝|沒藥|海螵蛸|當歸|白及|白膠香|白芷|白蘞|皂角|苦參|草烏|鱉甲|黃柏|黃芩|黃連|龍骨,乳香|厚朴|川芎|木鼈子|柳枝|槐枝|沒藥|當歸|白及|白芷|白蘞|苦參|草烏|黃柏|黃芩|黃連|龍骨,海螵蛸|烏賊魚骨|皂角|豬牙皂角|鱉甲|鼈甲,白蘝|香白芷
衛署成製字第015763號,EFP-035,1,辣椒,辣椒,,
衛署成製字第015919號,EFP-005,40,乳香|五加皮|半夏|川牛膝|川芎|木香|沒藥|當歸|石菖蒲|秦艽|紅花|肉桂|萆薢|蒼朮|蛇床子|赤芍|骨碎補,五加皮|半夏|川牛膝|川芎|木香|沒藥|當歸|石斛|石菖蒲|秦艽|紅花|肉桂|自然銅|萆薢|蒼朮|蛇床子|赤芍|附子|骨碎補|鹿茸,乳香|瓜兒血竭|血竭|透骨草,川附子|炮附子|萆解
衛署成製字第015920號,EFP-004,79,乳香|杏仁|沒藥|玄參|當歸尾|白膠香|白芷|草烏|蓮鬚葉蔥|豬牙皂角,乳香|杏仁|沒藥|玄參|白芷|草烏|豬牙皂角,當歸|當歸尾|白膠香|連鬚葉蔥,一條根(大葉千斤拔)|梅片(冰片)|歸尾|葱(帶鬚)|蓮鬚葉葱|蔓性千斤拔(一條根)|蔥(帶鬚)|薄荷葉|藥用炭|辣椒提取物
衛部成製字第016475號,EFP-003,93,大黃|川烏|木鼈子|烏藥|獨活|玄參|甘草|生地黃|當歸|白及|白芷|白蘞|羌活|肉桂|苦參|草烏|薄荷|赤芍,大黃|川烏|木鼈子|烏藥|獨活|玄參|甘草|生地黃|當歸|白及|白芷|白蘞|羌活|肉桂|苦參|草烏|赤芍,柳枝,土木鱉|土鼈子|地黃|桂枝|白笈
衛部成製字第016639號,EFP-001,102,乳香|威靈仙|木鼈子|沒藥|蓖麻子,乳香|威靈仙|木鼈子|沒藥|蓖麻子,,田七(川七)
衛署成製字第005693號,EFP-001,102,乳香|威靈仙|木鼈子|沒藥|蓖麻子|薄荷,乳香|威靈仙|木鼈子|沒藥|蓖麻子,,田七(川七)
衛署成製字第006248號,EFP-004,79,乳香|杏仁|沒藥|玄參|當歸尾|白膠香|白芷|草烏|薄荷|豬牙皂角|連鬚葉蔥,乳香|杏仁|沒藥|玄參|白芷|草烏|豬牙皂角,當歸|當歸尾|白膠香|連鬚葉蔥,一條根(大葉千斤拔)|梅片(冰片)|歸尾|葱(帶鬚)|蓮鬚葉葱|蔓性千斤拔(一條根)|蔥(帶鬚)|薄荷葉|藥用炭|辣椒提取物
衛署成製字第006395號,EFP-003,93,丁香|三七|大黃|川烏|木鼈子|柳枝|烏藥|獨活|玄參|甘草|生地黃|當歸|白及|白芷|白蘞|羌活|肉桂|苦參|草烏|赤芍,大黃|川烏|木鼈子|烏藥|獨活|玄參|甘草|生地黃|當歸|白及|白芷|白蘞|羌活|肉桂|苦參|草烏|赤芍,柳枝,土木鱉|土鼈子|地黃|桂枝|白笈
衛署成製字第007348號,EFP-008,25,乳香|沒藥,乳香|沒藥,,
衛署成製字第010791號,EFP-003,93,乳香|大黃|川烏|木鼈子|柳枝|槐枝|沒藥|烏藥|獨活|玄參|甘草|生地黃|當歸|白芷|白蘞|羌活|肉桂|草烏|赤芍,大黃|川烏|木鼈子|烏藥|獨活|玄參|甘草|生地黃|當歸|白及|白芷|白蘞|羌活|肉桂|苦參|草烏|赤芍,柳枝,土木鱉|土鼈子|地黃|桂枝|白笈
衛署成製字第011853號,EFP-005,40,乳香|五加皮|半夏|川牛膝|川芎|木香|沒藥|瓜兒血竭|當歸|石斛|石菖蒲|秦艽|紅花|肉桂|自然銅|萆薢|蒼朮|蛇床子|赤芍|附子|骨碎補|鹿茸,五加皮|半夏|川牛膝|川芎|木香|沒藥|當歸|石斛|石菖蒲|秦艽|紅花|肉桂|自然銅|萆薢|蒼朮|蛇床子|赤芍|附子|骨碎補|鹿茸,乳香|瓜兒血竭|血竭|透骨草,川附子|炮附子|萆解
衛署成製字第011907號,EFP-002,96,乳香|大黃|木鼈子|柳枝|沒藥|獨活|玄參|生地黃|當歸|白芷|肉桂|血餘|赤芍|阿魏,乳香|大黃|木鼈子|沒藥|玄參|生地黃|當歸|白芷|肉桂|血餘|赤芍|阿魏,川烏|柳枝|槐枝|獨活|草烏|辣椒,木瓜|木龞子
衛署成製字第012455號,EFP-002,96,乳香|大黃|柳枝|沒藥|獨活|玄參|生地黃|當歸|白芷|肉桂|血餘|赤芍|阿魏,乳香|大黃|木鼈子|沒藥|玄參|生地黃|當歸|白芷|肉桂|血餘|赤芍|阿魏,川烏|柳枝|槐枝|獨活|草烏|辣椒,木瓜|木龞子
衛署成製字第012568號,EFP-001,102,乳香|威靈仙|木鼈子|沒藥,乳香|威靈仙|木鼈子|沒藥|蓖麻子,,田七(川七)
