license,material_position,material_original,material_normalized,amount_raw,material_category,official_prescription_raw
衛署成製字第008450號,1,當歸尾,當歸尾,10 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,2,川白芷,白芷,10 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,3,杏仁,杏仁,10 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,4,玄參,玄參,10 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,5,豬牙皂角,豬牙皂角,10 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,6,草烏,草烏,10 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,7,白膠香,白膠香,200 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,8,連鬚葉葱,連鬚葉葱,31 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,9,松脂,松脂,200 mg,vehicle_or_patch_base,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
衛署成製字第008450號,10,乳香,乳香,17 mg,traditional_medicinal_material,"處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )"
