license,name_zh,name_en,group,is_prescription_product,dosage_form,regulatory_classification,license_status,official_indications_raw,official_prescription_raw,source_url
衛署成製字第008450號,“得生”白芷痠痛膏藥膠布(金絲膏加減味),"Bair Jyy Suan Tong Kao Plaster ""T.S."" (Chin Su Kao Chia Chien Wei)",中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:跌撲損傷、手足肩背及寒濕、腳氣疼痛之敷貼。
效能:","處方:每公克中含有:
當歸尾 (10 mg)
川白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
白膠香 (200 mg)
連鬚葉葱 (31 mg)
松脂 (200 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
薄荷腦 (11 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (5 mg)
清油加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第009782號,“漁人”金絲膏加減味藥膠布,"Jin Si Gao Jia Jian Wei Plaster ""F.M.""",中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:跌撲損傷、手足肩背及寒濕、腳氣疼痛之敷貼。
效能:","處方:每公克中含有:
當歸尾 (11 mg)
白芷 (11 mg)
杏仁 (11 mg)
玄參 (11 mg)
豬牙皂角 (11 mg)
草烏 (11 mg)
連鬚葉蔥 (30 mg)
乳香 (19 mg)
沒藥 (19 mg)
白膠香 (250 mg)
冰片 (25 mg)
薄荷腦 (20 mg)
冬綠油 (5 mg)
樹脂 (370 mg)
氧化鋅 (30 mg)
綠色色素 (4 mg)
鹽酸二苯安明 (5 mg)
二丁基羥基甲苯 (3 mg)
香油加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第012554號,凱全極品水性藥膠布(金絲萬應膏加減味),KAI CHUAN JYI PIIN SIP(Chin Szu Wan Ying Kao Jia Jian Wei),中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:跌撲損傷、寒濕及手足肩背疼痛之敷貼。
效能:","處方:每公克中含有:
威靈仙 (30 mg)
黃蠟 (30 mg)
木鼈子 (15 mg)
蓖麻子 (50 mg)
沒藥 (20 mg)
乳香 (20 mg)
川七 (30 mg)
柳枝 (5 mg)
麻油 (255 mg)
薄荷腦 (15 mg)
冬綠油 (7 mg)
食用藍色二號 ( q.s.)
食用黃色四號 ( q.s.)
水性基劑加至 (1 g)",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第013746號,“神貼”神貼水性痠痛藥膠布(金絲萬應膏加減味),Aqueous Balm“SINTAC.”,中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:跌撲損傷、寒濕及手足肩背疼痛之敷貼。
效能:","處方:每公克中含有:
威靈仙 (30 mg)
黃蠟 (30 mg)
木鼈子 (15 mg)
蓖麻子 (50 mg)
乳香 (20 mg)
沒藥 (20 mg)
川七 (30 mg)
柳枝 (5 mg)
麻油 (255 mg)
薄荷腦 (15 mg)
冬綠油 (7 mg)
食用黃色5號 ( q.s.)
食用藍色2號 ( q.s.)
水性基劑加至 (1 g)
水性基劑含有: ( )
酒精60% (9 mg)
蓖麻子油 (8 mg)
聚山梨醇酯 (6 mg)
純水 (147 mg)
白陶土 (35 mg)
甘油 (92 mg)
聚丙烯酸鈉 (6 mg)
聚丙烯酸20% (82 mg)
聚丙烯酸10% (65 mg)
羧甲基纖維素-1380 (7 mg)
羧甲基纖維素-2200 (11 mg)
檸檬酸 (1 mg)
山梨醇 (54 mg)",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第014425號,“南美”銅皮鐵骨膏藥膠布(火龍膏加減味去麝香),,中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:風寒暑濕侵襲、筋攣骨痛。
效能:","處方:每公克中含有:
生薑汁 (560 mg)
牛皮膠 (140 mg)
乳香 (35 mg)
沒藥 (35 mg)
松香 (29.95 mg)
薄荷腦 (30 mg)
冰片 (10 mg)
樹脂 (100 mg)
氧化鋅 (30 mg)
冬綠油 (10 mg)
食用黃色四號 ( q.s.)
食用藍色二號 ( q.s.)
麻油加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第014555號,“輝陽”輝陽酸痛藥膠布(太乙膏加減味),Hui Yung Suan Tong Plaster“H.Y”(Tay Yii Gau Jia Jean Wey),中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:風濕痛、跌打撲傷、筋骨痠痛。
效能:","處方:每公克中含有:
白芷 (13 mg)
當歸 (13 mg)
赤芍 (13 mg)
玄參 (13 mg)
肉桂 (13 mg)
大黃 (13 mg)
阿魏 (2 mg)
沒藥 (2 mg)
木鼈子 (13 mg)
生地黃 (13 mg)
柳枝 (27 mg)
獨活 (27 mg)
血餘 (7 mg)
乳香 (3 mg)
樹脂 (500 mg)
薄荷腦 (30 mg)
氧化鋅 (60 mg)
冬綠油 (10 mg)
冰片 (10 mg)
食用黃色4號 ( q.s.)
食用藍色2號 ( q.s.)
麻油加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第014802號,萬應白花痠痛膏水性藥膠布(金絲膏加減味),White Flower Pain Relax Balm (Jin Sh Gau Jia Jiaan Weih),中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:跌撲損傷、寒濕及手足肩背疼痛之敷貼。
效能:","處方:每公克中含有:
當歸 (11.25 mg)
白芷 (11.25 mg)
杏仁 (11.25 mg)
玄參 (11.25 mg)
豬牙皂角 (11.25 mg)
草烏 (11.25 mg)
連鬚葉蔥 (30.00 mg)
乳香 (18.75 mg)
沒藥 (18.75 mg)
麻油 (90.00 mg)
冬綠油 (10.00 mg)
薄荷腦 (20.00 mg)
白色色素 (5.00 mg)
羥苯甲酸甲酯 (1.80 mg)
羥苯甲酸丙酯 (0.20 mg)
樹脂(水性基劑)加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第014816號,〝輝陽〞速力康藥膠布(萬金膏加味),Suh Lih Kang Plaster〝H.Y〞(Wann Jin Gau Jia Wey),中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:癰疽發背、瘡癤、打撲損傷之敷貼。
效能:","處方:每公克中含有:
龍骨 (10 mg)
鱉甲 (10 mg)
苦參 (10 mg)
烏賊骨 (10 mg)
黃柏 (10 mg)
黃芩 (10 mg)
黃連 (10 mg)
皂角 (10 mg)
白及 (10 mg)
白蘞 (10 mg)
厚朴 (10 mg)
木鼈子 (10 mg)
草烏 (10 mg)
川芎 (10 mg)
當歸 (10 mg)
白芷 (10 mg)
沒藥 (10 mg)
乳香 (10 mg)
槐枝 (10 mg)
柳枝 (10 mg)
松香 (10 mg)
白膠香 (10 mg)
樹脂 (400 mg)
冬綠油 (5 mg)
薄荷腦 (25 mg)
冰片 (20 mg)
氧化鋅 (30 mg)
食用黃色四號 ( q.s.)
麻油加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第015763號,“港香蘭應用生技”辣椒膏藥膠布,La Chiao Gao Plaster “Biotanico”,中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:風濕痛、腰痠背痛、肌肉痛。
效能:","處方:每公克中含有:
辣椒 (30 mg)
沙拉油 (150 mg)
白蠟 (160 mg)
氧化鋅 (30 mg)
蜂蠟 (30 mg)
樹脂 (600 mg)",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第015919號,通血透骨膏貼布,“Tong Xie Tou Gu Gao”Herbal Patch,中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:舒筋活血、止痛、治跌打損傷
效能:","處方:每公克中含有:
赤芍 (40 mg)
骨碎補 (20 mg)
當歸 (20 mg)
紅花 (20 mg)
乳香 (20 mg)
沒藥 (20 mg)
川芎 (16 mg)
川牛膝 (10 mg)
五加皮 (10 mg)
蒼朮 (10 mg)
石菖蒲 (10 mg)
木香 (6 mg)
秦艽 (6 mg)
蛇床子 (6 mg)
肉桂 (6 mg)
半夏 (6 mg)
萆薢 (6 mg)
樹脂 (200 mg)
薄荷腦 (60 mg)
氧化鋅 (60 mg)
松香 (20 mg)
食用藍色二號鋁麗基 ( q.s.)
食用黃色四號鋁麗基 ( q.s.)
食用黃色五號鋁麗基 ( q.s.)
食用紅色40號鋁麗基 ( q.s.)
麻油加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
衛署成製字第015920號,酸痛十分寧藥膠布(金絲膏加減味),Suan Tong Shih Fen Nin Plaster (jin sih gao jia jian wei),中藥外用貼布,False,藥膠布劑,成藥,active_in_official_export,"適應症:跌撲損傷、手足肩背及寒濕腳氣疼痛之敷貼。
效能:","處方:每公克中含有:
當歸尾 (10 mg)
白芷 (10 mg)
杏仁 (10 mg)
玄參 (10 mg)
豬牙皂角 (10 mg)
草烏 (10 mg)
蓮鬚葉蔥 (31 mg)
白膠香 (248 mg)
松脂 (248 mg)
乳香 (17 mg)
沒藥 (17 mg)
黃蠟 (31 mg)
氧化鋅 (60 mg)
冬綠油 (20 mg)
薄荷腦 (60 mg)
白色色素 (5 mg)
清油加至1g ( )",https://service.mohw.gov.tw/DOCMAP/CusSite/TCMLQueryForm.aspx
