material_normalized,product_count,product_licenses
一條根(大葉千斤拔),1,衛部成製字第017085號
丁二醇,1,衛部成製字第017068號
三稜,1,衛部成製字第016729號
乳香(炒),1,衛部成製字第016729號
乾薑,2,衛部成製字第016872號|衛部成製字第017068號
乾蠍,1,衛署藥製字第049686號
五靈脂,1,衛部成製字第016419號
兒茶,3,衛部成製字第016729號|衛部成製字第017034號|衛部成製字第017035號
八角茴香,1,衛署成製字第009994號
南鶴虱,1,衛署成製字第015910號
吳茱萸,2,衛署藥製字第049686號|衛部成製字第017036號
土木鱉,1,衛署成製字第013396號
土鱉蟲,3,衛部成製字第016729號|衛部成製字第017034號|衛部成製字第017035號
土鼈子,1,衛署成製字第014890號
地黃,1,衛署成製字第011271號
地龍,1,衛部成製字第016419號
大戟,1,衛部藥製字第058702號
大風子,2,衛署成製字第012021號|衛署成製字第016161號
天麻,1,衛署藥製字第049686號
姜蚕,1,衛部成製字第016419號
小茴香,1,衛署成製字第009994號
山奈,1,衛部成製字第016872號
川附子,3,衛署成製字第013557號|衛署成製字第014429號|衛署成製字第014916號
木瓜,2,衛署成製字第014626號|衛部成製字第016729號
木通,1,衛部成製字第016419號
木龞子,1,衛部成製字第016560號
朴硝,1,衛部藥製字第058702號
杏仁(去尖皮),1,衛署成製字第014818號
杏仁(去皮尖),1,衛署成製字第008160號
枳殼,1,衛署藥製字第049686號
栝樓,1,衛署成製字第015929號
栝樓根,2,衛署藥製字第005166號|衛部成製字第016749號
桂心,1,衛署藥製字第049686號
桂枝,3,衛署成製字第011271號|衛部成製字第016419號|衛部成製字第016749號
梅片(冰片),1,衛部成製字第016469號
歸尾,1,衛署成製字第004807號
母丁香,1,衛署成製字第009994號
沉香,1,衛署成製字第009994號
沒藥(炒),1,衛部成製字第016729號
炮附子,2,衛署成製字第012595號|衛部成製字第016655號
烏喙,1,衛署藥製字第049686號
烏蛇,1,衛署藥製字第049686號
牛蒡草根梗葉,1,衛部成製字第016419號
牡丹皮,3,衛署成製字第013701號|衛署成製字第015199號|衛署成製字第015910號
甘遂,1,衛部藥製字第058702號
生川烏,2,衛部成製字第016729號|衛部成製字第016872號
生草烏,2,衛部成製字第016729號|衛部成製字第016872號
生薑,1,衛部成製字第016906號
生辣椒,1,衛部成製字第016896號
生馬錢子,1,衛部成製字第016872號
田七(川七),2,衛部成製字第016459號|衛部成製字第016588號
白千層油,2,衛署成製字第016082號|衛署成製字第016142號
白殭蠶,3,衛署成製字第011093號|衛署成製字第012021號|衛署藥製字第049686號
白笈,1,衛署成製字第014592號
白腊,2,衛署成製字第012120號|衛署成製字第012351號
白膠香(明者),2,衛署成製字第008160號|衛署成製字第014818號
白臘,1,衛署成製字第011640號
白芥子,1,衛部藥製字第058702號
白蘝,2,衛署成製字第005943號|衛部成製字第016467號
積雪草,1,衛部成製字第016872號
續斷,1,衛部成製字第016419號
羧甲基纖維素-1380,3,衛署成製字第013746號|衛署成製字第014546號|衛署成製字第014936號
羧甲基纖維素-2200,3,衛署成製字第013746號|衛署成製字第014546號|衛署成製字第014936號
羧甲基纖維素1380,1,衛署成製字第013442號
羧甲基纖維素2200,1,衛署成製字第013442號
老鸛草,1,衛部成製字第016872號
聚丙稀酸,1,衛署藥製字第048117號
膠,1,衛署成製字第007116號
色膏,1,衛部成製字第016749號
芸香,1,衛部成製字第016872號
草屋(生剉),1,衛署成製字第014818號
草烏(生剉),1,衛署成製字第008160號
莪朮,1,衛部成製字第016729號
萆解,1,衛部成製字第016655號
葱(帶鬚),1,衛署成製字第011653號
蓮鬚葉葱,1,衛署成製字第014932號
蔓性千斤拔(一條根),1,衛部成製字第016863號
蔥(帶鬚),1,衛署成製字第011973號
薄荷草,1,衛部成製字第016629號
薄荷葉,1,衛部成製字第016863號
薑黃,2,衛署成製字第015929號|衛署藥製字第005166號
藥用炭,2,衛部成製字第016704號|衛部成製字第016755號
蜂臘,2,衛署成製字第011640號|衛署成製字第012120號
製川烏,1,衛署成製字第010213號
豬牙皂角(去皮弦),2,衛署成製字第008160號|衛署成製字第014818號
辣椒提取物,1,衛部成製字第016825號
辣椒油,2,衛署成製字第016082號|衛署成製字第016142號
金不換,3,衛署成製字第013701號|衛署成製字第015199號|衛署成製字第015910號
釘地蜈蚣,1,衛部成製字第016629號
銀花,1,衛署成製字第009333號
頭醋,1,衛署藥製字第049686號
顛茄,1,衛部成製字第016872號
風仙花梗葉,1,衛部成製字第016419號
香加皮,1,衛部成製字第016872號
香櫞,1,衛部成製字第016419號
香白芷,1,衛署成製字第007671號
香附,1,衛署成製字第009994號
鶴虱,2,衛署成製字第013701號|衛署成製字第015199號
麝香銅,1,衛部成製字第016840號
麻黃,1,衛部藥製字第058702號
