herb_a,herb_b,product_weighted_cooccurrence_count,evidence_scope
當歸,白芍,2489,inferred-parent formula composition
川芎,當歸,2362,inferred-parent formula composition
大棗,生薑,2324,inferred-parent formula composition
川芎,白芍,2035,inferred-parent formula composition
炙甘草,生薑,1827,inferred-parent formula composition
生薑,茯苓,1693,inferred-parent formula composition
桔梗,甘草,1681,inferred-parent formula composition
大棗,炙甘草,1642,inferred-parent formula composition
人參,茯苓,1510,inferred-parent formula composition
白朮,茯苓,1460,inferred-parent formula composition
當歸,茯苓,1438,inferred-parent formula composition
熟地黃,當歸,1427,inferred-parent formula composition
熟地黃,白芍,1355,inferred-parent formula composition
川芎,甘草,1351,inferred-parent formula composition
人參,生薑,1349,inferred-parent formula composition
熟地黃,茯苓,1346,inferred-parent formula composition
甘草,當歸,1345,inferred-parent formula composition
甘草,茯苓,1342,inferred-parent formula composition
生薑,白芍,1342,inferred-parent formula composition
人參,大棗,1321,inferred-parent formula composition
生薑,陳皮,1306,inferred-parent formula composition
大棗,茯苓,1300,inferred-parent formula composition
甘草,生薑,1291,inferred-parent formula composition
生薑,白朮,1285,inferred-parent formula composition
人參,當歸,1272,inferred-parent formula composition
人參,白朮,1255,inferred-parent formula composition
人參,炙甘草,1241,inferred-parent formula composition
炙甘草,白芍,1236,inferred-parent formula composition
川芎,防風,1221,inferred-parent formula composition
川芎,熟地黃,1196,inferred-parent formula composition
炙甘草,茯苓,1195,inferred-parent formula composition
生薑,當歸,1168,inferred-parent formula composition
炙甘草,當歸,1143,inferred-parent formula composition
半夏,生薑,1139,inferred-parent formula composition
當歸,白朮,1136,inferred-parent formula composition
甘草,防風,1122,inferred-parent formula composition
生地黃,當歸,1117,inferred-parent formula composition
山藥,茯苓,1109,inferred-parent formula composition
澤瀉,茯苓,1100,inferred-parent formula composition
炙甘草,白朮,1097,inferred-parent formula composition
大棗,白朮,1048,inferred-parent formula composition
山梔子,黃芩,1024,inferred-parent formula composition
當歸,黃芩,1014,inferred-parent formula composition
川芎,生薑,1008,inferred-parent formula composition
人參,甘草,1003,inferred-parent formula composition
牡丹皮,茯苓,1000,inferred-parent formula composition
甘草,白芍,983,inferred-parent formula composition
半夏,茯苓,978,inferred-parent formula composition
白芍,茯苓,978,inferred-parent formula composition
當歸,黃耆,968,inferred-parent formula composition
甘草,薄荷,956,inferred-parent formula composition
山茱萸,山藥,954,inferred-parent formula composition
山茱萸,茯苓,954,inferred-parent formula composition
山藥,熟地黃,945,inferred-parent formula composition
甘草,黃芩,936,inferred-parent formula composition
當歸,防風,935,inferred-parent formula composition
大棗,白芍,933,inferred-parent formula composition
人參,白芍,913,inferred-parent formula composition
山茱萸,熟地黃,905,inferred-parent formula composition
炙甘草,陳皮,896,inferred-parent formula composition
茯苓,陳皮,881,inferred-parent formula composition
白朮,白芍,880,inferred-parent formula composition
川芎,茯苓,876,inferred-parent formula composition
人參,黃耆,865,inferred-parent formula composition
柴胡,當歸,860,inferred-parent formula composition
大棗,陳皮,856,inferred-parent formula composition
山梔子,當歸,828,inferred-parent formula composition
大黃,黃芩,821,inferred-parent formula composition
人參,川芎,812,inferred-parent formula composition
甘草,荊芥,812,inferred-parent formula composition
大棗,當歸,810,inferred-parent formula composition
山藥,澤瀉,800,inferred-parent formula composition
