herb,product_count_from_inferred_parent,formula_count,explicit_indication_link_count,unclassified_phrase_link_count,top_explicit_indication_labels,evidence_scope
茯苓,4433,64,9336,7150,呼吸／感冒／痰多／祛痰 (745) | 眼耳鼻喉／眼睛乾澀／視力不清 (646) | 消化／消化不良／食慾不振 (638) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (571) | 呼吸／感冒／咳嗽 (543) | 其他明確症狀／頭暈／眩暈 (541) | 其他明確症狀／消渴／口渴 (527) | 全身／虛損／氣血不足／貧血 (421) | 消化／噁心／嘔吐 (329) | 全身／虛損／疲勞／倦怠 (299) | 全身／虛損／盜汗／自汗 (290) | 泌尿／腎／遺精／滑精 (274) | 呼吸／感冒／咽喉痛／聲音沙啞 (267) | 婦科／月經不調 (265) | 睡眠／精神／焦慮／心悸 (248) | 泌尿／腎／夜尿／頻尿 (247) | 眼耳鼻喉／耳鳴／耳聾 (231) | 睡眠／精神／健忘／精神恍惚 (217) | 泌尿／腎／小便不利／澀痛 (201) | 疼痛／筋骨／外傷／跌打損傷／瘀傷 (195),inferred-parent formula composition; official indication phrase taxonomy
當歸,4386,61,7488,7961,全身／虛損／氣血不足／貧血 (745) | 全身／虛損／疲勞／倦怠 (602) | 婦科／月經不調 (510) | 睡眠／精神／焦慮／心悸 (496) | 消化／消化不良／食慾不振 (426) | 消化／便秘 (385) | 眼耳鼻喉／耳鳴／耳聾 (379) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (314) | 睡眠／精神／健忘／精神恍惚 (284) | 疼痛／筋骨／外傷／跌打損傷／瘀傷 (275) | 婦科／產後調理／廣泛產後症狀 (224) | 婦科／白帶 (222) | 消化／腹痛 (222) | 皮膚／外科／瘡瘍／腫毒 (185) | 呼吸／感冒／咳嗽 (178) | 呼吸／感冒／痰多／祛痰 (171) | 睡眠／精神／失眠 (159) | 泌尿／腎／小便不利／澀痛 (151) | 其他明確症狀／頭暈／眩暈 (139) | 疼痛／筋骨／外傷／關節／風濕疼痛 (129),inferred-parent formula composition; official indication phrase taxonomy
甘草,4163,75,6594,6759,呼吸／感冒／咳嗽 (885) | 呼吸／感冒／痰多／祛痰 (761) | 疼痛／筋骨／外傷／頭痛 (453) | 眼耳鼻喉／耳鳴／耳聾 (377) | 呼吸／感冒／鼻塞／鼻炎 (350) | 呼吸／感冒／感冒 (314) | 消化／便秘 (283) | 疼痛／筋骨／外傷／跌打損傷／瘀傷 (260) | 其他明確症狀／消渴／口渴 (251) | 呼吸／感冒／咽喉痛／聲音沙啞 (249) | 泌尿／腎／小便不利／澀痛 (209) | 消化／消化不良／食慾不振 (185) | 皮膚／外科／瘡瘍／腫毒 (178) | 消化／噁心／嘔吐 (176) | 疼痛／筋骨／外傷／關節／風濕疼痛 (162) | 睡眠／精神／焦慮／心悸 (154) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (148) | 皮膚／外科／皮膚搔癢／疹 (121) | 消化／腹脹／胃脹 (117) | 其他明確症狀／頭暈／眩暈 (87),inferred-parent formula composition; official indication phrase taxonomy
生薑,3547,67,6122,7412,消化／消化不良／食慾不振 (729) | 呼吸／感冒／痰多／祛痰 (604) | 消化／噁心／嘔吐 (590) | 呼吸／感冒／咳嗽 (563) | 疼痛／筋骨／外傷／頭痛 (401) | 全身／虛損／疲勞／倦怠 (341) | 全身／虛損／氣血不足／貧血 (258) | 呼吸／感冒／感冒 (241) | 消化／便秘 (239) | 呼吸／感冒／鼻塞／鼻炎 (209) | 消化／腹脹／胃脹 (188) | 其他明確症狀／頭暈／眩暈 (176) | 睡眠／精神／焦慮／心悸 (148) | 全身／虛損／盜汗／自汗 (127) | 消化／腹痛 (109) | 皮膚／外科／瘡瘍／腫毒 (108) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (104) | 消化／胃酸逆流／泛酸 (93) | 疼痛／筋骨／外傷／關節／風濕疼痛 (89) | 皮膚／外科／皮膚搔癢／疹 (82),inferred-parent formula composition; official indication phrase taxonomy
炙甘草,3462,57,5795,7566,消化／消化不良／食慾不振 (789) | 消化／噁心／嘔吐 (496) | 全身／虛損／疲勞／倦怠 (405) | 全身／虛損／氣血不足／貧血 (391) | 呼吸／感冒／咳嗽 (318) | 疼痛／筋骨／外傷／頭痛 (281) | 呼吸／感冒／痰多／祛痰 (268) | 睡眠／精神／焦慮／心悸 (237) | 婦科／月經不調 (202) | 其他明確症狀／頭暈／眩暈 (157) | 疼痛／筋骨／外傷／關節／風濕疼痛 (155) | 呼吸／感冒／氣喘／喘促 (152) | 消化／腹痛 (148) | 呼吸／感冒／感冒 (147) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (141) | 其他明確症狀／消渴／口渴 (118) | 疼痛／筋骨／外傷／肩背／肢體疼痛 (116) | 呼吸／感冒／鼻塞／鼻炎 (110) | 消化／腹脹／胃脹 (109) | 全身／虛損／盜汗／自汗 (102),inferred-parent formula composition; official indication phrase taxonomy
白芍,3462,50,5340,6499,全身／虛損／氣血不足／貧血 (644) | 婦科／月經不調 (440) | 全身／虛損／疲勞／倦怠 (388) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (335) | 消化／腹痛 (253) | 消化／便秘 (250) | 消化／消化不良／食慾不振 (244) | 其他明確症狀／頭暈／眩暈 (204) | 婦科／白帶 (197) | 疼痛／筋骨／外傷／跌打損傷／瘀傷 (195) | 疼痛／筋骨／外傷／頭痛 (191) | 眼耳鼻喉／耳鳴／耳聾 (176) | 呼吸／感冒／咳嗽 (171) | 皮膚／外科／瘡瘍／腫毒 (169) | 婦科／產後調理／廣泛產後症狀 (135) | 睡眠／精神／焦慮／心悸 (133) | 疼痛／筋骨／外傷／關節／風濕疼痛 (119) | 呼吸／感冒／氣喘／喘促 (113) | 呼吸／感冒／痰多／祛痰 (104) | 消化／噁心／嘔吐 (99),inferred-parent formula composition; official indication phrase taxonomy
川芎,3337,42,5193,6278,全身／虛損／氣血不足／貧血 (475) | 疼痛／筋骨／外傷／頭痛 (345) | 婦科／月經不調 (317) | 全身／虛損／疲勞／倦怠 (304) | 呼吸／感冒／鼻塞／鼻炎 (289) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (273) | 疼痛／筋骨／外傷／關節／風濕疼痛 (266) | 呼吸／感冒／感冒 (220) | 呼吸／感冒／咽喉痛／聲音沙啞 (201) | 消化／腹痛 (200) | 婦科／白帶 (194) | 呼吸／感冒／痰多／祛痰 (194) | 婦科／產後調理／廣泛產後症狀 (188) | 皮膚／外科／瘡瘍／腫毒 (187) | 消化／便秘 (149) | 消化／消化不良／食慾不振 (133) | 呼吸／感冒／咳嗽 (123) | 其他明確症狀／頭暈／眩暈 (118) | 睡眠／精神／焦慮／心悸 (99) | 眼耳鼻喉／耳鳴／耳聾 (96),inferred-parent formula composition; official indication phrase taxonomy
大棗,2779,50,4719,6201,消化／消化不良／食慾不振 (792) | 消化／噁心／嘔吐 (469) | 全身／虛損／疲勞／倦怠 (341) | 呼吸／感冒／痰多／祛痰 (337) | 呼吸／感冒／咳嗽 (286) | 全身／虛損／盜汗／自汗 (275) | 全身／虛損／氣血不足／貧血 (252) | 疼痛／筋骨／外傷／頭痛 (235) | 泌尿／腎／遺精／滑精 (148) | 呼吸／感冒／鼻塞／鼻炎 (141) | 睡眠／精神／焦慮／心悸 (140) | 呼吸／感冒／感冒 (139) | 其他明確症狀／頭暈／眩暈 (123) | 消化／腹脹／胃脹 (121) | 消化／便秘 (93) | 消化／腹痛 (93) | 消化／胃酸逆流／泛酸 (80) | 其他明確症狀／消渴／口渴 (71) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (65) | 婦科／月經不調 (65),inferred-parent formula composition; official indication phrase taxonomy
人參,2741,49,4856,5577,消化／消化不良／食慾不振 (662) | 全身／虛損／疲勞／倦怠 (443) | 消化／噁心／嘔吐 (425) | 全身／虛損／氣血不足／貧血 (358) | 呼吸／感冒／痰多／祛痰 (306) | 其他明確症狀／消渴／口渴 (238) | 呼吸／感冒／咳嗽 (234) | 睡眠／精神／健忘／精神恍惚 (211) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (173) | 其他明確症狀／頭暈／眩暈 (168) | 睡眠／精神／焦慮／心悸 (158) | 疼痛／筋骨／外傷／頭痛 (148) | 泌尿／腎／夜尿／頻尿 (120) | 泌尿／腎／遺精／滑精 (109) | 泌尿／腎／遺尿 (100) | 疼痛／筋骨／外傷／關節／風濕疼痛 (94) | 呼吸／感冒／感冒 (77) | 睡眠／精神／失眠 (74) | 婦科／月經不調 (73) | 眼耳鼻喉／耳鳴／耳聾 (69),inferred-parent formula composition; official indication phrase taxonomy
熟地黃,2560,25,5224,4404,眼耳鼻喉／眼睛乾澀／視力不清 (658) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (533) | 全身／虛損／氣血不足／貧血 (444) | 其他明確症狀／消渴／口渴 (422) | 其他明確症狀／頭暈／眩暈 (382) | 全身／虛損／盜汗／自汗 (325) | 全身／虛損／疲勞／倦怠 (306) | 呼吸／感冒／咽喉痛／聲音沙啞 (292) | 眼耳鼻喉／耳鳴／耳聾 (235) | 消化／消化不良／食慾不振 (186) | 婦科／月經不調 (185) | 泌尿／腎／遺精／滑精 (169) | 婦科／白帶 (125) | 消化／腹痛 (110) | 泌尿／腎／夜尿／頻尿 (97) | 呼吸／感冒／咳嗽 (96) | 泌尿／腎／小便不利／澀痛 (95) | 婦科／產後調理／廣泛產後症狀 (61) | 疼痛／筋骨／外傷／肩背／肢體疼痛 (61) | 呼吸／感冒／氣喘／喘促 (61),inferred-parent formula composition; official indication phrase taxonomy
白朮,2231,34,4465,4323,消化／消化不良／食慾不振 (791) | 全身／虛損／疲勞／倦怠 (475) | 全身／虛損／氣血不足／貧血 (450) | 呼吸／感冒／痰多／祛痰 (264) | 婦科／月經不調 (257) | 消化／噁心／嘔吐 (211) | 睡眠／精神／焦慮／心悸 (206) | 消化／便秘 (189) | 疼痛／筋骨／外傷／腰痛／腰膝痠痛 (156) | 其他明確症狀／頭暈／眩暈 (134) | 皮膚／外科／瘡瘍／腫毒 (123) | 消化／腹瀉 (108) | 泌尿／腎／小便不利／澀痛 (104) | 消化／腹痛 (100) | 消化／腹脹／胃脹 (97) | 全身／虛損／盜汗／自汗 (95) | 呼吸／感冒／咳嗽 (90) | 其他明確症狀／消渴／口渴 (72) | 疼痛／筋骨／外傷／頭痛 (61) | 婦科／妊娠相關症狀 (61),inferred-parent formula composition; official indication phrase taxonomy
