商品名,英文品名,許可證字號,許可證種類,劑型,規格,包裝,適應症,排除原因,命中關鍵字
"""佳和桂""他氟前列素","Tafluprost ""Chirogate""",衛部藥製字第060557號,原料藥,原料藥溶液劑,,玻璃瓶裝,降低隅角開放性青光眼或高眼壓患者之眼壓。,原料藥／非最終製劑,眼；青光眼
"""佳和桂""曲沃前列素","Travoprost""Chirogate""",衛署藥製字第055921號,原料藥,原料藥溶液劑,,玻璃瓶裝,降低隅角開放性青光眼或高眼壓患者之眼壓。,原料藥／非最終製劑,眼；青光眼
"""佳和桂""比馬前列素","Bimatoprost ""Chirogate""",衛署藥製字第056696號,原料藥,原料藥結晶性粉末,,內襯PE袋鋁箔袋裝(真空包裝),隅角開放性青光眼及高眼壓症。,原料藥／非最終製劑,眼；青光眼
"""佳和桂""無異構體拉坦前列醇","Isomer Free Latanoprost ""Chirogate""",衛部藥製字第060284號,原料藥,原料藥溶液劑,,玻璃瓶裝,抗青光眼。,原料藥／非最終製劑,眼；青光眼
"""優奎發"" 挫匹卡邁",TROPICAMIDE,衛署藥輸字第023185號,原料藥,（粉）,TROPICAMIDE,０．５公斤以上,散瞳劑。,原料藥／非最終製劑,散瞳
“佳和桂”拉坦前列醇,Latanoprost“Chirogate”,衛署藥製字第049575號,原料藥,原料藥溶液劑,,玻璃瓶裝,抗青光眼。,原料藥／非最終製劑,眼；青光眼
“台灣神隆”利抑整聯素,Lifitegrast,衛部藥製字第061857號,原料藥,（粉）,,HDPE圓桶裝,治療乾眼症的徵象及症狀。,原料藥／非最終製劑,眼；乾眼
“臺灣永光”貝美前列素,Bimatoprost“Everlight”,衛署藥製字第056315號,原料藥,原料藥粉末,,透明樹脂瓶裝,隅角開放性青光眼及高眼壓症。,原料藥／非最終製劑,眼；青光眼
"他氟前列素""臺灣永光""","Tafluprost ""Everlight""",衛部藥製字第058607號,原料藥,原料藥溶液劑,,透明樹脂瓶裝,降低青光眼及高眼壓患者之眼壓。,原料藥／非最終製劑,眼；青光眼
保妥適乾粉注射劑,BOTOX (BOTULINUM TOXIN TYPE A) PURIFIED NEUROTOXIN COMPLEX,衛署菌疫輸字第000525號,菌 疫,乾粉注射劑,BOTULINUM TOXIN TYPE A,小瓶,1.12歲以上病人因肌張力不足造成的斜視和眼瞼痙攣，包括良性原發性眼瞼痙攣或第七對腦神經障礙，及半面痙攣。 2.減少痙攣性斜頸(頸肌張力不全)的主觀症狀以及客觀徵候。 3.局部痙攣： (1)成人上肢痙攣。 (2)成人病人下肢痙攣，以減少踝關節和腳趾屈肌群(腓腸肌、比目魚肌、脛後肌、屈拇長肌和屈趾長肌)肌張力增加的嚴重程度。 (3)2歲以上病人因幼年型腦性麻痺引起之下肢肌肉痙攣，包含動態性馬蹄形足畸形。 4.原發性腋窩多汗症。 5.膀胱功能障礙： (1)因脊髓病變所引起的逼尿肌過動而導致尿失禁之成人病人，且經膽鹼類藥物治療無效或無法耐受者。 (2)尿失禁、尿急與頻尿等膀胱過動症的成人病人，經抗膽鹼類藥物治療反應不佳或無法耐受必須停藥，且如有需要時，願意及能夠於治療後進行乾淨間歇性導尿(clean intermittent catheterization)者。 6.暫時性改善成人上臉部因皺眉紋、魚尾紋、抬頭紋所造成的動態性皺紋外觀。 7.下臉部及頸部肌肉突出： (1)改善成人咬肌突出的外觀。 (2)改善成人頸闊肌突出的外觀。 8.慢性偏頭痛(至少有3個月時間，每個月≥15天，每次持續4小時以上，且其中至少有一半的頭痛是偏頭痛)成人病人的頭痛預防性治療。重要限制：BOTOX對陣發性頭痛(每月頭痛天數≤14天)之安全性及有效性尚無證據證明。,原料藥／非最終製劑,眼
保妥適乾粉注射劑,BOTOX (BOTULINUM TOXIN TYPE A) PURIFIED NEUROTOXIN COMPLEX,衛署菌疫輸字第000525號,菌 疫,乾粉注射劑,BOTULINUM TOXIN TYPE A,小瓶,1.12歲以上病人因肌張力不足造成的斜視和眼瞼痙攣，包括良性原發性眼瞼痙攣或第七對腦神經障礙，及半面痙攣。 2.減少痙攣性斜頸(頸肌張力不全)的主觀症狀以及客觀徵候。 3.局部痙攣： (1)成人上肢痙攣。 (2)成人病人下肢痙攣，以減少踝關節和腳趾屈肌群(腓腸肌、比目魚肌、脛後肌、屈拇長肌和屈趾長肌)肌張力增加的嚴重程度。 (3)2歲以上病人因幼年型腦性麻痺引起之下肢肌肉痙攣，包含動態性馬蹄形足畸形。 4.原發性腋窩多汗症。 5.膀胱功能障礙： (1)因脊髓病變所引起的逼尿肌過動而導致尿失禁之成人病人，且經膽鹼類藥物治療無效或無法耐受者。 (2)尿失禁、尿急與頻尿等膀胱過動症的成人病人，經抗膽鹼類藥物治療反應不佳或無法耐受必須停藥，且如有需要時，願意及能夠於治療後進行乾淨間歇性導尿(clean intermittent catheterization)者。 6.暫時性改善成人上臉部因皺眉紋、魚尾紋、抬頭紋所造成的動態性皺紋外觀。 7.下臉部及頸部肌肉突出： (1)改善成人咬肌突出的外觀。 (2)改善成人頸闊肌突出的外觀。 8.慢性偏頭痛(至少有3個月時間，每個月≥15天，每次持續4小時以上，且其中至少有一半的頭痛是偏頭痛)成人病人的頭痛預防性治療。重要限制：BOTOX對陣發性頭痛(每月頭痛天數≤14天)之安全性及有效性尚無證據證明。,原料藥／非最終製劑,眼
保妥適乾粉注射劑,BOTOX (BOTULINUM TOXIN TYPE A) PURIFIED NEUROTOXIN COMPLEX,衛署菌疫輸字第000525號,菌 疫,乾粉注射劑,BOTULINUM TOXIN TYPE A,小瓶,1.12歲以上病人因肌張力不足造成的斜視和眼瞼痙攣，包括良性原發性眼瞼痙攣或第七對腦神經障礙，及半面痙攣。 2.減少痙攣性斜頸(頸肌張力不全)的主觀症狀以及客觀徵候。 3.局部痙攣： (1)成人上肢痙攣。 (2)成人病人下肢痙攣，以減少踝關節和腳趾屈肌群(腓腸肌、比目魚肌、脛後肌、屈拇長肌和屈趾長肌)肌張力增加的嚴重程度。 (3)2歲以上病人因幼年型腦性麻痺引起之下肢肌肉痙攣，包含動態性馬蹄形足畸形。 4.原發性腋窩多汗症。 5.膀胱功能障礙： (1)因脊髓病變所引起的逼尿肌過動而導致尿失禁之成人病人，且經膽鹼類藥物治療無效或無法耐受者。 (2)尿失禁、尿急與頻尿等膀胱過動症的成人病人，經抗膽鹼類藥物治療反應不佳或無法耐受必須停藥，且如有需要時，願意及能夠於治療後進行乾淨間歇性導尿(clean intermittent catheterization)者。 6.暫時性改善成人上臉部因皺眉紋、魚尾紋、抬頭紋所造成的動態性皺紋外觀。 7.下臉部及頸部肌肉突出： (1)改善成人咬肌突出的外觀。 (2)改善成人頸闊肌突出的外觀。 8.慢性偏頭痛(至少有3個月時間，每個月≥15天，每次持續4小時以上，且其中至少有一半的頭痛是偏頭痛)成人病人的頭痛預防性治療。重要限制：BOTOX對陣發性頭痛(每月頭痛天數≤14天)之安全性及有效性尚無證據證明。,原料藥／非最終製劑,眼
