Indication,Product Count,Top Ingredients,Top Ingredient Classes,Top Products,Rx / 指示藥 / 成藥 / 待確認,Preservative Summary,Related Indications,Summary Sentence
結膜炎,154,Neomycin (Sulfate)(22)；Dexamethasone(21)；Fluorometholone(13)；Betamethasone(13)；Gentamicin(12)；Tetrahydrozoline(12)；Chondroitin sulfate(10)；Sulfamethoxazole Sodium(9)；Cromolyn sodium(9)；Neomycin Sulfate(9),其他成分(38)；抗菌成分(7)；類固醇成分(5)；抗過敏成分(5)；角膜修復／其他成分(5)；退紅／血管收縮成分(3)；NSAID 成分(1),"""派頓"" 克多樂眼藥水 0.5%；克炎多樂點眼液 0.5%；可特樂點眼液；舒腫眼藥水 0.5%；安眼潤眼用乳劑0.05%；宜可利1毫克/1毫升眼用乳劑；滴舒適點眼液；麗眼達眼用乳劑0.05%；""應元"" 仕隆眼藥水 4%；""應元"" 樂富眼藥水0.3%",待人工確認:154,否:154,角膜炎(94)；麥粒腫(40)；角膜潰瘍(33)；消炎(32)；過敏性結膜炎(31)；抗菌(27)；術後發炎(20)；眼睛紅(17),結膜炎 相關產品共 154 項，常見成分以 Neomycin (Sulfate) 為代表。
角膜炎,114,Gentamicin(22)；Betamethasone(20)；Neomycin (Sulfate)(19)；Dexamethasone(18)；Chondroitin sulfate(12)；Fluorometholone(10)；Chlorpheniramine Maleate(8)；Pyridoxine HCL(7)；Neomycin Sulfate(7)；Norfloxacin (Baccidal)(6),其他成分(24)；抗菌成分(6)；類固醇成分(5)；角膜修復／其他成分(5)；退紅／血管收縮成分(3)；抗過敏成分(1)；防腐劑(1),"""應元"" 樂富眼藥水0.3%；""杏輝""能視眼藥水0.3%；""派頓"" 護睛眼藥水3.0公絲/公撮 (諾弗酒欣)；“杏輝”孟克杏點眼液４０毫克/毫升（美坐磺胺）；“麥迪森”拿普欣眼藥水 0.3 %；信柔點眼液 4%；景明眼藥水（賜法每卓唑）；眼光眼藥水；諾杏點眼液 0.3%；點特靈單劑量點眼液",待人工確認:114,否:113；是:1,結膜炎(94)；角膜潰瘍(38)；麥粒腫(33)；消炎(21)；抗菌(18)；術後發炎(13)；眼睛紅(11)；眼睛疲勞(7),角膜炎 相關產品共 114 項，常見成分以 Gentamicin 為代表。
青光眼,87,Timolol(35)；Latanoprost(17)；Carteolol HCL(10)；Brimonidine(10)；Dorzolamide(7)；Pilocarpine HCL(5)；Travoprost(4)；Bimatoprost(4)；Brinzolamide(3)；Tafluprost(3),青光眼成分(10)；其他成分(3),"""五福"" 鹽酸毛果芸香鹼眼藥水２％；""五福""毛果芸香鹼眼藥水1%；""應元"" 抑壓眼藥水0.1%；""綠洲""綠賜明點眼液１％（毛果芸香碱）；""綠洲""綠賜明點眼液２％（毛果芸香碱）；""麥迪森"" 凱特羅眼藥水1%；""麥迪森""凱特羅眼藥水2%；“派頓”卡狄奧眼藥水 1.0%；可利壓點眼液2%；大塚美特朗持續性點眼液 2%",待人工確認:87,否:87,降眼壓(68),青光眼 相關產品共 87 項，常見成分以 Timolol 為代表。
眼睛疲勞,82,Chlorpheniramine Maleate(51)；Chondroitin sulfate(40)；Neostigmine Methylsulfate(32)；Cyanocobalamin (Vit B12)(25)；Pyridoxine HCL(21)；Naphazoline(18)；Tetrahydrozoline(17)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(16)；Pyridoxine Hydrochloride(14)；Panthenol(13),其他成分(37)；角膜修復／其他成分(5)；人工淚液／潤滑成分(2)；抗過敏成分(2)；退紅／血管收縮成分(2),"樂敦乾眼淚液眼藥水；樂敦視涵點眼液-水潤型；""三友""舒目眼藥水；""健喬"" 維生素 B12 眼藥水 0.02%；""應元""舒視B12眼藥水0.02%；""杏輝""旺滴點眼液；""派頓""好明亮眼藥水；""派頓""好晶光 眼藥水；""派頓""眼晶眼藥水；""麥迪森"" 眼爽朗眼藥水",待人工確認:82,否:82,眼睛癢(52)；眼睛紅(40)；結膜炎(9)；角膜炎(7)；眼睛乾澀(4)；麥粒腫(4)；抗菌(1)；潤滑保濕(1),眼睛疲勞 相關產品共 82 項，常見成分以 Chlorpheniramine Maleate 為代表。
降眼壓,70,Timolol(21)；Latanoprost(17)；Carteolol HCL(10)；Brimonidine(10)；Dorzolamide(7)；Travoprost(4)；Bimatoprost(4)；Pilocarpine HCL(3)；Brinzolamide(3)；Tafluprost(3),青光眼成分(9)；其他成分(3),"""健喬"" 芸香眼藥水１％（毛果芸香生僉）；""健喬"" 芸香眼藥水２％（毛果芸香生僉）；""應元"" 抑壓眼藥水0.1%；""麥迪森"" 凱特羅眼藥水1%；""麥迪森""凱特羅眼藥水2%；“派頓”卡狄奧眼藥水 1.0%；可利壓點眼液2%；大塚美特朗持續性點眼液 2%；愛倍力(單支裝)點眼液0.002%；愛倍力點眼液 0.002%",待人工確認:70,否:70,青光眼(68),降眼壓 相關產品共 70 項，常見成分以 Timolol 為代表。
眼睛紅,63,Chlorpheniramine Maleate(31)；Chondroitin sulfate(24)；Naphazoline(23)；Tetrahydrozoline(22)；Neostigmine Methylsulfate(21)；Pyridoxine HCL(12)；Cyanocobalamin (Vit B12)(11)；Aminocaproic Acid Epsilon-(10)；Potassium L-Aspartate(10)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(10),其他成分(30)；角膜修復／其他成分(5)；抗過敏成分(3)；退紅／血管收縮成分(3)；防腐劑(1),"""杏輝"" 舒明視眼藥水；寧舒通點眼液 0.005%；愛視明點眼液（硫酸甲酯新斯狄明）；唯敏準眼用液劑；""派頓""好晶光 眼藥水；補又晶眼藥水；""派頓""欣可爽點眼液；""陽生""涼爽B12眼藥水；康愛富點眼液；新一點靈Ｂ１２眼藥水",待人工確認:63,否:62；是:1,眼睛疲勞(40)；眼睛癢(29)；結膜炎(17)；角膜炎(11)；麥粒腫(5)；過敏性結膜炎(2)；角膜潰瘍(2)；眼睛乾澀(1),眼睛紅 相關產品共 63 項，常見成分以 Chlorpheniramine Maleate 為代表。
眼睛癢,60,Chlorpheniramine Maleate(46)；Neostigmine Methylsulfate(27)；Chondroitin sulfate(27)；Tetrahydrozoline(15)；Pyridoxine HCL(13)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(13)；Aminocaproic Acid Epsilon-(13)；Pyridoxine Hydrochloride(12)；Cyanocobalamin (Vit B12)(12)；Potassium L-Aspartate(11),其他成分(25)；角膜修復／其他成分(5)；抗過敏成分(4)；退紅／血管收縮成分(2)；NSAID 成分(1),"""派頓"" 克多樂眼藥水 0.5%；克炎多樂點眼液 0.5%；可特樂點眼液；舒腫眼藥水 0.5%；“派頓”多蒂芬眼藥水 0.025%；凱迪芬眼藥水0.025%；唯敏準眼用液劑；景克敏點眼液0.25毫克/毫升；""三友""舒目眼藥水；""派頓""好明亮眼藥水",待人工確認:60,否:60,眼睛疲勞(52)；眼睛紅(29)；過敏性結膜炎(8)；結膜炎(8)；術後發炎(4)；消炎(4),眼睛癢 相關產品共 60 項，常見成分以 Chlorpheniramine Maleate 為代表。
睫狀肌麻痺,50,Atropine(39)；Tropicamide(11)；Phenylephrine(1),散瞳／睫狀肌麻痺成分(2)；退紅／血管收縮成分(1),"""五福"" 樂托品點眼液0.05%；""五福"" 硫酸阿托品點眼液 0.125%；""五福"" 硫酸阿托品點眼液 0.25%；""五福""樂托品點眼液0.01%；""五福""樂托品點眼液單支裝0.01%；""五福""樂托品點眼液單支裝0.05%；""五福""特必邁眼藥水10毫克/毫升(挫匹卡邁)；""五福""硫酸阿托品點眼液0.5%；""信東""硫酸阿托品眼藥水0.01%；""應元"" 安妥眼藥水 0.3%",待人工確認:50,否:50,散瞳(44),睫狀肌麻痺 相關產品共 50 項，常見成分以 Atropine 為代表。
眼睛乾澀,49,Sodium chloride(17)；Hypromellose(15)；Potassium Chloride(10)；Propylene glycol(5)；Glycerin (EQ TO Glycerol)(5)；Carboxymethylcellulose(5)；Chondroitin sulfate(4)；Dextran 70(3)；Polyethylene glycol(3)；Mineral Oil(3),其他成分(21)；人工淚液／潤滑成分(8)；防腐劑(1)；角膜修復／其他成分(1)；退紅／血管收縮成分(1),"""五福""益視點眼液；""信東"" 人工淚液；""信東"" 舒眼人工淚液；""愛爾康""視舒坦康復力人工淚液點眼液；""愛爾康法國廠""淚然人工淚液點眼液；""愛特淚""單劑量眼用滴劑0.32% Ｗ/Ｖ；""應元""潤眼眼藥水(人工淚液)；""派頓""派滴兒點眼液；""派頓""滴潤人工淚液；""派頓""點亮點眼液",待人工確認:49,否:47；是:2,眼睛疲勞(4)；眼睛紅(1),眼睛乾澀 相關產品共 49 項，常見成分以 Sodium chloride 為代表。
散瞳,48,Atropine(38)；Tropicamide(9)；Phenylephrine(3),散瞳／睫狀肌麻痺成分(2)；退紅／血管收縮成分(1),"""五福"" 樂托品點眼液0.05%；""五福"" 硫酸阿托品點眼液 0.25%；""五福""樂托品點眼液0.01%；""五福""樂托品點眼液單支裝0.01%；""五福""樂托品點眼液單支裝0.05%；""五福""硫酸阿托品點眼液0.5%；""信東""硫酸阿托品眼藥水0.01%；""應元"" 安妥眼藥水 0.3%；""應元"" 安妥眼藥水0.125%；""應元""安妥眼藥水0.01%",待人工確認:48,否:48,睫狀肌麻痺(44)；過敏性結膜炎(1)；眼睛紅(1)；結膜炎(1),散瞳 相關產品共 48 項，常見成分以 Atropine 為代表。
角膜潰瘍,46,Gentamicin(13)；Betamethasone(13)；Neomycin (Sulfate)(11)；Dexamethasone(7)；Norfloxacin (Baccidal)(5)；Ofloxacin(3)；Neomycin Sulfate(3)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(3)；Hydrocortisone Acetate(2)；Procaine HCL(2),其他成分(18)；抗菌成分(4)；類固醇成分(2)；角膜修復／其他成分(2)；抗過敏成分(1)；退紅／血管收縮成分(1),"""應元"" 樂富眼藥水0.3%；""杏輝""能視眼藥水0.3%；""派頓"" 護睛眼藥水3.0公絲/公撮 (諾弗酒欣)；“麥迪森”拿普欣眼藥水 0.3 %；眼光眼藥水；諾杏點眼液 0.3%；""三友""睛寧眼藥水；""五福"" 見達眼藥水（紫菌素）３毫克/毫升；""人人""紫菌素眼用軟膏３公絲/公克；""人人""美佳健眼藥水",待人工確認:46,否:46,角膜炎(38)；結膜炎(33)；抗菌(15)；麥粒腫(13)；術後發炎(9)；消炎(5)；角膜修復(3)；抗病毒(2),角膜潰瘍 相關產品共 46 項，常見成分以 Gentamicin 為代表。
消炎,45,Neomycin (Sulfate)(9)；Betamethasone(9)；Fluorometholone(8)；Ketorolac(4)；Hydrocortisone Acetate(4)；Dexamethasone(4)；Neomycin Sulfate(4)；Diclofenac(2)；Nepafenac(2)；Cyclosporin(2),其他成分(7)；類固醇成分(5)；NSAID 成分(3)；抗菌成分(3)；抗過敏成分(1),"""派頓"" 克多樂眼藥水 0.5%；""溫士頓"" 莫痛炎眼藥水０．１％（二克氯吩鈉）；以利視點眼懸液劑0.3%；克炎多樂點眼液 0.5%；可特樂點眼液；納衛視點眼懸液劑 0.1%；舒腫眼藥水 0.5%；良元眼藥水０．１％〝應元〞；安眼潤眼用乳劑0.05%；宜可利1毫克/1毫升眼用乳劑",待人工確認:45,否:44；待確認:1,結膜炎(32)；角膜炎(21)；術後發炎(15)；抗菌(8)；過敏性結膜炎(7)；角膜潰瘍(5)；眼睛癢(4)；角膜修復(3),消炎 相關產品共 45 項，常見成分以 Neomycin (Sulfate) 為代表。
抗菌,43,Ofloxacin(8)；Norfloxacin (Baccidal)(6)；Tobramycin(6)；Gentamicin(3)；Moxifloxacin(3)；Dexamethasone(3)；Neomycin (Sulfate)(3)；Tetracycline HCL (EQ TO Tetracycline Hydrochloride)(2)；Tetracycline (HCL)(2)；Neomycin Sulfate(2),其他成分(13)；抗菌成分(7)；類固醇成分(4)；人工淚液／潤滑成分(1),"""應元"" 樂富眼藥水0.3%；""杏輝""能視眼藥水0.3%；""派頓"" 瀝目睛眼藥水3毫克/毫升；""派頓"" 護睛眼藥水3.0公絲/公撮 (諾弗酒欣)；“麥迪森”拿普欣眼藥水 0.3 %；博倫眼用懸液劑 0.6%；諾杏點眼液 0.3%；點特靈單劑量點眼液；""五福"" 特視眼藥水（泰百黴素）３毫克/毫升；""應元"" 康明眼藥水 0.3%",待人工確認:43,否:43,結膜炎(27)；角膜炎(18)；角膜潰瘍(15)；麥粒腫(12)；術後發炎(10)；消炎(8)；過敏性結膜炎(3)；抗病毒(2),抗菌 相關產品共 43 項，常見成分以 Ofloxacin 為代表。
麥粒腫,40,Gentamicin(8)；Norfloxacin (Baccidal)(6)；Chondroitin sulfate(6)；Chlorpheniramine Maleate(6)；Cyanocobalamin (Vit B12)(5)；Pyridoxine HCL(5)；Neomycin (Sulfate)(4)；Sulfamethoxazole(3)；Sulfamethoxazole Sodium(3)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(3),其他成分(19)；抗菌成分(5)；角膜修復／其他成分(5)；類固醇成分(2)；抗過敏成分(1),"""應元"" 仕隆眼藥水 4%；""應元"" 樂富眼藥水0.3%；""杏輝""能視眼藥水0.3%；""派頓"" 護睛眼藥水3.0公絲/公撮 (諾弗酒欣)；“杏輝”孟克杏點眼液４０毫克/毫升（美坐磺胺）；“麥迪森”拿普欣眼藥水 0.3 %；“麥迪森”舒美佐眼藥水 4%；止膿敏點眼液；眼光眼藥水；諾杏點眼液 0.3%",待人工確認:40,否:40,結膜炎(40)；角膜炎(33)；角膜潰瘍(13)；抗菌(12)；術後發炎(8)；眼睛紅(5)；眼睛疲勞(4)；抗病毒(3),麥粒腫 相關產品共 40 項，常見成分以 Gentamicin 為代表。
待人工確認,36,Neostigmine Methylsulfate(5)；Chloramphenicol(5)；Betamethasone(5)；Tropicamide(4)；Neomycin (Sulfate)(4)；Proparacaine HCL(2)；Pirfenoxone (EQ TO Catalin)( EQ TO Pirenoxine)(2)；Oxybuprocaine HCL(2)；Atropine(2)；Oxymetazoline HCL(1),其他成分(14)；抗菌成分(3)；類固醇成分(2)；散瞳／睫狀肌麻痺成分(2)；人工淚液／潤滑成分(1),"""人人""清眼點眼液０．２５毫克/毫升（異每達佐林）；""台灣塩野義""硫酸甲酯新斯狄明點眼液０．０１％；""愛爾康"" 愛爾卡因0.5 ％點眼液；""派頓""百麗欣點眼懸液0.005%；""麥迪森"" 益視明眼藥水 0.05%；五福普洛拍拉卡因眼藥水５公絲/公撮；倍能視耐點眼液；寧舒通點眼液 0.01%；新一點靈晶靚點眼液；柯寧優尼點眼懸液",待人工確認:36,否:36,,待人工確認 相關產品共 36 項，常見成分以 Neostigmine Methylsulfate 為代表。
過敏性結膜炎,31,Cromolyn sodium(9)；Ketorolac(4)；Antazoline HCL(4)；Tetrahydrozoline(4)；Ketotifen(3)；Olopatadine(2)；Loteprednol(2)；Dexamethasone(2)；Pemirolast Potassium(1)；Emedastine(1),其他成分(4)；抗過敏成分(4)；類固醇成分(3)；退紅／血管收縮成分(2)；NSAID 成分(1)；抗菌成分(1),"""派頓"" 克多樂眼藥水 0.5%；克炎多樂點眼液 0.5%；可特樂點眼液；舒腫眼藥水 0.5%；炎即爽眼藥水；""應元"" 療敏眼藥水2%；""杏輝""眸朗明眼藥水；“派頓”克樂敏眼藥水 2%；“派頓”多蒂芬眼藥水 0.025%；“麥迪森”麥敏眼藥水 2%",待人工確認:31,否:31,結膜炎(31)；眼睛癢(8)；消炎(7)；角膜炎(6)；術後發炎(4)；抗菌(3)；眼睛紅(2)；散瞳(1),過敏性結膜炎 相關產品共 31 項，常見成分以 Cromolyn sodium 為代表。
術後發炎,26,Norfloxacin (Baccidal)(6)；Ketorolac(4)；Neomycin (Sulfate)(3)；Diclofenac(2)；Dexamethasone(2)；Triamcinolone Acetonide(2)；Betamethasone(2)；Fluorometholone(2)；Nepafenac(1)；Carbachol(1),其他成分(6)；抗菌成分(4)；NSAID 成分(3)；類固醇成分(3)；角膜修復／其他成分(1)；退紅／血管收縮成分(1),"""派頓"" 克多樂眼藥水 0.5%；""溫士頓"" 莫痛炎眼藥水０．１％（二克氯吩鈉）；以利視點眼懸液劑0.3%；克炎多樂點眼液 0.5%；可特樂點眼液；舒腫眼藥水 0.5%；良元眼藥水０．１％〝應元〞；""應元"" 樂富眼藥水0.3%；""杏輝""能視眼藥水0.3%；""派頓"" 護睛眼藥水3.0公絲/公撮 (諾弗酒欣)",待人工確認:26,否:26,結膜炎(20)；消炎(15)；角膜炎(13)；抗菌(10)；角膜潰瘍(9)；麥粒腫(8)；過敏性結膜炎(4)；眼睛癢(4),術後發炎 相關產品共 26 項，常見成分以 Norfloxacin (Baccidal) 為代表。
乾眼,12,Carbomer(8)；Cyclosporin(2)；Diquafosol Sodium(1)；Lifitegrast(1),其他成分(3)；人工淚液／潤滑成分(1),博士倫愛特淚單劑量點眼凝膠；博士倫愛特淚眼用凝膠；博士倫維帝斯眼用凝膠；卡特斯眼用凝膠 0.2%；安眼潤眼用乳劑0.05%；淚保舒眼用凝膠；滴舒適點眼液；睛潤眼用凝膠；睛瑩眼用凝膠；維蒂斯眼用凝膠,待人工確認:12,否:12,結膜炎(3)；角膜修復(3)；消炎(2),乾眼 相關產品共 12 項，常見成分以 Carbomer 為代表。
角膜修復,10,Dexamethasone(3)；Cyclosporin(2)；Vitamin A(2)；Neomycin (Sulfate)(2)；Ciclosporin(1)；Diquafosol Sodium(1)；Chondroitin sulfate(1)；Naphazoline(1)；Neomycin (Fradiomycin)(1),其他成分(5)；角膜修復／其他成分(2)；退紅／血管收縮成分(1)；類固醇成分(1),"安眼潤眼用乳劑0.05%；宜可利1毫克/1毫升眼用乳劑；滴舒適點眼液；麗眼達眼用乳劑0.05%；""溫士頓""維他命A眼藥膏；""綠洲"" 維他命Ａ眼藥膏；""溫士頓""溫美眼眼藥水；""杏輝""滴朗眼液；滴可舒眼藥水；視寧點眼液",待人工確認:10,否:10,結膜炎(7)；角膜炎(6)；乾眼(3)；消炎(3)；角膜潰瘍(3)；眼睛紅(1)；術後發炎(1),角膜修復 相關產品共 10 項，常見成分以 Dexamethasone 為代表。
抗病毒,5,Idoxuridine(1)；Chloramphenicol(1)；Hydrocortisone Acetate(1)；Erythromycin Base(1)；Erythromycin(1)；Chondroitin sulfate(1)；Dexamethasone(1),其他成分(4)；抗菌成分(1)；角膜修復／其他成分(1)；類固醇成分(1),"眼/停點眼液 0.1%；可氯松眼藥膏；""健喬"" 紅黴素眼藥膏 0.5%；紅力素眼藥膏；可得朗滴明爽眼藥水",待人工確認:5,否:5,角膜炎(5)；結膜炎(3)；麥粒腫(3)；角膜潰瘍(2)；抗菌(2),抗病毒 相關產品共 5 項，常見成分以 Idoxuridine 為代表。
潤滑保濕,2,Boric Acid(2)；Edetate Disodium Dihydrate (EQ TO Disodium Edetate Dihydrate)(1)；Sorbic Acid(1)；Sodium chloride(1)；Potassium Chloride(1)；Sodium Carbonate Anhydrous(1)；Sodium Phosphate Dibasic Heptahydrate(1),其他成分(6)；人工淚液／潤滑成分(1),"""五福"" 潔聖舒眼液；""杏輝""旺滴點眼液",待人工確認:2,否:2,眼睛疲勞(1)；抗菌(1),潤滑保濕 相關產品共 2 項，常見成分以 Boric Acid 為代表。
