Ingredient,Ingredient Class,Product Count,Top Indications,Indication Profile,Breadth Score,Specificity Score,Most Related Indication,Rx Count,OTC Count,待人工確認 Count,中藥 Count,含防腐劑 Count,Common Co-occurring Ingredients,Representative Products,Notes
Chlorpheniramine Maleate,抗過敏成分,55,眼睛疲勞(51)；眼睛癢(46)；眼睛紅(31)；結膜炎(8)；角膜炎(8)；麥粒腫(6)；角膜潰瘍(1),眼睛疲勞:51；眼睛癢:46；眼睛紅:31；結膜炎:8；角膜炎:8；麥粒腫:6；角膜潰瘍:1,7,92.7,眼睛疲勞,0,0,55,0,0,Chondroitin sulfate(32)；Neostigmine Methylsulfate(26)；Pyridoxine HCL(19)；Cyanocobalamin (Vit B12)(17)；Tetrahydrozoline(15)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(14)；Aminocaproic Acid Epsilon-(13)；Panthenol(13),"""三友""舒目眼藥水；""派頓""眼晶眼藥水；“佐藤”視樂優點眼液；參天維生素涼感眼藥水；參天維生素溫和眼藥水；參天維視眼藥水；新鮮視點眼液；樂敦舒視齡眼藥水",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Chondroitin sulfate,角膜修復／其他成分,46,眼睛疲勞(40)；眼睛癢(27)；眼睛紅(24)；角膜炎(12)；結膜炎(10)；麥粒腫(6)；眼睛乾澀(4)；角膜潰瘍(2),眼睛疲勞:40；眼睛癢:27；眼睛紅:24；角膜炎:12；結膜炎:10；麥粒腫:6；眼睛乾澀:4；角膜潰瘍:2；術後發炎:1；角膜修復:1；抗病毒:1,11,87.0,眼睛疲勞,0,0,46,0,0,Chlorpheniramine Maleate(32)；Pyridoxine HCL(14)；Cyanocobalamin (Vit B12)(13)；Neostigmine Methylsulfate(12)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(10)；Naphazoline(9)；Tetrahydrozoline(9)；Panthenol(8),"樂敦乾眼淚液眼藥水；樂敦視涵點眼液-水潤型；""中美"" 可愛Ｂ１２眼藥水；""應元 "" 益眼乙１２眼藥水；""杏輝""欣吉視點眼液；""派頓""舒適優眼藥水；""西德有機"" 愛視力點眼液；""陽生""涼爽B12眼藥水",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Atropine,散瞳／睫狀肌麻痺成分,41,睫狀肌麻痺(39)；散瞳(38)；待人工確認(2),睫狀肌麻痺:39；散瞳:38；待人工確認:2,3,95.1,睫狀肌麻痺,0,0,41,0,0,,"""五福"" 樂托品點眼液0.05%；""五福"" 硫酸阿托品點眼液 0.125%；""五福"" 硫酸阿托品點眼液 0.25%；""五福""樂托品點眼液0.01%；""五福""樂托品點眼液單支裝0.01%；""五福""樂托品點眼液單支裝0.05%；""五福""硫酸阿托品點眼液0.5%；""信東""硫酸阿托品眼藥水0.01%",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Neostigmine Methylsulfate,其他成分,41,眼睛疲勞(32)；眼睛癢(27)；眼睛紅(21)；待人工確認(5)；結膜炎(1)；角膜炎(1)；麥粒腫(1),眼睛疲勞:32；眼睛癢:27；眼睛紅:21；待人工確認:5；結膜炎:1；角膜炎:1；麥粒腫:1,7,78.0,眼睛疲勞,0,0,41,0,0,Chlorpheniramine Maleate(26)；Aminocaproic Acid Epsilon-(12)；Chondroitin sulfate(12)；Pyridoxine Hydrochloride(11)；Taurine (EQ TO 2-Aminoethane Sulfonic Acid)(10)；Potassium L-Aspartate(10)；Tetrahydrozoline(10)；Pyridoxine HCL(8),"""台灣塩野義""硫酸甲酯新斯狄明點眼液０．０１％；""杏輝"" 舒明視眼藥水；寧舒通點眼液 0.005%；寧舒通點眼液 0.01%；愛視明點眼液（硫酸甲酯新斯狄明）；舒視明點眼液；視明眼藥水 ０．０１％；護眼眼藥水 0.01%",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Timolol,青光眼成分,35,青光眼(35)；降眼壓(21),青光眼:35；降眼壓:21,2,100.0,青光眼,0,0,35,0,0,Latanoprost(5)；Dorzolamide(4)；Brimonidine(2)；Brinzolamide(1)；Tafluprost(1)；Travoprost(1),"""五福"" 滴目露眼藥水０．５％（第莫洛）；""杏輝""滴青點眼液５毫克/毫升（第莫洛）；""瑞化""視壓穩複方點眼液劑0.05毫克+5毫克/毫升；""聯邦""複方樂舒坦眼藥水；""麥迪森"" 克壓眼藥水0.25%；“政德”樂目朗眼藥水 0.25%；“派頓”壓解眼藥水 0.25%；“派頓”壓解眼藥水 0.5%",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Tetrahydrozoline,退紅／血管收縮成分,28,眼睛紅(22)；眼睛疲勞(17)；眼睛癢(15)；結膜炎(12)；過敏性結膜炎(4)；角膜炎(4),眼睛紅:22；眼睛疲勞:17；眼睛癢:15；結膜炎:12；過敏性結膜炎:4；角膜炎:4,6,78.6,眼睛紅,0,0,28,0,0,Chlorpheniramine Maleate(15)；Neostigmine Methylsulfate(10)；Chondroitin sulfate(9)；Potassium L-Aspartate(8)；Aminocaproic Acid Epsilon-(6)；Pyridoxine Hydrochloride(6)；Zinc Sulfate Hydrate(5)；Antazoline HCL(4),“應元”傑敏眼藥水；“杏輝”舒明麗眼藥水；“派頓”復舒寧眼藥水；“派頓”沙芬眼藥水；“聯邦”敏克安眼藥水；參天極滴晰睛眼藥水；參天極滴潤睛眼藥水；參天沁涼眼藥水,依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Cyanocobalamin (Vit B12),其他成分,27,眼睛疲勞(25)；眼睛癢(12)；眼睛紅(11)；結膜炎(6)；角膜炎(6)；麥粒腫(5),眼睛疲勞:25；眼睛癢:12；眼睛紅:11；結膜炎:6；角膜炎:6；麥粒腫:5,6,92.6,眼睛疲勞,0,0,27,0,0,Chlorpheniramine Maleate(17)；Chondroitin sulfate(13)；Pyridoxine HCL(11)；Neostigmine Methylsulfate(6)；Pyridoxine Hydrochloride(5)；Panthenol(5)；Tetrahydrozoline(4)；Taurine (EQ TO Aminoethyl Sulfonic Acid )(3),"""應元""舒視B12眼藥水0.02%；""麥迪森"" 眼爽朗眼藥水；參天潤澤眼藥水；參天維視眼藥水；散克巴點眼液；新鮮視點眼液；水潤澤眼藥水；眼爽點眼液",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Neomycin (Sulfate),其他成分,27,結膜炎(22)；角膜炎(19)；角膜潰瘍(11)；消炎(9)；麥粒腫(4)；待人工確認(4)；術後發炎(3)；抗菌(3),結膜炎:22；角膜炎:19；角膜潰瘍:11；消炎:9；麥粒腫:4；待人工確認:4；術後發炎:3；抗菌:3；角膜修復:2；眼睛紅:1；過敏性結膜炎:1,11,81.5,結膜炎,0,0,27,0,0,Betamethasone(11)；Dexamethasone(9)；Hydrocortisone Acetate(5)；Triamcinolone Acetonide(1)；Prednisolone(1)；Polymyxin B Sulfate(1),"康體邁新眼藥膏；眼用溫拿可通軟膏；""派頓""欣可爽點眼液；康體邁新點眼液；明晶點眼液；視可定眼用懸浮液；""應元""明美眼藥水；""杏輝""滴朗眼液",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Betamethasone,類固醇成分,26,角膜炎(20)；角膜潰瘍(13)；結膜炎(13)；消炎(9)；待人工確認(5)；術後發炎(2)；抗菌(1),角膜炎:20；角膜潰瘍:13；結膜炎:13；消炎:9；待人工確認:5；術後發炎:2；抗菌:1,7,76.9,角膜炎,0,0,26,0,0,Neomycin (Sulfate)(11)；Gentamicin(8)；Neomycin Sulfate(2)；Fradiomycin Sulfate (EQ TO Neomycin Sulfate)(1),"""三友""睛寧眼藥水；""人人""美佳健眼藥水；""杏輝""怡視點眼液；""永信""佳爽眼藥水；""派頓""健得隆眼藥水；""溫士頓""佳必得點眼液；亮眼眼藥水；視敏樂眼藥水",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
Dexamethasone,類固醇成分,25,結膜炎(21)；角膜炎(18)；角膜潰瘍(7)；消炎(4)；抗菌(3)；角膜修復(3)；術後發炎(2)；麥粒腫(2),結膜炎:21；角膜炎:18；角膜潰瘍:7；消炎:4；抗菌:3；角膜修復:3；術後發炎:2；麥粒腫:2；過敏性結膜炎:2；待人工確認:1；抗病毒:1,11,84.0,結膜炎,0,0,25,0,0,Neomycin (Sulfate)(9)；Neomycin Sulfate(5)；Polymyxin B Sulfate(2)；Chloramphenicol(1)；Tobramycin(1)；Gentamicin(1)；Ofloxacin(1)；Chondroitin sulfate(1),"""派頓"" 克滴康 眼藥水；可必妥眼藥膏；得夏新點眼液；黛珂莎點眼液；""中美"" 滴佳眼藥水；""應元""明美眼藥水；""杏輝""滴朗眼液；""派頓""派敏鬆眼藥水",依 TFDA 開放資料與規則分類自動整理，藥品分類欄位待人工確認時請回查原始許可證。
