商品名,英文品名,許可證字號,許可證持有廠商,是否有效,藥品分類,分類依據,是否中藥,劑型,規格,包裝,適應症完整原文,適應症摘要,推定用途分類,全部成分原文,主要成分,防腐劑成分，若有,是否含防腐劑,是否為複方,資料來源,備註
"""派頓"" 克多樂眼藥水 0.5%","Ketoro Ophthalmic Solution 0.5% ""Patron""",衛署藥製字第049328號,臺灣派頓化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,塑膠瓶裝,暫時緩解由季節性過敏性結膜炎引發之眼部搔癢、白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,Each mL contains： KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_2aa2e023-7bb2-48ac-9c8e-6f94e81f90c3?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/7edfc90d-a8c4-4a2f-bee3-bb3e2610f5ce_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""溫士頓"" 莫痛炎眼藥水０．１％（二克氯吩鈉）","VOLEN OPHTHALMIC SOLUTION 0.1% (DICLOFENAC SODIUM)""WINSTON""",衛署藥製字第043124號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,DICLOFENAC SODIUM,瓶裝,白內障手術後之眼部發炎。,術後發炎；消炎,NSAID 消炎型,EACH ML CONTAINS: DICLOFENAC SODIUM 1.000000 MG,Diclofenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_a052f386-4af5-493b-b044-9c025fadc4df?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_1ee829d9-7db1-4299-9116-28c8c700ef93?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_44254f6c-b706-4152-a4d5-18ffa644db31?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/fdb58ad9-80f2-4a36-a5fb-01b62559ce6c_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/fdb58ad9-80f2-4a36-a5fb-01b62559ce6c_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/fdb58ad9-80f2-4a36-a5fb-01b62559ce6c_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/ca117ac9-1bd2-4e59-967e-c43e0c414ffd?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
以利視點眼懸液劑0.3%,"ILEVRO 3 mg/mL Eye Drops, Suspension",衛部藥輸字第026743號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,無菌眼耳鼻用液劑,NEPAFENAC,LDPE塑膠瓶裝,用於成人患者預防及治療白內障手術相關的術後疼痛及發炎,術後發炎；消炎,NSAID 消炎型,Each ml contains: NEPAFENAC 3.000000 MG,Nepafenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥輸字第026743號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_2?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_1?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_3?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_4?c=2;https://mcp.fda.gov.tw/insert/lablefiles/2c30b2db-ba64-4117-a6f2-ce48d248ebb9_5?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
克炎多樂點眼液 0.5%,Kirtolac Ophthalmic Solution 0.5%,衛署藥製字第048992號,溫士頓醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,塑膠瓶裝,暫時緩解由於季節性過敏性結膜炎引發之眼部搔癢，白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,Each ml contains： KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_960d509f-0e30-4a7b-9c1a-113b418a301b?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/172493cd-7437-4d2e-ac8b-f1483f69ab2d_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
可特樂點眼液,Ketolaku Ophthalmic solution,衛部藥製字第061872號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,LDPE塑膠瓶裝,暫時緩解由季節性過敏性結膜炎引發之眼部搔癢、白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,Each ml contains: KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第061872號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/99551288-203d-4eef-b36f-a3a68be06785?c=2;https://mcp.fda.gov.tw/insert/lablefiles/99551288-203d-4eef-b36f-a3a68be06785?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
納衛視點眼懸液劑 0.1%,Nevanac Ophthalmic suspension 0.1%,衛署藥輸字第024795號,台灣諾華股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼懸液劑,NEPAFENAC,塑膠瓶裝,治療白內障手術引起之疼痛與發炎。,消炎,NSAID 消炎型,Each ml contains： NEPAFENAC 1.000000 MG,Nepafenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛署藥輸字第024795號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/d6327113-5609-42c1-a8b7-3c933782dbb3_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/d6327113-5609-42c1-a8b7-3c933782dbb3_10?c=2;https://mcp.fda.gov.tw/insert/lablefiles/a0b9a277-f817-4dd9-b0a6-6d5b13d5db92?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
舒腫眼藥水 0.5%,KELAC OPHTHALMIC SOLUTION 0.5%,衛署藥製字第046223號,麥迪森醫藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,KETOROLAC TROMETHAMINE,塑膠瓶裝,暫時緩解由季節性過敏性結膜炎引發之眼部搔癢、白內障手術後之眼部發炎。,過敏性結膜炎；眼睛癢；結膜炎；術後發炎；消炎,NSAID 消炎型,EACH ML CONTAINS： KETOROLAC TROMETHAMINE 5.000000 MG,Ketorolac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_c17a3449-e256-451e-884e-9f8409b7be66?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_a7f9df21-366f-4f86-93af-e8e2f23aabeb?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_b92a3c0e-a30c-436b-a48e-6240a186c840?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_d54f2dbe-f957-4fd5-a323-b801e0766353?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/cf96db00-86db-4bfd-950f-e215cf807b64?c=2;https://mcp.fda.gov.tw/insert/lablefiles/97337b62-9376-4d10-89ac-725477f58384?c=2;https://mcp.fda.gov.tw/insert/lablefiles/e702f569-dddc-4d10-8aa7-e9de584d6a1b_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
良元眼藥水０．１％〝應元〞,"LANYUNG EYE DROPS 0.1% ""Y.Y.""",衛署藥製字第044245號,應元化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,DICLOFENAC SODIUM,塑膠瓶裝,白內障手術後之眼部發炎。,術後發炎；消炎,NSAID 消炎型,EACH ML CONTAINS: DICLOFENAC SODIUM 1 1.000000 MG,Diclofenac,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_53d6450f-8921-4683-80dd-f949c2bffea6?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/81d6c56d-9729-422f-a703-6f695d5c9afb_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""五福"" 潔聖舒眼液","JANSON WETTING SOLUTION ""WU FU""",衛署藥製字第037677號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,EDETATE DISODIUM DIHYDRATE (EQ TO DISODIUM EDETATE DIHYDRATE);;BORIC ACID;;SORBIC ACID,塑膠瓶裝,人工淚液。,潤滑保濕,人工淚液／潤滑型,EACH ML CONTAINS: BORIC ACID 2.320000 MG；EACH ML CONTAINS: EDETATE DISODIUM DIHYDRATE (EQ TO DISODIUM EDETATE DIHYDRATE) 1.000000 MG；EACH ML CONTAINS: SORBIC ACID 1.000000 MG,Boric Acid；Edetate Disodium Dihydrate (EQ TO Disodium Edetate Dihydrate)；Sorbic Acid,,否,是,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/insert/pdfcasefile/i_5d502a82-844c-420e-aa2a-7a921a45eaa0?c=2 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/ad151961-fffc-4797-bd2c-a6cdc4d0ee33_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
"""五福""益視點眼液","""Wu-Fu"" Yes Eye Drops",衛部藥製字第060417號,五福化學製藥股份有限公司,是,待人工確認,TFDA 藥品類別欄位空白,否,點眼液劑,HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC),塑膠瓶裝,暫時緩解因眼睛乾澀所引起灼熱感與刺激感。,眼睛乾澀,人工淚液／潤滑型,Each mL contains: HYDROXYPROPYLMETHYLCELLULOSE(EQ TO HYPROMELLOSE)(HPMC) Hydroxypropylmethylcellulose (HPMC) 50cps 5.000000 MG,Hypromellose,,否,否,TFDA open data InfoId=37; InfoId=43; InfoId=39 仿單圖檔連結:https://mcp.fda.gov.tw/exportpdf/衛部藥製字第060417號 | 外盒圖檔連結:https://mcp.fda.gov.tw/insert/lablefiles/30274cac-0392-4b76-a920-c746f5525d38_0?c=2; 查詢入口:https://lmspiq.fda.gov.tw/web/DRPIQ/DRPIQ,
