Ingredient,Product Count,黴菌感染,濕疹,皮膚炎,傷口,搔癢,香港腳,股癬,待人工確認,燙傷,消炎止痛,自體免疫／免疫發炎相關皮膚疾病,乾癬／牛皮癬,青春痘,刀傷,體癬,膿皰,細菌感染,扁平苔癬,異位性皮膚炎,抗病毒相關,病毒感染,痔瘡,灰指甲,病毒疣,疥瘡,生殖器疣,唇皰疹
Betamethasone,179,79,106,116,52,22,57,57,5,57,7,47,47,5,46,17,11,28,11,28,1,1,5,0,0,0,0,0
Menthol,132,2,15,20,23,84,2,2,3,39,44,0,0,0,17,0,0,0,0,0,0,0,5,0,0,0,0,0
Triamcinolone,111,74,98,78,20,23,52,47,1,5,2,27,27,0,0,3,3,12,1,1,0,0,0,5,0,0,0,0
Camphor,110,0,15,18,27,75,2,0,3,45,23,2,2,0,23,0,1,1,0,0,0,0,0,0,0,0,0,0
Neomycin,108,6,72,55,68,44,2,0,3,53,0,31,31,1,32,0,22,12,0,9,14,14,0,0,0,0,0,0
Diphenhydramine,103,2,45,53,18,95,1,1,2,15,20,0,0,0,11,0,1,3,0,0,0,0,4,0,0,0,0,0
Hydrocortisone,103,12,72,64,12,70,8,7,0,3,15,3,3,1,2,0,16,1,0,4,13,13,17,0,0,1,0,0
Gentamicin,100,58,62,67,55,9,36,36,0,63,0,7,7,5,45,2,22,38,0,4,0,0,1,0,0,0,0,0
Methyl salicylate,95,3,11,15,19,55,3,3,3,40,27,0,0,0,14,1,1,1,0,0,0,0,0,0,0,0,0,0
Tolnaftate,85,80,36,37,32,2,80,77,0,32,0,0,0,2,32,7,3,3,0,0,0,0,0,0,0,0,0,0
Econazole,81,78,62,43,0,0,59,56,0,0,0,3,3,0,0,6,0,3,0,0,0,0,0,5,0,0,0,0
Terbinafine,79,79,0,0,0,0,79,72,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0
Chlorhexidine,76,18,6,7,33,13,18,17,8,15,8,0,0,0,1,0,6,5,0,0,0,0,8,0,0,0,0,0
Clotrimazole,71,67,2,2,0,0,50,49,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0
Salicylic acid,68,19,27,22,3,7,20,9,11,2,0,23,23,1,3,0,6,1,16,10,1,1,0,1,13,1,0,0
Clobetasol,63,0,51,4,0,3,0,0,0,0,4,59,58,0,0,0,4,0,53,0,0,0,0,0,0,0,0,0
Lidocaine,56,1,18,17,12,40,1,1,10,11,18,0,0,0,3,0,1,1,0,0,0,0,21,0,0,0,0,0
Prednisolone,56,2,38,40,8,42,1,0,1,15,9,3,3,2,3,0,2,4,0,0,0,0,11,0,0,0,0,0
Tretinoin,56,0,0,15,0,0,0,0,1,0,0,0,0,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Zinc oxide,56,0,16,13,17,36,0,0,9,13,11,0,0,2,11,0,1,2,0,0,0,0,10,0,0,0,0,0
Minoxidil,52,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indomethacin (Eq To Indometacin),51,0,0,0,5,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tocopherol,46,0,14,22,21,18,0,0,5,18,12,0,0,11,2,0,0,0,0,0,0,0,12,0,0,0,0,0
Piroxicam,40,0,0,0,21,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Povidone-Iodine,40,1,1,1,38,0,0,0,2,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
Fluocinolone,39,1,38,37,13,17,1,1,1,16,5,9,9,0,10,0,5,2,0,7,1,1,0,0,0,0,0,0
Urea,39,3,19,20,1,16,3,3,16,1,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ketoconazole,38,35,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iodochlorhydroxyquin,37,33,32,33,28,1,31,31,0,28,1,0,0,2,27,2,2,3,0,0,0,0,0,0,0,0,0,0
Isoconazole Nitrate,37,29,3,2,0,7,17,12,1,0,0,7,7,0,0,10,0,3,0,0,0,0,0,7,0,0,0,0
Dibucaine,35,0,16,16,6,34,0,0,0,0,23,0,0,0,3,0,0,0,0,0,0,0,5,0,0,0,0,0
Chlorpheniramine Maleate,34,0,15,17,6,23,0,0,4,7,8,0,0,0,3,0,2,1,0,0,0,0,1,0,0,0,0,0
Hydroquinone,34,0,0,15,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diclofenac,33,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethanol ( Eq To Ethyl Alcohol) (Eq To Alcohol),33,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adapalene,32,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzoyl peroxide,31,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Clindamycin,28,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crotamiton,27,2,22,25,1,21,2,2,0,0,0,3,3,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0
Acyclovir,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,0,0,0,0,0,0
Diflucortolone Valerate,25,18,6,5,0,3,6,3,0,0,0,7,7,0,0,3,0,2,0,0,0,0,0,3,0,0,0,0
Nitrofurazone,25,0,7,5,22,7,0,0,0,21,2,0,0,0,13,0,5,6,0,0,0,0,2,0,0,0,0,0
Nystatin,25,6,23,21,18,17,3,1,0,1,0,19,19,0,0,1,2,7,0,0,0,0,0,0,0,0,0,0
Mometasone,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clove Oil,23,0,1,0,6,15,0,0,2,12,4,0,0,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0
Dexamethasone,23,0,9,21,1,7,0,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Eucalyptus Oil (Oleum Eucalypti),23,0,1,0,7,14,0,0,1,12,7,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Iodine (Povidone),23,0,1,1,23,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gramicidin,22,4,22,20,18,17,2,0,0,1,0,18,18,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0
Etofenamate,21,0,0,0,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Undecylenic Acid,21,21,0,0,0,1,21,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Ciclopirox,20,20,0,0,0,0,8,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Fluocinonide,20,2,20,20,2,6,0,0,0,1,0,15,15,1,1,0,7,2,0,7,0,0,0,0,0,0,0,0
Miconazole,20,17,5,7,0,0,13,13,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
Acetamidocaproic Acid -Epsilon (Acexamic Acid),19,0,0,0,19,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bifonazole,19,19,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfadiazine,19,1,3,1,18,10,1,1,0,17,0,0,0,0,13,0,2,3,0,0,0,0,0,0,0,0,0,0
Alcohol,18,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allantoin,17,0,1,0,7,13,0,0,1,3,13,0,0,0,2,0,0,0,0,0,0,0,14,0,0,0,0,0
Cetrimide,17,0,0,0,17,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfadiazine Silver,17,1,0,0,6,0,0,0,0,17,0,0,0,0,0,0,9,10,0,0,0,0,0,0,0,0,0,0
Undecylenate Zinc,17,17,0,0,1,1,17,16,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Fusidic acid,16,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0
Hexachlorophene,16,6,5,4,1,4,6,4,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
Benzocaine,14,1,1,1,1,4,1,0,4,1,4,0,0,0,1,0,1,1,0,0,0,0,3,0,0,0,0,0
Butenafine Hydrochloride,14,14,0,0,0,0,14,14,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
Phenol (Carbolic Acid),14,6,6,1,1,4,9,0,3,1,0,3,3,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0
Ergocalciferol (Vit D,13,0,7,12,12,1,0,0,0,12,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phenylephrine,13,0,6,0,8,9,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0
Metronidazole,12,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
Fluticasone,11,0,2,11,0,11,0,0,0,0,0,11,11,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0
Naftifine Hydrochloride,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calamine,10,0,2,3,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clobetasone Butyrate,10,0,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diflucortolone,10,5,1,0,0,4,6,4,1,0,0,4,4,0,0,4,0,1,0,0,0,0,0,4,0,0,0,0
Erythromycin,10,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Resorcinol (Resorcin),10,2,3,1,0,3,3,0,4,0,0,1,1,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0
Azelaic Acid,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzalkonium Chloride,9,0,0,0,6,3,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcipotriol,9,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centella Asiatica Titrated Extract,9,0,5,0,4,5,0,0,0,4,0,0,0,0,0,0,5,0,0,0,5,5,0,0,0,0,0,0
Diethyltoluamide,9,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iodine,9,1,1,0,1,0,3,0,5,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tazarotene,9,0,0,0,0,0,0,0,0,0,0,9,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin A,9,0,6,8,9,1,0,0,0,8,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin A Palmitate,9,0,3,5,5,2,0,0,2,5,1,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Cresol,8,0,0,0,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diphenylpyraline HCl,8,2,6,6,0,8,2,2,0,0,0,6,6,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Doxepin HCl,8,7,8,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
Escin,8,0,0,0,2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flumethasone Pivalate,8,0,8,8,0,0,0,0,1,0,0,8,8,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0
Hydrogen Peroxide,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Naphazoline HCl,8,0,0,0,4,5,0,0,2,0,2,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Bismuth,7,0,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Cinchocaine,7,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Ethacridine Lactate Monohydrate (Acrinol),7,0,1,0,4,1,0,0,3,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Glycyrrhetic Acid (Eq To Glycyrrhetinic Acid),7,1,3,5,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heparinoid (Sodium Polyanhydromannuronic Acid Sulfate),7,0,0,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isopropyl Alcohol,7,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ketoprofen,7,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfanilamide,7,2,3,1,4,3,1,0,0,3,1,0,0,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0
Capsaicin,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centella Asiatica,6,0,5,0,1,5,0,0,0,1,0,0,0,0,0,0,5,0,0,0,4,4,0,0,0,0,0,0
Glycol Salicylate,6,0,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niflumic Acid,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorbic Acid,6,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacitracin (Zinc) (Potency),5,0,0,0,5,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzethonium Chloride,5,0,0,0,2,1,0,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Benzoic Acid,5,4,1,0,0,0,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Cholecalciferol ( Eq To Vit D,5,0,2,2,2,0,0,0,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desoximetasone,5,0,5,1,0,0,0,0,0,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glycyrrhizinic Acid (Eq To Glycyrrhetinic Acid Glycoside)(Eq To Glycyrrhizic Acid ),5,0,3,4,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potassium Iodide,5,0,0,0,0,0,2,0,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pramoxine HCl,5,0,1,3,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Sodium Chloride,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulconazole Nitrate,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Triclosan (Eq To Irgasan Dp-300) (Eq To Trichlorohydroxydiphenyl Ether),5,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzyl Benzoate,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassia Oil,4,0,0,0,4,2,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Chloramphenicol,4,0,3,3,3,1,0,0,0,3,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0
Cinnamon Oil (Oleum Cinnamomi),4,0,1,0,1,1,0,0,0,2,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Clioquinol,4,4,3,4,4,0,4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Diethylamine Salicylate,4,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imiquimod,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Mesulphen,4,3,1,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0
Peppermint Oil (Oleum Menth Pip),4,0,1,0,2,1,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Povidone-Iodine (Equivalent To Available Iodine,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sulfur (Ppt),4,1,1,1,1,0,1,0,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Thymol,4,0,1,0,2,1,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Vitamin A (Palmitate),4,0,1,2,2,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacitracin,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacitracin Zinc,3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Borneol,3,0,0,0,2,0,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Cajuput Oil,3,0,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Calcitriol (Dihydroxycholecalciferol,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capsicum Tincture,3,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choline Salicylate,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Creosote,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furazolidone,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Ibuprofen,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iodine (Tincture),3,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isopropylmethylphenol,3,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mafenide (Homosulfamine),3,0,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mentha Oil,3,0,1,1,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mupirocin,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
