Ingredient,Ingredient Class,Class Display,Product Count,Top Indications,Related Indications,Co-occurring Ingredients,Representative Products,Summary
Betamethasone,Corticosteroids,類固醇,179,皮膚炎(0.648)；濕疹(0.5922)；黴菌感染(0.4413)；燙傷(0.3184)；香港腳(0.3184)；股癬(0.3184)；傷口(0.2905)；自體免疫／免疫發炎相關皮膚疾病(0.2626),皮膚炎(0.648)；濕疹(0.5922)；黴菌感染(0.4413)；燙傷(0.3184)；香港腳(0.3184)；股癬(0.3184)；傷口(0.2905)；自體免疫／免疫發炎相關皮膚疾病(0.2626),Gentamicin(85)；Tolnaftate(41)；Clotrimazole(41)；Iodochlorhydroxyquin(36)；Salicylic acid(12)；Neomycin(11)；Diphenylpyraline HCl(5)；Lidocaine(4)；Phenylephrine(4)；Clioquinol(4)；Diphenhydramine(3)；Dibucaine(3),"臨得隆乳膏；膚敏樂水溶性軟膏；""生達"" 彼膚妥軟膏；臨得隆維膚水溶性軟膏０．０６％；倍賜爽水溶性軟膏；必汝爽水溶性軟膏０．１％；貝達松藥膏；四聯親水性軟膏；寶爾爽親水軟膏；勇皮親水性軟膏",此成分在資料中主要與皮膚炎、濕疹、黴菌感染相關。
Menthol,Topical anti-inflammatory / analgesic rubefacients,消炎止痛外用,132,搔癢(0.6364)；消炎止痛(0.3333)；燙傷(0.2955)；傷口(0.1742)；皮膚炎(0.1515)；刀傷(0.1288)；濕疹(0.1136)；痔瘡(0.0379),搔癢(0.6364)；消炎止痛(0.3333)；燙傷(0.2955)；傷口(0.1742)；皮膚炎(0.1515)；刀傷(0.1288)；濕疹(0.1136)；痔瘡(0.0379),Camphor(94)；Methyl salicylate(81)；Diphenhydramine(32)；Eucalyptus Oil (Oleum Eucalypti)(23)；Clove Oil(20)；Lidocaine(12)；Chlorpheniramine Maleate(11)；Prednisolone(11)；Zinc oxide(11)；Tocopherol(8)；Chlorhexidine(7)；Glycol Salicylate(6),"""美""利風油；尼斯滅肌勞軟膏；鎮安樂外用軟膏；尼斯達母藥膏；綠靈油；均隆驅風油清香綠；萬綠油；""明通""舒力黃金油；金花精；綠油精",此成分在資料中主要與搔癢、消炎止痛、燙傷相關。
Triamcinolone,Corticosteroids,類固醇,111,濕疹(0.8829)；皮膚炎(0.7027)；黴菌感染(0.6667)；香港腳(0.4685)；股癬(0.4234)；自體免疫／免疫發炎相關皮膚疾病(0.2432)；乾癬／牛皮癬(0.2432)；搔癢(0.2072),濕疹(0.8829)；皮膚炎(0.7027)；黴菌感染(0.6667)；香港腳(0.4685)；股癬(0.4234)；自體免疫／免疫發炎相關皮膚疾病(0.2432)；乾癬／牛皮癬(0.2432)；搔癢(0.2072),Econazole(69)；Neomycin(28)；Nystatin(23)；Gramicidin(22)；Chlortetracycline HCl(1),"""新喜""安西拿朗軟膏；“華興”力卡朗軟膏；""中美"" 膚寧通藥膏；溫刻通水溶性軟膏；優膚可得水溶性軟膏０．５％；優膚可得水溶性軟膏０．１％；雙賓親水軟膏；台裕勇士軟膏；""優良""優膚霜劑（安西諾隆）；""優良""優膚力霜劑",此成分在資料中主要與濕疹、皮膚炎、黴菌感染相關。
Camphor,Topical anti-inflammatory / analgesic rubefacients,消炎止痛外用,110,搔癢(0.6818)；燙傷(0.4091)；傷口(0.2455)；消炎止痛(0.2091)；刀傷(0.2091)；皮膚炎(0.1636)；濕疹(0.1364)；待人工確認(0.0273),搔癢(0.6818)；燙傷(0.4091)；傷口(0.2455)；消炎止痛(0.2091)；刀傷(0.2091)；皮膚炎(0.1636)；濕疹(0.1364)；待人工確認(0.0273),Menthol(94)；Methyl salicylate(75)；Diphenhydramine(26)；Eucalyptus Oil (Oleum Eucalypti)(22)；Clove Oil(19)；Lidocaine(10)；Chlorpheniramine Maleate(10)；Prednisolone(8)；Salicylic acid(5)；Phenol (Carbolic Acid)(5)；Chlorhexidine(5)；Glycol Salicylate(5),"""美""利風油；尼斯滅肌勞軟膏；鎮安樂外用軟膏；尼斯達母藥膏；""長安""常備軟膏；萬綠油；""明通""舒力黃金油；""明通""黃金油；綠油精；""明通"" 面達梅軟膏",此成分在資料中主要與搔癢、燙傷、傷口相關。
Neomycin,Antibiotics / antibacterials,抗生素／抗菌,108,濕疹(0.6667)；傷口(0.6296)；皮膚炎(0.5093)；燙傷(0.4907)；搔癢(0.4074)；刀傷(0.2963)；自體免疫／免疫發炎相關皮膚疾病(0.287)；乾癬／牛皮癬(0.287),濕疹(0.6667)；傷口(0.6296)；皮膚炎(0.5093)；燙傷(0.4907)；搔癢(0.4074)；刀傷(0.2963)；自體免疫／免疫發炎相關皮膚疾病(0.287)；乾癬／牛皮癬(0.287),Triamcinolone(28)；Nystatin(23)；Gramicidin(22)；Hydrocortisone(16)；Fluocinolone(14)；Acetamidocaproic Acid -Epsilon (Acexamic Acid)(14)；Betamethasone(11)；Diphenylpyraline HCl(6)；Centella Asiatica Titrated Extract(5)；Centella Asiatica(5)；Bacitracin (Zinc) (Potency)(5)；Prednisolone(4),"得膚欣軟膏；""紐約"" 新黴素軟膏；保利通軟膏；〝生化〞欣黴素藥膏；奇黴素軟膏；""新喜""安西拿朗軟膏；膚潤康益福軟膏０．０２５％；普力膚軟膏；富爾可寧軟膏；寧速朗軟膏",此成分在資料中主要與濕疹、傷口、皮膚炎相關。
Diphenhydramine,Local anesthetics / antipruritics,局部麻醉／止癢,103,搔癢(0.9223)；皮膚炎(0.5146)；濕疹(0.4369)；消炎止痛(0.1942)；傷口(0.1748)；燙傷(0.1456)；刀傷(0.1068)；痔瘡(0.0388),搔癢(0.9223)；皮膚炎(0.5146)；濕疹(0.4369)；消炎止痛(0.1942)；傷口(0.1748)；燙傷(0.1456)；刀傷(0.1068)；痔瘡(0.0388),Menthol(32)；Zinc oxide(29)；Camphor(26)；Dibucaine(22)；Prednisolone(17)；Methyl salicylate(14)；Sulfadiazine(11)；Hydrocortisone(11)；Tocopherol(8)；Calamine(7)；Fluocinolone(6)；Lidocaine(6),"鎮安樂外用軟膏；""黃氏""好膚康軟膏；""美""解癢藥膏；一二三藥膏；""健康""平痔隆軟膏；立確朗軟膏；抗癢軟膏（外用）；治傷膚軟膏；拉拉新軟膏；""黃氏""倍效止癢軟膏",此成分在資料中主要與搔癢、皮膚炎、濕疹相關。
Hydrocortisone,Corticosteroids,類固醇,103,濕疹(0.699)；搔癢(0.6796)；皮膚炎(0.6214)；痔瘡(0.165)；膿皰(0.1553)；消炎止痛(0.1456)；病毒感染(0.1262)；抗病毒相關(0.1262),濕疹(0.699)；搔癢(0.6796)；皮膚炎(0.6214)；痔瘡(0.165)；膿皰(0.1553)；消炎止痛(0.1456)；病毒感染(0.1262)；抗病毒相關(0.1262),Neomycin(16)；Urea(14)；Dibucaine(12)；Diphenhydramine(11)；Crotamiton(11)；Miconazole(11)；Zinc oxide(9)；Allantoin(8)；Lidocaine(6)；Menthol(5)；Phenylephrine(5)；Centella Asiatica Titrated Extract(5),"""健康"" 害可消軟膏；""人人""氫化可體松軟膏；立確朗軟膏；悠敏軟膏；宜而爽軟膏；""惠民"" 優碘可得爽軟膏；愛碘水溶性軟膏；""正和""愛膚爽軟膏；優皮爽水溶性軟膏；優汝膚水溶性乳膏",此成分在資料中主要與濕疹、搔癢、皮膚炎相關。
Gentamicin,Antibiotics / antibacterials,抗生素／抗菌,100,皮膚炎(0.67)；燙傷(0.63)；濕疹(0.62)；黴菌感染(0.58)；傷口(0.55)；刀傷(0.45)；細菌感染(0.38)；香港腳(0.36),皮膚炎(0.67)；燙傷(0.63)；濕疹(0.62)；黴菌感染(0.58)；傷口(0.55)；刀傷(0.45)；細菌感染(0.38)；香港腳(0.36),Betamethasone(85)；Tolnaftate(41)；Iodochlorhydroxyquin(36)；Clotrimazole(20)；Clioquinol(4)；Fluocinonide(2)；Aloe Vera Gel(1)；Iodochlorhydroxyquin (Chinoform)(1),"倍賜爽水溶性軟膏；貝達松藥膏；四聯親水性軟膏；甘德松親水性軟膏；嘉膚康水溶性軟膏〝嘉信〞；百利環素親水軟膏；爽文親水軟膏；健膚隆親水軟膏；必汝爽－健水溶性軟膏；""杏輝"" 杏聯軟膏",此成分在資料中主要與皮膚炎、燙傷、濕疹相關。
Methyl salicylate,Topical anti-inflammatory / analgesic rubefacients,消炎止痛外用,95,搔癢(0.5789)；燙傷(0.4211)；消炎止痛(0.2842)；傷口(0.2)；皮膚炎(0.1579)；刀傷(0.1474)；濕疹(0.1158)；待人工確認(0.0316),搔癢(0.5789)；燙傷(0.4211)；消炎止痛(0.2842)；傷口(0.2)；皮膚炎(0.1579)；刀傷(0.1474)；濕疹(0.1158)；待人工確認(0.0316),Menthol(81)；Camphor(75)；Eucalyptus Oil (Oleum Eucalypti)(20)；Diphenhydramine(14)；Clove Oil(10)；Chlorpheniramine Maleate(10)；Lidocaine(7)；Prednisolone(6)；Chlorhexidine(5)；Glycol Salicylate(5)；Thymol(4)；Tocopherol(3),"""美""利風油；""健康""健去炎膏；尼斯滅肌勞軟膏；鎮安樂外用軟膏；尼斯達母藥膏；綠靈油；均隆驅風油清香綠；""長安""常備軟膏；萬綠油；金花精",此成分在資料中主要與搔癢、燙傷、消炎止痛相關。
Tolnaftate,Antifungals,抗黴菌,85,黴菌感染(0.9412)；香港腳(0.9412)；股癬(0.9059)；皮膚炎(0.4353)；濕疹(0.4235)；燙傷(0.3765)；傷口(0.3765)；刀傷(0.3765),黴菌感染(0.9412)；香港腳(0.9412)；股癬(0.9059)；皮膚炎(0.4353)；濕疹(0.4235)；燙傷(0.3765)；傷口(0.3765)；刀傷(0.3765),Betamethasone(41)；Gentamicin(41)；Iodochlorhydroxyquin(36)；Chlorhexidine(18)；Hexachlorophene(5)；Salicylic acid(4)；Clioquinol(4)；Methyl salicylate(2)；Diphenylpyraline HCl(2)；Crotamiton(2)；Glycyrrhetic Acid (Eq To Glycyrrhetinic Acid)(1)；Glycyrrhizinic Acid (Eq To Glycyrrhetinic Acid Glycoside)(Eq To Glycyrrhizic Acid )(1),"妥伏癬外用液；特異軟膏；四聯親水性軟膏；納福親水軟膏；癬保寧軟膏；黴佳軟膏；“華興”金妙足軟膏；癬之敵藥膏；妥伏癬水溶性軟膏２％；""優良""膚癬淨軟膏(妥奈泰)",此成分在資料中主要與黴菌感染、香港腳、股癬相關。
