商品名,英文品名,許可證字號,藥品分類,劑型,規格,主要成分,適應症摘要,推定用途分類,適應症完整原文,持有廠商,是否有效,備註,資料來源
"""美""利風油",LIHONYU,內衛成製字第000093號,成藥,外用液劑,瓶裝,Menthol；Camphor；Methyl salicylate；Clove Oil；Eucalyptus Oil (Oleum Eucalypti),搔癢；燙傷,蕁麻疹／搔癢；燙傷／傷口照護,頭眩鼻塞、頭痛牙痛、風濕骨痛、湯火燙傷、舟車暈浪、止癢消腫,長安化學工業股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_7a88eb09-34d9-41b0-9599-0039df13d4da?c=2；https://mcp.fda.gov.tw/insert/lablefiles/257ffce4-0c5b-4b88-8578-16622064b151_0?c=2
皮樂軟膏,PILU OINTMENT,內衛成製字第000114號,指示藥,軟膏劑,軟管裝,Undecylenic Acid；Undecylenate Zinc,黴菌感染；香港腳；股癬,香港腳／股癬／體癬／黴菌感染,治療皮膚表淺性黴菌感染，如足癬(香港腳)、股癬,永茂藥業股份有限公司,是,依完整適應症明確含感染性癬類或黴菌感染。,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_5c6e9101-c192-487b-9a58-1b71264172c3?c=2；https://mcp.fda.gov.tw/insert/lablefiles/4a9e73fe-4621-4ec2-bb5e-f6d5f6fc10d6_0?c=2
速淨－Ｋ消毒液,"SUZINE-K ANTISEPTIC SOLUTION ""S.T.""",內衛成製字第000403號,成藥,外用液劑,塑膠桶裝;;瓶裝,Benzalkonium Chloride,傷口,燙傷／傷口照護,醫療器具、創傷傷口、公共場所之消毒與防黴,信東生技股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_a4501484-a33f-4047-8128-ac9eeee03baf?c=2
"""應元""複方煤溜油醇液","LIQUOR GRESOLIS SAPONATUS ""Y.Y.""",內衛成製字第000434號,成藥,外用液劑,塑膠瓶裝,Cresol,待人工確認,其他常見皮膚外用藥,消毒劑,應元化學製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_c44b7b1a-08c0-4ecd-acc5-4dec9c3f8f85?c=2；https://mcp.fda.gov.tw/insert/lablefiles/48d6c619-32e4-4b8a-9ea3-99cf1ba6668d_0?c=2
"""應元""美克多消毒液１０％","MECETOL SOLUTION 10% ""Y.Y.""",內衛成製字第000437號,成藥,外用液劑,瓶裝,Benzethonium Chloride,待人工確認,其他常見皮膚外用藥,消毒、殺菌,應元化學製藥股份有限公司,是,適應症摘要待人工確認,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_28b3b6f7-03d0-495b-b165-100b03cb8d2e?c=2
"""金蝶牌"" 克膚靈藥膏","CAFFREN OINTMENT ""GOLD BUTTERFLY""",內衛成製字第000541號,成藥,軟膏劑,塑膠瓶裝,Salicylic acid；Sulfanilamide；Sulfur (Purified),濕疹；搔癢；黴菌感染,濕疹／皮膚炎；蕁麻疹／搔癢；香港腳／股癬／體癬／黴菌感染,臭頭、頑癬、頭垢、濕疹、頭皮濕爛、皮膚搔癢,南都化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛成製字第000541號；https://mcp.fda.gov.tw/insert/lablefiles/deb571a2-49fb-4ec0-af84-f781b6c2e7ad_0?c=2;https://mcp.fda.gov.tw/insert/lablefiles/deb571a2-49fb-4ec0-af84-f781b6c2e7ad_1?c=2
"""健康""健去炎膏","KINGISTINE OINTMENT ""HEALTH""",內衛成製字第000568號,成藥,軟膏劑,塑膠瓶裝,Methyl salicylate,消炎止痛,疼痛／消炎止痛外用藥,消毒、消腫、消炎,健康化學製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39
尼斯滅肌勞軟膏,NYSMETHYL OINTMENT,內衛成製字第000879號,成藥,軟膏劑,管裝;;罐裝,Menthol；Camphor；Methyl salicylate,消炎止痛,疼痛／消炎止痛外用藥,肌肉疼痛、肩酸、腰痛、神經痛、頭痛或由過度運動所引起之肌肉疲勞,尼斯可生技股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/a9f9a1a6-8538-4449-bc9d-28aaf31ec815?c=2;https://mcp.fda.gov.tw/insert/pdfcasefile/i_0fe5d03d-6989-4447-8254-dcb68cdb1731?c=2；https://mcp.fda.gov.tw/insert/lablefiles/741e43fd-9cc8-464a-8a1e-476ad5969b12_0?c=2
鎮安樂外用軟膏,CHINALOL OINTMENT,內衛成製字第000896號,成藥,軟膏劑,管裝,Menthol；Camphor；Diphenhydramine；Methyl salicylate；Tocopherol,消炎止痛,疼痛／消炎止痛外用藥,挫傷、捩傷、肩酸、肌肉痛、神經痛、風濕性疼痛,台灣田邊製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/insert/pdfcasefile/i_32f02e49-88a6-41ae-8f35-a3b3b901c5a6?c=2；https://mcp.fda.gov.tw/insert/lablefiles/19bf57be-3755-4556-983f-aa664bdf386b_0?c=2
"""人生""黃藥水","ACRINOL SOLUTION ""JEN SHENG""",內衛成製字第000915號,成藥,外用液劑,塑膠瓶裝,Ethacridine Lactate Monohydrate (Acrinol),傷口,燙傷／傷口照護,感染性疾患及傷口之消毒殺菌,人生製藥股份有限公司,是,,TFDA InfoId 36; TFDA InfoId 37; TFDA InfoId 43; TFDA InfoId 39: https://mcp.fda.gov.tw/exportpdf/內衛成製字第000915號；https://mcp.fda.gov.tw/insert/lablefiles/5a7d7026-3989-4772-bb65-e882f2780ad2_2?c=2
