indication_id,indication_name,base_substance_group,product_count,indication_product_count,proportion
IND001,乾眼／潤滑與淚液不足,SODIUM CARBONATE ANHYDROUS,1,11,0.090909
IND001,乾眼／潤滑與淚液不足,LIFITEGRAST,1,11,0.090909
IND002,過敏性結膜炎／眼部過敏,CHLORPHENIRAMINE,47,95,0.494737
IND002,過敏性結膜炎／眼部過敏,CHONDROITIN SULFATE,25,95,0.263158
IND002,過敏性結膜炎／眼部過敏,NEOSTIGMINE METHYLSULFATE,24,95,0.252632
IND002,過敏性結膜炎／眼部過敏,TAURINE,23,95,0.242105
IND002,過敏性結膜炎／眼部過敏,TETRAHYDROZOLINE,21,95,0.221053
IND002,過敏性結膜炎／眼部過敏,NEOMYCIN,13,95,0.136842
IND002,過敏性結膜炎／眼部過敏,CYANOCOBALAMIN,13,95,0.136842
IND002,過敏性結膜炎／眼部過敏,PYRIDOXINE HCL,12,95,0.126316
IND002,過敏性結膜炎／眼部過敏,PYRIDOXINE HYDROCHLORIDE,12,95,0.126316
IND002,過敏性結膜炎／眼部過敏,AMINOCAPROIC ACID EPSILON-,12,95,0.126316
IND002,過敏性結膜炎／眼部過敏,POTASSIUM L-ASPARTATE,11,95,0.115789
IND002,過敏性結膜炎／眼部過敏,NAPHAZOLINE,10,95,0.105263
IND002,過敏性結膜炎／眼部過敏,PANTHENOL,10,95,0.105263
IND002,過敏性結膜炎／眼部過敏,GLYCYRRHIZINATE DIPOTASSIUM,9,95,0.094737
IND002,過敏性結膜炎／眼部過敏,CROMOGLICIC ACID,9,95,0.094737
IND002,過敏性結膜炎／眼部過敏,ALLANTOIN,7,95,0.073684
IND002,過敏性結膜炎／眼部過敏,ZINC SULFATE HYDRATE,5,95,0.052632
IND002,過敏性結膜炎／眼部過敏,D-ALPHA-TOCOPHEROL ACETATE,5,95,0.052632
IND002,過敏性結膜炎／眼部過敏,TOCOPHEROL ACETATE ALPHA D-,5,95,0.052632
IND002,過敏性結膜炎／眼部過敏,ANTAZOLINE HCL,4,95,0.042105
IND002,過敏性結膜炎／眼部過敏,DIPOTASSIUM GLYCYRRHIZINATE,4,95,0.042105
IND002,過敏性結膜炎／眼部過敏,HYDROCORTISONE ACETATE,4,95,0.042105
IND002,過敏性結膜炎／眼部過敏,KETOROLAC TROMETHAMINE,4,95,0.042105
IND002,過敏性結膜炎／眼部過敏,ASPARTATE POTASSIUM MAGNESIUM L-,4,95,0.042105
IND002,過敏性結膜炎／眼部過敏,ASPARTATE POTASSIUM L-,4,95,0.042105
IND002,過敏性結膜炎／眼部過敏,RETINOL PALMITATE,3,95,0.031579
IND002,過敏性結膜炎／眼部過敏,LOTEPREDNOL ETABONATE,2,95,0.021053
IND002,過敏性結膜炎／眼部過敏,FLAVINEADENINE DINUCLEOTIDE SODIUM,2,95,0.021053
IND002,過敏性結膜炎／眼部過敏,PREDNISOLONE,2,95,0.021053
IND002,過敏性結膜炎／眼部過敏,KETOTIFEN FUMARATE,2,95,0.021053
IND002,過敏性結膜炎／眼部過敏,ZINC SULFATE,2,95,0.021053
IND002,過敏性結膜炎／眼部過敏,KETOTIFEN HYDROGEN FUMARATE,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,GENTAMICIN,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,PEMIROLAST POTASSIUM,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,OLOPATADINE,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,DEXPANTHENOL,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,PANTHENOL D-,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,VITAMIN A PALMITATE,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,20% CHLORHEXIDINE GLUCONATE SOLUTION,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,CHLORHEXIDINE GLUCONATE,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,PHENYLEPHRINE HCL,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,DL-ALPHA-TOCOPHERYL ACETATE,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,EPHEDRINE HCL,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,TOCOPHEROL ACETATE ALPHA DL-,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,TRIAMCINOLONE ACETONIDE,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,ASPARTATE MAGNESIUM L-,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,VITAMIN A,1,95,0.010526
IND002,過敏性結膜炎／眼部過敏,EMEDASTINE,1,95,0.010526
IND003,細菌性眼部感染,NEOMYCIN,33,179,0.184358
IND003,細菌性眼部感染,GENTAMICIN,22,179,0.122905
IND003,細菌性眼部感染,FLUOROMETHOLONE,13,179,0.072626
IND003,細菌性眼部感染,TETRAHYDROZOLINE,12,179,0.067039
IND003,細菌性眼部感染,CHONDROITIN SULFATE,11,179,0.061453
IND003,細菌性眼部感染,CROMOGLICIC ACID,9,179,0.050279
IND003,細菌性眼部感染,SULFAMETHOXAZOLE SODIUM,9,179,0.050279
IND003,細菌性眼部感染,CHLORPHENIRAMINE,8,179,0.044693
IND003,細菌性眼部感染,TOBRAMYCIN,7,179,0.039106
IND003,細菌性眼部感染,PYRIDOXINE HCL,7,179,0.039106
IND003,細菌性眼部感染,HYDROCORTISONE ACETATE,7,179,0.039106
IND003,細菌性眼部感染,NORFLOXACIN,6,179,0.03352
IND003,細菌性眼部感染,CYANOCOBALAMIN,6,179,0.03352
IND003,細菌性眼部感染,TAURINE,4,179,0.022346
IND003,細菌性眼部感染,PANTHENOL,4,179,0.022346
IND003,細菌性眼部感染,ANTAZOLINE HCL,4,179,0.022346
IND003,細菌性眼部感染,SULFAMETHOXAZOLE,4,179,0.022346
IND003,細菌性眼部感染,KETOROLAC TROMETHAMINE,4,179,0.022346
IND003,細菌性眼部感染,CIPROFLOXACIN HCL,3,179,0.01676
IND003,細菌性眼部感染,MOXIFLOXACIN HYDROCHLORIDE,3,179,0.01676
IND003,細菌性眼部感染,CHLORAMPHENICOL,3,179,0.01676
IND003,細菌性眼部感染,NAPHAZOLINE,3,179,0.01676
IND003,細菌性眼部感染,ERYTHROMYCIN,2,179,0.011173
IND003,細菌性眼部感染,LOTEPREDNOL ETABONATE,2,179,0.011173
IND003,細菌性眼部感染,TETRACYCLINE,2,179,0.011173
IND003,細菌性眼部感染,PREDNISOLONE,2,179,0.011173
IND003,細菌性眼部感染,ZINC SULFATE,2,179,0.011173
IND003,細菌性眼部感染,PROCAINE HCL,2,179,0.011173
IND003,細菌性眼部感染,KETOTIFEN FUMARATE,2,179,0.011173
IND003,細菌性眼部感染,LEVOFLOXACIN HEMIHYDRATE,2,179,0.011173
IND003,細菌性眼部感染,DEXAMETHASONE,2,179,0.011173
IND003,細菌性眼部感染,POLYMYXIN B SULFATE,2,179,0.011173
IND003,細菌性眼部感染,TETRACYCLINE HCL,2,179,0.011173
IND003,細菌性眼部感染,OFLOXACIN,2,179,0.011173
IND003,細菌性眼部感染,VITAMIN A,1,179,0.005587
