class_id,code,class_name,classification_system
AHFS_DI-08121800,08121800,抗生素-恩菎類藥,AHFS_DI
AHFS_DI-48103200,48103200,Mast-cell stabilizers,AHFS_DI
AHFS_DI-52020000,52020000,抗過敏劑,AHFS_DI
AHFS_DI-52040000,52040000,抗感染劑,AHFS_DI
AHFS_DI-52040400,52040400,抗生素類,AHFS_DI
AHFS_DI-52042000,52042000,抗濾過性病毒藥,AHFS_DI
AHFS_DI-52049200,52049200,其他抗感染劑,AHFS_DI
AHFS_DI-52080800,52080800,類固醇,AHFS_DI
AHFS_DI-52082000,52082000,非固醇類抗發炎劑,AHFS_DI
AHFS_DI-52160000,52160000,局部麻醉劑,AHFS_DI
AHFS_DI-52240000,52240000,散瞳劑,AHFS_DI
AHFS_DI-52320000,52320000,血管收縮劑,AHFS_DI
AHFS_DI-52400800,52400800,β-adrenergic agents,AHFS_DI
AHFS_DI-52402000,52402000,Miotics,AHFS_DI
AHFS_DI-52409200,52409200,"Antiglaucoma agents, miscellaneous",AHFS_DI
AHFS_DI-52920000,52920000,其他眼耳鼻喉製劑,AHFS_DI
AHFS_DI-84060000,84060000,抗發炎劑,AHFS_DI
ATC-A03BA01,A03BA01,atropine,ATC
ATC-A07AX,A07AX,Other intestinal antiinfectives,ATC
ATC-A11AB,A11AB,"Multivitamins, other combinations",ATC
ATC-A11CA01,A11CA01,retinol (vit A),ATC
ATC-A11EX,A11EX,"Vitamin B-complex, other combinations",ATC
ATC-A11HA,A11HA,Other plain vitamin preparations,ATC
ATC-A11HA02,A11HA02,pyridoxine (vit B6),ATC
ATC-A11HA03,A11HA03,tocopherol (vit E),ATC
ATC-A11HA04,A11HA04,riboflavin (vit B2),ATC
ATC-A11HA06,A11HA06,pyridoxal phosphate,ATC
ATC-A11HA30,A11HA30,dexpanthenol,ATC
ATC-A12BA,A12BA,Potassium,ATC
ATC-A12CC05,A12CC05,magnesium aspartate,ATC
ATC-B02AA01,B02AA01,aminocaproic acid,ATC
ATC-B03BA01,B03BA01,cyanocobalamin,ATC
ATC-D06AX04,D06AX04,neomycin,ATC
ATC-D07AA02,D07AA02,hydrocortisone,ATC
ATC-D07CC01,D07CC01,betamethasone and antibiotics,ATC
ATC-J01GB04,J01GB04,kanamycin,ATC
ATC-M01AX25,M01AX25,chondroitin sulfate,ATC
ATC-N07AA01,N07AA01,neostigmine,ATC
ATC-R01AC04,R01AC04,,ATC
ATC-R06AB02,R06AB02,,ATC
ATC-R06AB04,R06AB04,chlorphenamine,ATC
ATC-S01A,S01A,ANTIINFECTIVES,ATC
ATC-S01AA,S01AA,Antibiotics,ATC
ATC-S01AA01,S01AA01,chloramphenicol,ATC
ATC-S01AA02,S01AA02,chlortetracycline,ATC
ATC-S01AA03,S01AA03,neomycin,ATC
ATC-S01AA04,S01AA04,oxytetracycline,ATC
ATC-S01AA09,S01AA09,tetracycline,ATC
ATC-S01AA10,S01AA10,natamycin,ATC
ATC-S01AA11,S01AA11,gentamicin,ATC
ATC-S01AA12,S01AA12,tobramycin,ATC
ATC-S01AA13,S01AA13,fusidic acid,ATC
ATC-S01AA17,S01AA17,erythromycin,ATC
ATC-S01AA18,S01AA18,polymyxin B,ATC
ATC-S01AA20,S01AA20,antibiotics in combination with other drugs,ATC
ATC-S01AA30,S01AA30,combinations of different antibiotics,ATC
ATC-S01AB,S01AB,Sulfonamides,ATC
ATC-S01AB04,S01AB04,sulfacetamide,ATC
ATC-S01AD01,S01AD01,idoxuridine,ATC
ATC-S01AD03,S01AD03,aciclovir,ATC
ATC-S01AE01,S01AE01,ofloxacin,ATC
ATC-S01AE02,S01AE02,norfloxacin,ATC
ATC-S01AE03,S01AE03,ciprofloxacin,ATC
ATC-S01AE04,S01AE04,lomefloxacin,ATC
ATC-S01AE05,S01AE05,levofloxacin,ATC
ATC-S01AE07,S01AE07,moxifloxacin,ATC
ATC-S01AE08,S01AE08,besifloxacin,ATC
ATC-S01AX,S01AX,Other antiinfectives,ATC
