product_id,class_id,is_primary,source_id
P000001,CLASS-UNMAPPED,true,SRC001
P000002,CLASS-UNMAPPED,true,SRC001
P000003,CLASS-UNMAPPED,true,SRC001
P000004,CLASS-UNMAPPED,true,SRC001
P000005,ATC-S01XA,true,SRC003
P000005,ATC-S01GX,false,SRC003
P000005,ATC-S01XA,false,SRC003
P000006,ATC-S01AA30,true,SRC003
P000006,ATC-S01AA18,false,SRC003
P000006,ATC-S01AA04,false,SRC003
P000007,ATC-S01AA09,true,SRC003
P000007,AHFS_DI-52040400,false,SRC004
P000008,ATC-S01CA,true,SRC003
P000008,ATC-S01AA03,false,SRC003
P000008,ATC-S01BA05,false,SRC003
P000009,ATC-S01BA03,true,SRC003
P000010,ATC-S01AA02,true,SRC003
P000010,AHFS_DI-52040400,false,SRC004
P000011,CLASS-UNMAPPED,true,SRC001
P000012,CLASS-UNMAPPED,true,SRC001
P000013,CLASS-UNMAPPED,true,SRC001
P000014,CLASS-UNMAPPED,true,SRC001
P000015,ATC-S01BA03,true,SRC003
P000016,ATC-S01GA51,true,SRC003
P000016,ATC-S01XA,false,SRC003
P000016,ATC-S01GA01,false,SRC003
P000016,ATC-S01XA02,false,SRC003
P000017,ATC-S01CA05,true,SRC003
P000017,ATC-S01AA03,false,SRC003
P000017,ATC-S01BA04,false,SRC003
P000018,ATC-S01AA09,true,SRC003
P000019,ATC-S01GA52,true,SRC003
P000020,CLASS-UNMAPPED,true,SRC001
P000021,CLASS-UNMAPPED,true,SRC001
P000022,ATC-S01AA,true,SRC003
P000023,CLASS-UNMAPPED,true,SRC001
P000024,CLASS-UNMAPPED,true,SRC001
P000025,ATC-S01BA06,true,SRC003
P000025,AHFS_DI-52080800,false,SRC004
P000026,ATC-S01GA55,true,SRC003
P000026,ATC-V07,false,SRC003
P000026,ATC-S01GA05,false,SRC003
P000027,ATC-S01AA09,true,SRC003
P000028,ATC-S01AA30,true,SRC003
P000028,ATC-S01AA,false,SRC003
P000028,ATC-S01AA03,false,SRC003
P000029,CLASS-UNMAPPED,true,SRC001
P000030,CLASS-UNMAPPED,true,SRC001
P000031,CLASS-UNMAPPED,true,SRC001
P000032,CLASS-UNMAPPED,true,SRC001
P000033,ATC-S01GX,true,SRC003
P000033,ATC-S01XA,false,SRC003
P000033,ATC-S01XA02,false,SRC003
P000033,ATC-A11HA30,false,SRC003
P000033,ATC-S01GX,false,SRC003
P000034,ATC-S01CA01,true,SRC003
P000034,ATC-S01AA03,false,SRC003
P000034,ATC-S01BA01,false,SRC003
P000035,CLASS-UNMAPPED,true,SRC001
P000036,CLASS-UNMAPPED,true,SRC001
P000037,CLASS-UNMAPPED,true,SRC001
P000038,CLASS-UNMAPPED,true,SRC001
P000039,ATC-S01AB,true,SRC003
P000039,ATC-S01XA,false,SRC003
