product_id,indication_id,evidence_text,mapping_method,source_id,confirmed
P000001,IND003,結膜炎、紅腫、視網膜炎、流淚、眼澀,keyword_rule_v1,SRC001,true
P000002,IND003,治眼部之細菌感染症、如瞼腺炎、急性及慢性結合膜、角膜潰瘍、沙眼感染等,keyword_rule_v1,SRC001,true
P000003,IND003,結膜炎、角膜炎、淚囊炎、紫外線引起之眼炎、眼充血,keyword_rule_v1,SRC001,true
P000003,IND005,結膜炎、角膜炎、淚囊炎、紫外線引起之眼炎、眼充血,keyword_rule_v1,SRC001,true
P000003,IND011,結膜炎、角膜炎、淚囊炎、紫外線引起之眼炎、眼充血,keyword_rule_v1,SRC001,true
P000004,IND003,結膜炎、眼瞼緣炎、虹彩炎、眼角炎,keyword_rule_v1,SRC001,true
P000004,IND005,結膜炎、眼瞼緣炎、虹彩炎、眼角炎,keyword_rule_v1,SRC001,true
P000005,IND003,紫外線或其他光線所引起的眼炎、眼病預防、結膜炎、結膜充血、角膜炎、眼瞼緣炎、淚囊炎,keyword_rule_v1,SRC001,true
P000005,IND005,紫外線或其他光線所引起的眼炎、眼病預防、結膜炎、結膜充血、角膜炎、眼瞼緣炎、淚囊炎,keyword_rule_v1,SRC001,true
P000005,IND011,紫外線或其他光線所引起的眼炎、眼病預防、結膜炎、結膜充血、角膜炎、眼瞼緣炎、淚囊炎,keyword_rule_v1,SRC001,true
P000006,IND003,細菌性眼部感染、砂眼,keyword_rule_v1,SRC001,true
P000007,IND003,對四環族抗生素敏感菌所引起之眼感染症、砂眼,keyword_rule_v1,SRC001,true
P000008,IND002,過敏性角膜炎、結膜炎,keyword_rule_v1,SRC001,true
P000008,IND003,過敏性角膜炎、結膜炎,keyword_rule_v1,SRC001,true
P000008,IND005,過敏性角膜炎、結膜炎,keyword_rule_v1,SRC001,true
P000009,IND003,角膜炎、結膜炎、帶狀？疹性眼病、鞏膜炎,keyword_rule_v1,SRC001,true
P000009,IND005,角膜炎、結膜炎、帶狀？疹性眼病、鞏膜炎,keyword_rule_v1,SRC001,true
P000010,IND003,對四環族抗生素敏感細引致之各種眼感染症、砂眼,keyword_rule_v1,SRC001,true
P000011,IND003,眼部炎症、角膜炎、結膜炎,keyword_rule_v1,SRC001,true
P000011,IND005,眼部炎症、角膜炎、結膜炎,keyword_rule_v1,SRC001,true
P000012,IND003,結膜炎、角膜炎,keyword_rule_v1,SRC001,true
P000012,IND005,結膜炎、角膜炎,keyword_rule_v1,SRC001,true
P000013,IND003,有感受性之革蘭氏陽性菌、陰性菌、大型濾過性病毒引起之眼部感染症,keyword_rule_v1,SRC001,true
P000013,IND013,有感受性之革蘭氏陽性菌、陰性菌、大型濾過性病毒引起之眼部感染症,keyword_rule_v1,SRC001,true
P000014,IND003,角膜炎、結膜炎、眼瞼緣炎,keyword_rule_v1,SRC001,true
P000014,IND005,角膜炎、結膜炎、眼瞼緣炎,keyword_rule_v1,SRC001,true
