product_substance_id,product_id,substance_id,raw_name,standardized_name,chinese_name,english_name,salt_ester_hydrate_form,base_substance_group,amount_raw,amount,unit,role,formulation_function,role_assignment_method,source_id,confirmed
PS-P000009-001,P000009,S00081,CORTISONE ACETATE,CORTISONE ACETATE,,CORTISONE ACETATE,CORTISONE ACETATE,CORTISONE ACETATE,25,25.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000010-001,P000010,S00067,CHLORTETRACYCLINE HCL,CHLORTETRACYCLINE HCL,,CHLORTETRACYCLINE HCL,CHLORTETRACYCLINE HCL,CHLORTETRACYCLINE HCL,10,10.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000024-001,P000024,S00316,SULFAMETHOXAZOLE,SULFAMETHOXAZOLE,,SULFAMETHOXAZOLE,SULFAMETHOXAZOLE,SULFAMETHOXAZOLE,40,40.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000025-001,P000025,S00037,BETAMETHASONE DISODIUM PHOSPHATE,BETAMETHASONE DISODIUM PHOSPHATE,,BETAMETHASONE DISODIUM PHOSPHATE,BETAMETHASONE DISODIUM PHOSPHATE,BETAMETHASONE,1,1.000000,MG,buffer,緩衝劑,rule_based,SRC002,false
PS-P000026-001,P000026,S00247,PHENYLEPHRINE HCL,PHENYLEPHRINE HCL,,PHENYLEPHRINE HCL,PHENYLEPHRINE HCL,PHENYLEPHRINE HCL,0.25,0.250000,GM,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000026-002,P000026,S00063,CHLOROBUTANOL (TRICHLORISOBUTYLIC ALCOHOL),CHLOROBUTANOL (TRICHLORISOBUTYLIC ALCOHOL),,CHLOROBUTANOL (TRICHLORISOBUTYLIC ALCOHOL),CHLOROBUTANOL (TRICHLORISOBUTYLIC ALCOHOL),CHLOROBUTANOL,0.40,0.400000,GM,preservative,防腐劑／保存劑,rule_based,SRC002,false
PS-P000034-001,P000034,S00097,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE,(eq. to Dexamethasone Phosphate....1mg),1.090000,MG,buffer,緩衝劑,rule_based,SRC002,false
PS-P000034-002,P000034,S00225,NEOMYCIN SULFATE,NEOMYCIN SULFATE,,NEOMYCIN SULFATE,NEOMYCIN SULFATE,NEOMYCIN,(eq. to Neomycin Base.....3.5mg),5.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
PS-P000035-001,P000035,S00095,DEXAMETHASONE PHOSPHATE (21-BETA),DEXAMETHASONE PHOSPHATE (21-BETA),,DEXAMETHASONE PHOSPHATE (21-BETA),DEXAMETHASONE PHOSPHATE (21-BETA),DEXAMETHASONE,0.50,0.500000,MG,buffer,緩衝劑,rule_based,SRC002,false
PS-P000035-002,P000035,S00225,NEOMYCIN SULFATE,NEOMYCIN SULFATE,,NEOMYCIN SULFATE,NEOMYCIN SULFATE,NEOMYCIN,5.00,5.000000,MG,active,治療性有效成分（排除已辨識賦形劑後）,rule_based,SRC002,false
