product_id,license_number,chinese_name,english_name,dosage_form_raw,dosage_form_normalized,route_raw,route_normalized,ophthalmic_inclusion_evidence,legal_category,therapeutic_class,applicant,manufacturer,indication_raw,license_status,license_expiry_date,status_checked_at,default_include_in_search,default_include_in_statistics,preservative_free_status,preservative_free_evidence,source_id,verified_at
P000001,內衛成製字第000946號,安福明眼藥水,"SULPHRINE EYE DROP ""KINGDOM""",點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,成藥,待分類,景德製藥股份有限公司,景德製藥股份有限公司土城工廠,結膜炎、紅腫、視網膜炎、流淚、眼澀,註銷,1998/05/25,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000002,內衛藥製字第000491號,紅黴素眼藥膏,ILOTYCIN OPHTHALMIC OINTMENT,點眼膏劑,ophthalmic_ointment,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,待分類,臺灣禮來股份有限公司,臺灣禮來股份有限公司新竹廠,治眼部之細菌感染症、如瞼腺炎、急性及慢性結合膜、角膜潰瘍、沙眼感染等,註銷,2004/06/30,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000003,內衛藥製字第001635號,舒滴兒眼藥水,SUTEAR EYE LOTION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須經醫師指示使用,待分類,東和藥品工業有限公司,溫士頓醫藥股份有限公司,結膜炎、角膜炎、淚囊炎、紫外線引起之眼炎、眼充血,屆期未展延,2004/03/01,2026-07-10,false,false,contains_preservative,TFDA 詳細處方成分列有經規則辨識之保存劑；角色仍需仿單人工複核,SRC001,2026-07-10
P000004,內衛藥製字第001722號,夏用目藥,"SUMMER EYE  DROPS ""SUN""",點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須經醫師指示使用,待分類,大陽製藥股份有限公司,大陽製藥股份有限公司,結膜炎、眼瞼緣炎、虹彩炎、眼角炎,註銷,1985/02/01,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000005,內衛藥製字第001905號,舒麗爽眼藥水,Shiny Eye Drops,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,醫師藥師藥劑生指示藥品,Other ophthalmologicals,麥迪森醫藥股份有限公司,麥迪森醫藥股份有限公司桃園廠,紫外線或其他光線所引起的眼炎、眼病預防、結膜炎、結膜充血、角膜炎、眼瞼緣炎、淚囊炎,有效,2027/01/25,2026-07-10,true,true,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000006,內衛藥製字第002683號,地靈黴素眼藥膏,TERRAMYCIN OPHTHALMIC OINTMENT,點眼膏劑,ophthalmic_ointment,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,combinations of different antibiotics,輝瑞大藥廠股份有限公司淡水廠,輝瑞大藥廠股份有限公司淡水廠,細菌性眼部感染、砂眼,註銷,1998/04/10,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000007,內衛藥製字第003609號,鉑黴素眼用軟膏,"ACHROMYCIN EYE OINTMENT 1% ""LEDERLE""",點眼膏劑,ophthalmic_ointment,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,tetracycline,臺灣惠氏股份有限公司新竹廠,臺灣惠氏股份有限公司新竹廠,對四環族抗生素敏感菌所引起之眼感染症、砂眼,註銷,2008/05/17,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000008,內衛藥製字第003677號,"""台灣氰胺""立可通新黴素眼用軟膏","LEDERCORT EYE OINTMENT WITH NEOMYCIN ""LEDERLE",眼用軟膏劑,ophthalmic_ointment,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,Corticosteroids and antiinfectives in combination,輝瑞生技股份有限公司,輝瑞生技股份有限公司新竹廠,過敏性角膜炎、結膜炎,註銷,2018/05/27,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000009,內衛藥製字第004067號,刻通眼藥水,COTONG OPTHALMIC SUSPENSION,點眼液劑,ophthalmic_solution,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,cortisone,國際新藥工業股份有限公司,國際新藥工業股份有限公司,角膜炎、結膜炎、帶狀？疹性眼病、鞏膜炎,註銷,2019/02/01,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
P000010,內衛藥製字第004102號,金黴素眼用藥膏,AUREOMYCIN OINTMENT,點眼膏劑,ophthalmic_ointment,由官方劑型判定,ophthalmic,dosage_form_explicitly_ophthalmic; TFDA license dataset SRC001,須由醫師處方使用,chlortetracycline,臺灣惠氏股份有限公司新竹廠,臺灣惠氏股份有限公司新竹廠,對四環族抗生素敏感細引致之各種眼感染症、砂眼,註銷,2008/06/04,2026-07-10,false,false,unknown,官方開放欄位未明確證實無保存劑；未列出保存劑不得推定為無保存劑,SRC001,2026-07-10
