substance_type,substance_a,substance_b,cooccurring_product_count,statistics_scope
active,CHLORPHENIRAMINE,CHONDROITIN SULFATE,32,effective licenses only
active,CHLORPHENIRAMINE,TAURINE,25,effective licenses only
active,CHLORPHENIRAMINE,NEOSTIGMINE METHYLSULFATE,25,effective licenses only
active,CHLORPHENIRAMINE,CYANOCOBALAMIN,19,effective licenses only
active,CHLORPHENIRAMINE,PYRIDOXINE HCL,19,effective licenses only
active,NEOSTIGMINE METHYLSULFATE,TAURINE,19,effective licenses only
active,CHONDROITIN SULFATE,TAURINE,17,effective licenses only
active,CHLORPHENIRAMINE,TETRAHYDROZOLINE,15,effective licenses only
active,CHLORPHENIRAMINE,PANTHENOL,14,effective licenses only
active,CHONDROITIN SULFATE,PYRIDOXINE HCL,14,effective licenses only
active,CHONDROITIN SULFATE,CYANOCOBALAMIN,14,effective licenses only
active,AMINOCAPROIC ACID EPSILON-,CHLORPHENIRAMINE,12,effective licenses only
active,CHLORPHENIRAMINE,PYRIDOXINE HYDROCHLORIDE,12,effective licenses only
active,CHLORPHENIRAMINE,NAPHAZOLINE,11,effective licenses only
active,AMINOCAPROIC ACID EPSILON-,TAURINE,11,effective licenses only
active,AMINOCAPROIC ACID EPSILON-,NEOSTIGMINE METHYLSULFATE,11,effective licenses only
active,CHONDROITIN SULFATE,NEOSTIGMINE METHYLSULFATE,11,effective licenses only
active,NEOSTIGMINE METHYLSULFATE,PYRIDOXINE HYDROCHLORIDE,11,effective licenses only
active,CHLORPHENIRAMINE,POTASSIUM L-ASPARTATE,11,effective licenses only
active,NEOSTIGMINE METHYLSULFATE,POTASSIUM L-ASPARTATE,10,effective licenses only
active,NEOSTIGMINE METHYLSULFATE,TETRAHYDROZOLINE,10,effective licenses only
active,CHONDROITIN SULFATE,TETRAHYDROZOLINE,9,effective licenses only
active,POTASSIUM L-ASPARTATE,TAURINE,9,effective licenses only
active,CHLORPHENIRAMINE,GLYCYRRHIZINATE DIPOTASSIUM,9,effective licenses only
active,CYANOCOBALAMIN,PYRIDOXINE HCL,9,effective licenses only
active,CHONDROITIN SULFATE,PANTHENOL,8,effective licenses only
active,PYRIDOXINE HCL,TAURINE,8,effective licenses only
