substance_id,original_names,standardized_name,chinese_name,english_name,salt_ester_hydrate_form,base_substance_group,default_analytical_role,normalization_confirmed,source_id
S00001,,,,,,,active,false,SRC002
S00002,20% CHLORHEXIDINE GLUCONATE SOLUTION,20% CHLORHEXIDINE GLUCONATE SOLUTION,,20% CHLORHEXIDINE GLUCONATE SOLUTION,20% CHLORHEXIDINE GLUCONATE SOLUTION,20% CHLORHEXIDINE GLUCONATE SOLUTION,active,false,SRC002
S00003,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,ACETYLCHOLINE CHLORIDE,active,false,SRC002
S00004,ACRIFLAVINE,ACRIFLAVINE,,ACRIFLAVINE,ACRIFLAVINE,ACRIFLAVINE,active,false,SRC002
S00005,ACYCLOVIR,ACYCLOVIR,,ACYCLOVIR,ACYCLOVIR,ACYCLOVIR,active,false,SRC002
S00006,ALLANTOIN,ALLANTOIN,,ALLANTOIN,ALLANTOIN,ALLANTOIN,active,false,SRC002
S00007,AMINACRINE HCL,AMINACRINE HCL,,AMINACRINE HCL,AMINACRINE HCL,AMINACRINE HCL,active,false,SRC002
S00008,AMINOCAPROIC ACID EPSILON-,AMINOCAPROIC ACID EPSILON-,,AMINOCAPROIC ACID EPSILON-,AMINOCAPROIC ACID EPSILON-,AMINOCAPROIC ACID EPSILON-,active,false,SRC002
S00009,AMINOETHYLSULFONIC ACID,AMINOETHYLSULFONIC ACID,,AMINOETHYLSULFONIC ACID,AMINOETHYLSULFONIC ACID,TAURINE,active,false,SRC002
S00010,AMPHOMYCIN (CALCIUM),AMPHOMYCIN (CALCIUM),,AMPHOMYCIN (CALCIUM),AMPHOMYCIN (CALCIUM),AMPHOMYCIN,active,false,SRC002
S00011,ANTAZOLINE HCL,ANTAZOLINE HCL,,ANTAZOLINE HCL,ANTAZOLINE HCL,ANTAZOLINE HCL,active,false,SRC002
S00012,ANTAZOLINE PHOSPHATE,ANTAZOLINE PHOSPHATE,,ANTAZOLINE PHOSPHATE,ANTAZOLINE PHOSPHATE,ANTAZOLINE PHOSPHATE,buffer,false,SRC002
