ingredient_id_a,ingredient_inn_a,ingredient_zh_a,ingredient_id_b,ingredient_inn_b,ingredient_zh_b,cooccurrence_product_count,active_product_count,ingredient_a_product_count,ingredient_b_product_count,rate_within_a,rate_within_b,association_score,product_names,license_numbers
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,ING0052,Glycyrrhetic Acid (Eq To Glycyrrhetinic Acid),,1,1,1,3,1.0000,0.3333,57.7,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,ING0023,Mentha Oil,,1,1,1,14,1.0000,0.0714,26.7,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,ING0049,Tocopherol Acetate,,1,1,1,18,1.0000,0.0556,23.6,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,ING0007,Methyl salicylate,,1,1,1,94,1.0000,0.0106,10.3,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,ING0002,Camphor,,1,1,1,119,1.0000,0.0084,9.2,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,ING0003,Menthol,,1,1,1,124,1.0000,0.0081,9.0,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0013,Bentonite,,ING0014,Kaolin (White)(Bolus Alba),,1,0,1,1,1.0000,1.0000,60.0,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,ING0006,Diphenhydramine,,1,0,1,18,1.0000,0.0556,23.6,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,ING0001,Zinc Oxide,,1,0,1,22,1.0000,0.0455,21.3,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,ING0005,Thymol,,1,0,1,29,1.0000,0.0345,18.6,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,ING0007,Methyl salicylate,,1,0,1,94,1.0000,0.0106,10.3,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,ING0002,Camphor,,1,0,1,119,1.0000,0.0084,9.2,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,ING0003,Menthol,,1,0,1,124,1.0000,0.0081,9.0,撒隆濕布,衛署成製字第002108號
ING0004,Borneol,,ING0005,Thymol,,7,2,12,29,0.5833,0.2414,37.5,"撒隆巴斯;巴士;嘉伊娜巴斯;歡喜巴斯;""正光"" 巴斯藥膠布;大維好安巴斯;""德山""祛酸痛藥膠布",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第003380號;衛署成製字第003786號;衛署成製字第004545號;衛署藥製字第027581號
ING0004,Borneol,,ING0007,Methyl salicylate,,12,2,12,94,1.0000,0.1277,35.7,"撒隆巴斯;巴士;嘉伊娜巴斯;奧林巴斯;痛穩好藥布;歡喜巴斯;""正光"" 巴斯藥膠布;濕痛膏布;大維好安巴斯;""葡萄王"" 百克斯膏布;""德山""祛酸痛藥膠布",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第003240號;衛署成製字第003346號;衛署成製字第003380號;衛署成製字第003786號;衛署成製字第004085號;衛署成製字第004545號;衛署成製字第008494號;衛署藥製字第019363號;衛署藥製字第027581號
ING0004,Borneol,,ING0003,Menthol,,12,2,12,124,1.0000,0.0968,31.1,"撒隆巴斯;巴士;嘉伊娜巴斯;奧林巴斯;痛穩好藥布;歡喜巴斯;""正光"" 巴斯藥膠布;濕痛膏布;大維好安巴斯;""葡萄王"" 百克斯膏布;""德山""祛酸痛藥膠布",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第003240號;衛署成製字第003346號;衛署成製字第003380號;衛署成製字第003786號;衛署成製字第004085號;衛署成製字第004545號;衛署成製字第008494號;衛署藥製字第019363號;衛署藥製字第027581號
ING0004,Borneol,,ING0010,Scopolia Extract,,3,0,12,8,0.2500,0.3750,30.6,奧林巴斯;痛穩好藥布,衛署成製字第003240號;衛署成製字第003346號;衛署成製字第008494號
ING0004,Borneol,,ING0012,Diphenhydramine Hcl,,5,1,12,26,0.4167,0.1923,28.3,"嘉伊娜巴斯;""正光"" 巴斯藥膠布;濕痛膏布;大維好安巴斯;""葡萄王"" 百克斯膏布",衛署成製字第001427號;衛署成製字第003786號;衛署成製字第004085號;衛署成製字第004545號;衛署藥製字第019363號
ING0004,Borneol,,ING0001,Zinc Oxide,,4,0,12,22,0.3333,0.1818,24.6,撒隆巴斯;痛穩好藥布;歡喜巴斯;濕痛膏布,內衛成製字第000061號;衛署成製字第003346號;衛署成製字第003380號;衛署成製字第004085號
ING0004,Borneol,,ING0002,Camphor,,9,2,12,119,0.7500,0.0756,23.8,"撒隆巴斯;巴士;嘉伊娜巴斯;歡喜巴斯;""正光"" 巴斯藥膠布;濕痛膏布;大維好安巴斯;""葡萄王"" 百克斯膏布;""德山""祛酸痛藥膠布",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第003380號;衛署成製字第003786號;衛署成製字第004085號;衛署成製字第004545號;衛署藥製字第019363號;衛署藥製字第027581號
ING0004,Borneol,,ING0016,Chlorpheniramine Maleate,,2,0,12,7,0.1667,0.2857,21.8,奧林巴斯,衛署成製字第003240號;衛署成製字第008494號
ING0004,Borneol,,ING0043,Glycol Monosalicylate,,1,0,12,4,0.0833,0.2500,14.4,"""葡萄王"" 百克斯膏布",衛署藥製字第019363號
ING0004,Borneol,,ING0006,Diphenhydramine,,2,1,12,18,0.1667,0.1111,13.6,"撒隆巴斯;""德山""祛酸痛藥膠布",內衛成製字第000061號;衛署藥製字第027581號
ING0004,Borneol,,ING0046,Tocopherol Acetate Alpha (Eq To Vit E Acetate) (Eq To Vitamin E Acetate),,1,0,12,8,0.0833,0.1250,10.2,"""葡萄王"" 百克斯膏布",衛署藥製字第019363號
ING0004,Borneol,,ING0017,Glycol Salicylate,,2,1,12,44,0.1667,0.0455,8.7,"歡喜巴斯;""德山""祛酸痛藥膠布",衛署成製字第003380號;衛署藥製字第027581號
ING0034,Cajuput Oil,,ING0027,Clove Oil,,2,0,2,3,1.0000,0.6667,75.0,虎標永安堂萬金油（紅）;虎標永安堂萬金油（白）,衛署成製字第009355號;衛署成製字第009356號
ING0034,Cajuput Oil,,ING0002,Camphor,,2,0,2,119,1.0000,0.0168,13.0,虎標永安堂萬金油（紅）;虎標永安堂萬金油（白）,衛署成製字第009355號;衛署成製字第009356號
ING0034,Cajuput Oil,,ING0003,Menthol,,2,0,2,124,1.0000,0.0161,12.7,虎標永安堂萬金油（紅）;虎標永安堂萬金油（白）,衛署成製字第009355號;衛署成製字第009356號
