ingredient_id,ingredient_inn,ingredient_zh,category_id,indication_category,indication_id,indication_standard,product_count,active_product_count,ingredient_total_product_count,indication_total_product_count,within_ingredient_rate,within_indication_rate,association_score,product_names,license_numbers
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,CAT01,肌肉骨骼疼痛與發炎,IND0103,肌肉酸痛,1,1,1,5,1.0000,0.2000,44.7,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,CAT02,外傷與軟組織損傷,IND0031,挫傷,1,1,1,9,1.0000,0.1111,33.3,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,CAT02,外傷與軟組織損傷,IND0143,撞傷,1,1,1,9,1.0000,0.1111,33.3,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,CAT01,肌肉骨骼疼痛與發炎,IND0003,肩膀酸痛,1,1,1,46,1.0000,0.0217,14.7,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,CAT03,神經痛與局部麻醉,IND0001,神經痛,1,1,1,69,1.0000,0.0145,12.0,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0082,4-Hydroxy-3-Methoxybenzyl Nonylic Acid Amide,,CAT01,肌肉骨骼疼痛與發炎,IND0026,關節痛,1,1,1,96,1.0000,0.0104,10.2,痛貼貼溫感貼片劑,衛署藥輸字第025000號
ING0013,Bentonite,,CAT01,肌肉骨骼疼痛與發炎,IND0030,風濕痛,1,0,1,25,1.0000,0.0400,20.0,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,CAT02,外傷與軟組織損傷,IND0015,扭傷,1,0,1,41,1.0000,0.0244,15.6,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,CAT01,肌肉骨骼疼痛與發炎,IND0003,肩膀酸痛,1,0,1,46,1.0000,0.0217,14.7,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,CAT01,肌肉骨骼疼痛與發炎,IND0029,筋肉痛,1,0,1,67,1.0000,0.0149,12.2,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,CAT03,神經痛與局部麻醉,IND0001,神經痛,1,0,1,69,1.0000,0.0145,12.0,撒隆濕布,衛署成製字第002108號
ING0013,Bentonite,,CAT01,肌肉骨骼疼痛與發炎,IND0027,腰痛,1,0,1,118,1.0000,0.0085,9.2,撒隆濕布,衛署成製字第002108號
ING0078,Benzalkonium Chloride,,CAT12,皮膚局部治療,IND0199,切傷,1,0,1,1,1.0000,1.0000,60.0,日方消毒貼布,衛署藥輸字第024744號
ING0078,Benzalkonium Chloride,,CAT12,皮膚局部治療,IND0202,創傷傷口之消毒保護,1,0,1,1,1.0000,1.0000,60.0,日方消毒貼布,衛署藥輸字第024744號
ING0078,Benzalkonium Chloride,,CAT12,皮膚局部治療,IND0201,抓傷,1,0,1,1,1.0000,1.0000,60.0,日方消毒貼布,衛署藥輸字第024744號
