indication_id,indication_standard,source_terms,notes
IND0001,神經痛,神經痛,由官方適應症原文拆解，未建立疾病大類
IND0002,關節炎,關節炎,由官方適應症原文拆解，未建立疾病大類
IND0003,肩膀酸痛,肩膀酸痛,由官方適應症原文拆解，未建立疾病大類
IND0004,碰傷,碰傷,由官方適應症原文拆解，未建立疾病大類
IND0005,腰傷,腰傷,由官方適應症原文拆解，未建立疾病大類
IND0006,頭痛,頭痛,由官方適應症原文拆解，未建立疾病大類
IND0007,牙痛,牙痛,由官方適應症原文拆解，未建立疾病大類
IND0008,扁桃腺炎,扁桃腺炎,由官方適應症原文拆解，未建立疾病大類
IND0009,乳腺炎,乳腺炎,由官方適應症原文拆解，未建立疾病大類
IND0010,筋骨疲勞等炎症,筋骨疲勞等炎症,由官方適應症原文拆解，未建立疾病大類
IND0011,腰酸背痛,腰酸背痛,由官方適應症原文拆解，未建立疾病大類
IND0012,肌肉痛,肌肉痛,由官方適應症原文拆解，未建立疾病大類
IND0013,肌肉疲勞,肌肉疲勞,由官方適應症原文拆解，未建立疾病大類
IND0014,拗傷,拗傷,由官方適應症原文拆解，未建立疾病大類
IND0015,扭傷,扭傷,由官方適應症原文拆解，未建立疾病大類
IND0016,雞眼,雞眼,由官方適應症原文拆解，未建立疾病大類
IND0017,疣贅,疣贅,由官方適應症原文拆解，未建立疾病大類
IND0018,胼胝,胼胝,由官方適應症原文拆解，未建立疾病大類
IND0019,角質剝離劑,角質剝離劑,由官方適應症原文拆解，未建立疾病大類
IND0020,紅腫疼痛,紅腫疼痛,由官方適應症原文拆解，未建立疾病大類
IND0021,退腫,退腫,由官方適應症原文拆解，未建立疾病大類
IND0022,新舊創傷,新舊創傷,由官方適應症原文拆解，未建立疾病大類
IND0023,化膿消腫,化膿消腫,由官方適應症原文拆解，未建立疾病大類
IND0024,神經抽痛,神經抽痛,由官方適應症原文拆解，未建立疾病大類
IND0025,腰骨痠痛,腰骨痠痛,由官方適應症原文拆解，未建立疾病大類
IND0026,關節痛,關節痛,由官方適應症原文拆解，未建立疾病大類
IND0027,腰痛,腰痛,由官方適應症原文拆解，未建立疾病大類
IND0028,筋骨疲勞,筋骨疲勞,由官方適應症原文拆解，未建立疾病大類
IND0029,筋肉痛,筋肉痛,由官方適應症原文拆解，未建立疾病大類
IND0030,風濕痛,風濕痛,由官方適應症原文拆解，未建立疾病大類
IND0031,挫傷,挫傷,由官方適應症原文拆解，未建立疾病大類
IND0032,風濕關節痛,風濕關節痛,由官方適應症原文拆解，未建立疾病大類
IND0033,腫脹,腫脹,由官方適應症原文拆解，未建立疾病大類
IND0034,肩膀痠痛,肩膀痠痛,由官方適應症原文拆解，未建立疾病大類
IND0035,打傷消腫,打傷消腫,由官方適應症原文拆解，未建立疾病大類
IND0036,肩胛酸痛,肩胛酸痛,由官方適應症原文拆解，未建立疾病大類
IND0037,運動後之肌肉疼痛及關節痛,運動後之肌肉疼痛及關節痛,由官方適應症原文拆解，未建立疾病大類
IND0038,肩痛,肩痛,由官方適應症原文拆解，未建立疾病大類
IND0039,風濕關節炎,風濕關節炎,由官方適應症原文拆解，未建立疾病大類
IND0040,筋肉痛之消炎,筋肉痛之消炎,由官方適應症原文拆解，未建立疾病大類
IND0041,濕疹,濕疹,由官方適應症原文拆解，未建立疾病大類
IND0042,汗疹,汗疹,由官方適應症原文拆解，未建立疾病大類
IND0043,潰瘍,潰瘍,由官方適應症原文拆解，未建立疾病大類
IND0044,火傷,火傷,由官方適應症原文拆解，未建立疾病大類
IND0045,燙傷,燙傷,由官方適應症原文拆解，未建立疾病大類
IND0046,皮膚焱等傷患局部之殺菌消毒及消炎,皮膚焱等傷患局部之殺菌消毒及消炎,由官方適應症原文拆解，未建立疾病大類
IND0047,關節痛之消炎,關節痛之消炎,由官方適應症原文拆解，未建立疾病大類
IND0048,腫痛之緩解,腫痛之緩解,由官方適應症原文拆解，未建立疾病大類
IND0049,肩膀痛,肩膀痛,由官方適應症原文拆解，未建立疾病大類
IND0050,腰酸背痛之消炎,腰酸背痛之消炎,由官方適應症原文拆解，未建立疾病大類
IND0051,風濕,風濕,由官方適應症原文拆解，未建立疾病大類
IND0052,關節痛等症之消炎,關節痛等症之消炎,由官方適應症原文拆解，未建立疾病大類
IND0053,打撲,打撲,由官方適應症原文拆解，未建立疾病大類
IND0054,捻挫,捻挫,由官方適應症原文拆解，未建立疾病大類
IND0055,骨折,骨折,由官方適應症原文拆解，未建立疾病大類
IND0056,神精痛,神精痛,由官方適應症原文拆解，未建立疾病大類
IND0057,僂麻質斯,僂麻質斯,由官方適應症原文拆解，未建立疾病大類
