ingredient_id,ingredient_inn,ingredient_zh,indication_id,indication_standard,product_count,license_count,active_license_count,product_names,license_numbers,evidence_source,last_updated
ING0001,Zinc Oxide,,IND0001,神經痛,10,10,3,"""德山"" 免酸痛藥膠布;""德山""象印膏藥膠布;""真富""薄荷膏藥膠布;撒隆巴斯;撒隆濕布;歡喜巴斯;渡邊 久金膏;濕痛膏布;痛穩好藥布;辣椒膏",內衛成製字第000061號;衛署成製字第002108號;衛署成製字第003346號;衛署成製字第003380號;衛署成製字第004085號;衛署成製字第005667號;衛署成製字第005910號;衛署成製字第015313號;衛署藥製字第003950號;衛署藥製字第015679號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0002,關節炎,3,3,2,"""德山"" 免酸痛藥膠布;""真富""薄荷膏藥膠布;撒隆巴斯",內衛成製字第000061號;衛署成製字第005667號;衛署成製字第015313號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0003,肩膀酸痛,4,4,0,撒隆巴斯;撒隆濕布;渡邊 久金膏;濕痛膏布,內衛成製字第000061號;衛署成製字第002108號;衛署成製字第004085號;衛署藥製字第015679號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0004,碰傷,3,3,2,"""德山"" 免酸痛藥膠布;""真富""薄荷膏藥膠布;撒隆巴斯",內衛成製字第000061號;衛署成製字第005667號;衛署成製字第015313號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0005,腰傷,3,3,2,"""德山"" 免酸痛藥膠布;""真富""薄荷膏藥膠布;撒隆巴斯",內衛成製字第000061號;衛署成製字第005667號;衛署成製字第015313號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0006,頭痛,4,4,3,"""德山"" 免酸痛藥膠布;""德山""象印膏藥膠布;""真富""薄荷膏藥膠布;撒隆巴斯",內衛成製字第000061號;衛署成製字第005667號;衛署成製字第005910號;衛署成製字第015313號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0007,牙痛,3,3,2,"""德山"" 免酸痛藥膠布;""真富""薄荷膏藥膠布;撒隆巴斯",內衛成製字第000061號;衛署成製字第005667號;衛署成製字第015313號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0008,扁桃腺炎,1,1,0,撒隆巴斯,內衛成製字第000061號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0009,乳腺炎,1,1,0,撒隆巴斯,內衛成製字第000061號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0001,Zinc Oxide,,IND0010,筋骨疲勞等炎症,1,1,0,撒隆巴斯,內衛成製字第000061號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0002,Camphor,,IND0001,神經痛,52,52,14,"""三陽"" 痠痛萬金膏;""三陽"" 痠痛金絲膏藥布;""人生""舒寧巴斯;""得生""舒痛藥布;""得生""酸痛貼布;""德山"" 免酸痛藥膠布;""德山""祛酸痛藥膠布;""德山""祛風濕藥膠布;""德山""象印膏藥膠布;""德山""青皮藥膠布;""正光"" 巴斯藥膠布;""真富""薄荷膏藥膠布;""葡萄王"" 百克斯膏布;""陽生"" 鎮痛膏布;〝三陽〞金系羔藥布;嘉伊娜巴斯;大維好安巴斯;大維貼痠痛藥布;寶安藥膠布;巴士;悅心巴斯膏布;撒隆巴斯;撒隆濕布;救筋酸痛布;易貼巴佈膏;樂樂鎮痛藥膏布;樂貼藥布;歡喜巴斯;涼涼涼鎮痛藥布;溫貼喜布;濕痛膏布;濕痛藥膏布;生春痠痛寧藥膠布;疼痛膏;痛貼貼溫感貼片劑;痛貼貼貼片劑;百珍膏布;福貼藥布;美帝喜布藥布;美帝喜布藥膠布;耐斯藥膠布;脫酸寧涼藥布;舒可達藥膠布;舒必達藥膠布;舒痛巴佈膏〝葡萄王〞;舒百達藥膠布;貼可藥布;貼可藥膠布;貼溫藥膏布;透骨痠痛布;金龍膏;黃金膏",內衛成製字第000061號;內衛成製字第000971號;衛署成製字第001427號;衛署成製字第002108號;衛署成製字第002303號;衛署成製字第003332號;衛署成製字第003380號;衛署成製字第003598號;衛署成製字第003786號;衛署成製字第003836號;衛署成製字第003972號;衛署成製字第004085號;衛署成製字第004121號;衛署成製字第004148號;衛署成製字第004218號;衛署成製字第004435號;衛署成製字第004545號;衛署成製字第005666號;衛署成製字第005667號;衛署成製字第005716號;衛署成製字第005830號;衛署成製字第005910號;衛署成製字第006647號;衛署成製字第009015號;衛署成製字第011077號;衛署成製字第015313號;衛署藥製字第011334號;衛署藥製字第017039號;衛署藥製字第019363號;衛署藥製字第021345號;衛署藥製字第022623號;衛署藥製字第022741號;衛署藥製字第023884號;衛署藥製字第027371號;衛署藥製字第027399號;衛署藥製字第027581號;衛署藥製字第028231號;衛署藥製字第032109號;衛署藥製字第032110號;衛署藥製字第032920號;衛署藥製字第034095號;衛署藥製字第034140號;衛署藥製字第037295號;衛署藥製字第037297號;衛署藥製字第037298號;衛署藥製字第038086號;衛署藥製字第038309號;衛署藥製字第038322號;衛署藥製字第040571號;衛署藥輸字第018627號;衛署藥輸字第018861號;衛署藥輸字第025000號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
ING0002,Camphor,,IND0002,關節炎,7,7,2,"""三陽"" 痠痛金絲膏藥布;""德山"" 免酸痛藥膠布;""真富""薄荷膏藥膠布;大維好安巴斯;撒隆巴斯;溫貼喜布;金龍膏",內衛成製字第000061號;衛署成製字第003598號;衛署成製字第004545號;衛署成製字第005667號;衛署成製字第015313號;衛署藥製字第017039號;衛署藥製字第034095號,Aggregated from TFDA license indication and ingredient fields,2026-07-11
