ingredient_id,ingredient_inn,ingredient_zh,common_aliases,salt_forms,notes
ING0001,Zinc Oxide,,,,由官方主成分略述標準化；中文名待人工補齊
ING0002,Camphor,,,,由官方主成分略述標準化；中文名待人工補齊
ING0003,Menthol,,,,由官方主成分略述標準化；中文名待人工補齊
ING0004,Borneol,,,,由官方主成分略述標準化；中文名待人工補齊
ING0005,Thymol,,,,由官方主成分略述標準化；中文名待人工補齊
ING0006,Diphenhydramine,,,,由官方主成分略述標準化；中文名待人工補齊
ING0007,Methyl salicylate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0008,Salicylic acid,,,,由官方主成分略述標準化；中文名待人工補齊
ING0009,Sulfanilamide,,,,由官方主成分略述標準化；中文名待人工補齊
ING0010,Scopolia Extract,,,,由官方主成分略述標準化；中文名待人工補齊
ING0011,Phellodendron Extract,,,,由官方主成分略述標準化；中文名待人工補齊
ING0012,Diphenhydramine Hcl,,,,由官方主成分略述標準化；中文名待人工補齊
ING0013,Bentonite,,,,由官方主成分略述標準化；中文名待人工補齊
ING0014,Kaolin (White)(Bolus Alba),,,,由官方主成分略述標準化；中文名待人工補齊
ING0015,Carbo Med.,,,,由官方主成分略述標準化；中文名待人工補齊
ING0016,Chlorpheniramine Maleate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0017,Glycol Salicylate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0018,Phellodendron Bark Powder (Eq To Powdered Phellodendron Bark),,,,由官方主成分略述標準化；中文名待人工補齊
ING0019,Peppermint Oil (Oleum Menth Pip),,,,由官方主成分略述標準化；中文名待人工補齊
ING0020,Gardenia Fruit Powder,,,,由官方主成分略述標準化；中文名待人工補齊
ING0021,Ethacridine Lactate Monohydrate (Acrinol),,,,由官方主成分略述標準化；中文名待人工補齊
ING0022,Zinc Oxide Ointment,,,,由官方主成分略述標準化；中文名待人工補齊
ING0023,Mentha Oil,,,,由官方主成分略述標準化；中文名待人工補齊
ING0024,Olive Oil,,,,由官方主成分略述標準化；中文名待人工補齊
ING0025,Phellodendron Bark,,,,由官方主成分略述標準化；中文名待人工補齊
ING0026,Capsicum,,,CAPSICUM EXTRACT,由官方主成分略述標準化；中文名待人工補齊
ING0027,Clove Oil,,,,由官方主成分略述標準化；中文名待人工補齊
ING0028,Eucalyptus Oil (Oleum Eucalypti),,,,由官方主成分略述標準化；中文名待人工補齊
ING0029,Rose Oil,,,,由官方主成分略述標準化；中文名待人工補齊
ING0030,Salicyl Ethylene Glycol,,,,由官方主成分略述標準化；中文名待人工補齊
ING0031,D-Borneol,,,,由官方主成分略述標準化；中文名待人工補齊
ING0032,GLYCERIN (eq to GLYCEROL),,,,由官方主成分略述標準化；中文名待人工補齊
ING0033,Tocopherol Acetate Alpha Dl-,,,,由官方主成分略述標準化；中文名待人工補齊
ING0034,Cajuput Oil,,,,由官方主成分略述標準化；中文名待人工補齊
ING0035,Prednisolone,,,,由官方主成分略述標準化；中文名待人工補齊
ING0036,Resin,,,,由官方主成分略述標準化；中文名待人工補齊
ING0037,Rubber,,,,由官方主成分略述標準化；中文名待人工補齊
ING0038,Pine Resina,,,,由官方主成分略述標準化；中文名待人工補齊
ING0039,Zinc (Oxide),,,,由官方主成分略述標準化；中文名待人工補齊
ING0040,Menthone,,,,由官方主成分略述標準化；中文名待人工補齊
ING0041,Capsaicin,,,,由官方主成分略述標準化；中文名待人工補齊
ING0042,Colophony (Eq To Rosin),,,,由官方主成分略述標準化；中文名待人工補齊
ING0043,Glycol Monosalicylate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0044,Nonylic-Vanillylamide,,,,由官方主成分略述標準化；中文名待人工補齊
ING0045,Tocopherol Alpha-,,,,由官方主成分略述標準化；中文名待人工補齊
ING0046,Tocopherol Acetate Alpha (Eq To Vit E Acetate) (Eq To Vitamin E Acetate),,,,由官方主成分略述標準化；中文名待人工補齊
ING0047,Phenocoll,,,,由官方主成分略述標準化；中文名待人工補齊
ING0048,Glycyrrhizinic Acid (Eq To Glycyrrhetinic Acid Glycoside)(Eq To Glycyrrhizic Acid ),,,,由官方主成分略述標準化；中文名待人工補齊
ING0049,Tocopherol Acetate,,,,由官方主成分略述標準化；中文名待人工補齊
ING0050,Triamcinolone (Acetonide),,,,由官方主成分略述標準化；中文名待人工補齊
