license_no,license_status,is_active,chinese_name,english_name,dosage_form_raw,dosage_form_standard,patch_type,action_scope,prescription_class,applicant,manufacturer,manufacturer_country,approval_date,license_expiry_date,cancellation_date,indication_raw,usage_raw,package_raw,source_dataset,source_url,leaflet_url,last_verified_at,review_status,notes
內衛成製字第000061號,已註銷,FALSE,撒隆巴斯,SALINPAS,貼片劑,LOCAL_DRUG_PATCH,LOCAL_DRUG_PATCH,LOCAL,成藥,臺灣久光製藥股份有限公司,臺灣久光製藥股份有限公司,TW,1969-05-02,2011-06-30,2010-03-05,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,,盒裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
內衛成製字第000971號,已註銷,FALSE,巴士,"PAS ""JEN SHENG""",硬膏劑,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,乙類成藥,人生製藥股份有限公司,人生製藥股份有限公司,TW,1970-09-29,1991-09-29,1989-08-17,腰酸背痛、神經痛、肌肉痛、肌肉疲勞、拗傷、扭傷,,盒裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
內衛藥製字第003577號,已註銷,FALSE,柳酸絆創膏,SPEEL PLASTER,硬膏劑,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,須經醫師指示使用,美達藥業股份有限公司,威尼斯藥廠有限公司,TW,1970-05-17,2018-05-17,2017-02-18,雞眼、疣贅、胼胝、角質剝離劑,,,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
內衛藥製字第015731號,已註銷,FALSE,化能膏,FUALON PLASTER,硬膏劑,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,須經醫師指示使用,應元化學製藥股份有限公司,應元化學製藥股份有限公司,TW,1970-12-30,1989-05-25,1988-05-06,紅腫疼痛、消炎退腫、新舊創傷、化膿消腫、神經抽痛、腰骨痠痛,,片裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
衛署成製字第001427號,有效,TRUE,嘉伊娜巴斯,"CHIA I NA PA SZU ""CHI LIN PAI""",藥膠布,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,成藥,天理生物科技有限公司,德山製藥股份有限公司,TW,1974-06-20,2028-06-21,,神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞,,片裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
衛署成製字第002108號,已註銷,FALSE,撒隆濕布,SALONS IP,貼片劑,LOCAL_DRUG_PATCH,LOCAL_DRUG_PATCH,LOCAL,成藥,臺灣久光製藥股份有限公司,臺灣久光製藥股份有限公司,TW,1975-10-23,2009-10-23,2010-03-05,扭傷、筋肉痛、腰痛、肩膀酸痛、神經痛、風濕痛,,袋裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
衛署成製字第002303號,已註銷,FALSE,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",硬膏劑,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,成藥,臺灣三陽製藥廠股份有限公司,臺灣三陽製藥廠股份有限公司,TW,1976-07-17,2018-07-17,2015-01-15,肩膀酸痛、腰痛、神經痛、關節痛、筋骨疲勞、扭傷,,袋裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
衛署成製字第003051號,已註銷,FALSE,白金膏,PATEX PAP,硬膏劑,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,成藥,葡萄王生技股份有限公司,葡萄王生技股份有限公司,TW,1978-02-20,2018-02-20,2023-07-12,腰痛、筋肉痛、挫傷、風濕關節痛、關節痛、腫脹,,片裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
衛署成製字第003240號,已註銷,FALSE,奧林巴斯,"OLUM PUR ""KO TAI""",硬膏劑,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,成藥,國泰製藥有限公司,國泰製藥有限公司,TW,1986-05-13,1991-05-26,1991-03-18,關節痛、神經痛、腰痛、肩膀痠痛、肌肉疲勞、打傷消腫,,片裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
衛署成製字第003332號,已註銷,FALSE,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",藥膠布,MEDICATED_PLASTER,MEDICATED_PLASTER,LOCAL,成藥,人生製藥股份有限公司,人生製藥股份有限公司,TW,1978-08-04,2023-08-04,2025-05-14,神經痛、關節痛、肩膀酸痛、腰痛、筋骨疲勞、風濕痛、扭傷、筋肉痛,,袋裝,TFDA open data InfoId=36,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,2026-07-11,OFFICIAL_STRUCTURED_DATA_REVIEWED,
