license_no,chinese_name,english_name,indication_raw,indication_id,indication_standard,mapping_method,confidence,review_status,source_url,notes
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0002,關節炎,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0003,肩膀酸痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0004,碰傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0005,腰傷,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0006,頭痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0007,牙痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0008,扁桃腺炎,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0009,乳腺炎,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000061號,撒隆巴斯,SALINPAS,神經痛、關節炎、肩膀酸痛、碰傷、腰傷、頭痛、牙痛、扁桃腺炎、乳腺炎、筋骨疲勞等炎症,IND0010,筋骨疲勞等炎症,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000971號,巴士,"PAS ""JEN SHENG""",腰酸背痛、神經痛、肌肉痛、肌肉疲勞、拗傷、扭傷,IND0011,腰酸背痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000971號,巴士,"PAS ""JEN SHENG""",腰酸背痛、神經痛、肌肉痛、肌肉疲勞、拗傷、扭傷,IND0001,神經痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000971號,巴士,"PAS ""JEN SHENG""",腰酸背痛、神經痛、肌肉痛、肌肉疲勞、拗傷、扭傷,IND0012,肌肉痛,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
內衛成製字第000971號,巴士,"PAS ""JEN SHENG""",腰酸背痛、神經痛、肌肉痛、肌肉疲勞、拗傷、扭傷,IND0013,肌肉疲勞,RULE_BASED,MEDIUM,OFFICIAL_STRUCTURED_DATA_REVIEWED,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,規則拆解；需人工抽樣確認標準文字是否過度切分
