license_no,chinese_name,english_name,presentation_id,size_raw,width_cm,length_cm,area_cm2,shape,pieces_per_pack,package_raw,strength_per_piece_raw,strength_per_piece_value,strength_per_piece_unit,strength_per_area_value,strength_per_area_unit,release_rate_raw,size_source,source_url,source_page,extraction_method,size_status,review_status,notes
內衛成製字第000061號,撒隆巴斯,SALINPAS,內衛成製字第000061號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
內衛成製字第000971號,巴士,"PAS ""JEN SHENG""",內衛成製字第000971號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
內衛藥製字第003577號,柳酸絆創膏,SPEEL PLASTER,內衛藥製字第003577號-P01,,,,,,,,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
內衛藥製字第015731號,化能膏,FUALON PLASTER,內衛藥製字第015731號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第001427號,嘉伊娜巴斯,"CHIA I NA PA SZU ""CHI LIN PAI""",衛署成製字第001427號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第002108號,撒隆濕布,SALONS IP,衛署成製字第002108號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第002303號,涼涼涼鎮痛藥布,"LIAN LIAN LIAN JENN TONG PLASTER ""SAN YANG""",衛署成製字第002303號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003051號,白金膏,PATEX PAP,衛署成製字第003051號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003240號,奧林巴斯,"OLUM PUR ""KO TAI""",衛署成製字第003240號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003332號,"""人生""舒寧巴斯","SUNIN PLASTER ""JEN SHENG""",衛署成製字第003332號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003346號,痛穩好藥布,"TOWI HO PLASTER ""AID""",衛署成製字第003346號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003380號,歡喜巴斯,"FANCY PAS ""AID""",衛署成製字第003380號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003598號,金龍膏,GOLTEX PAP,衛署成製字第003598號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003786號,"""正光"" 巴斯藥膠布","PASS PLASTER ""C.K.""",衛署成製字第003786號-P01,,,,,,,盒裝;;盒裝;;袋裝;;袋裝;;盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003836號,百珍膏布,"BAE JEN KAO PLASTER ""SAN YANG""",衛署成製字第003836號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003913號,治傷藥布,"CHIH SHANG MULLA ""T.L.""",衛署成製字第003913號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第003972號,悅心巴斯膏布,YUEHSIN PAS PLASTER,衛署成製字第003972號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004085號,濕痛膏布,"SUTON PLASTER ""T.P.""",衛署成製字第004085號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004090號,除痠痛膏布,"CHU SAN TON PLASTER ""NH""",衛署成製字第004090號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004121號,濕痛藥膏布,"SUTON PLASTER ""T.P.""",衛署成製字第004121號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004124號,濕痛藥膏布,"SUTON PLASTER ""T.P.""",衛署成製字第004124號-P01,,,,,,,片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004148號,樂樂鎮痛藥膏布,,衛署成製字第004148號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004211號,金龍藥膏布,"JIN LONG PLASTAR ""S.Y.""",衛署成製字第004211號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004218號,〝三陽〞金系羔藥布,"CHIN SHI KAO PLASTER ""SAN YANG""",衛署成製字第004218號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004435號,黃金膏,"HWANG JIN KAO PLASTER ""S.Y.""",衛署成製字第004435號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第004545號,大維好安巴斯,"HAWANPAS ""T.W.""",衛署成製字第004545號-P01,,,,,,,瓶裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005229號,治痛巴斯藥膠布,,衛署成製字第005229號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005641號,濕痛布,"SHY TONG BUH PLASTER ""SAN YANG""",衛署成製字第005641號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005666號,大維貼痠痛藥布,"SUANTON PASTER ""T.W.""",衛署成製字第005666號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005667號,"""德山"" 免酸痛藥膠布",SALMETON PLASTER,衛署成製字第005667號-P01,,,,,,,盒裝;;盒裝;;盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005700號,"""德山""鎮痛藥膠布","BI-TON-TA PASTER ""DERSAN""",衛署成製字第005700號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005716號,"""德山""青皮藥膠布",CHEN-PI KUM PASTER,衛署成製字第005716號-P01,,,,,,,盒裝;;盒裝;;盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005830號,耐斯藥膠布,"NICE PLASTER ""SAN YANG""",衛署成製字第005830號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005885號,美安絆膠布,MEI AN BAND T.P.,衛署成製字第005885號-P01,,,,,,,盒裝;;片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第005910號,"""德山""象印膏藥膠布","S-I PASTER ""DERSAN""",衛署成製字第005910號-P01,,,,,,,片裝;;片裝;;片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第006647號,疼痛膏,"TERNG TONG KAO PLASTER ""SAN YANG""",衛署成製字第006647號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第007361號,三陽朝日膏,"SHAO PYH KAO PLASTER ""SAN YANG""",衛署成製字第007361號-P01,,,,,,,袋裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第007868號,人生舒冷巴佈膏,"COOL PAP ""JEN SHENG""",衛署成製字第007868號-P01,,,,,,,片裝;;片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第008368號,人生溫感巴佈膏,"HOT PAP ""JEN SHENG""",衛署成製字第008368號-P01,,,,,,,片裝;;片裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
衛署成製字第008493號,治痛巴斯藥膠布,TU TON PAS,衛署成製字第008493號-P01,,,,,,,盒裝,,,,,,,STRUCTURED_DATA,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,,STRUCTURED_TEXT,NOT_FOUND,NEEDS_MANUAL_REVIEW,官方結構化資料未提供可解析尺寸；未以非官方來源推測
