license_no,chinese_name,field_name,raw_value,issue_type,reason,source_url,suggested_action,review_status
衛署藥輸字第005386號,革義齒妥硬膏劑,patch_type/action_scope,硬膏劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛署藥輸字第010671號,護心貼片,patch_type/action_scope,貼片劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛署藥輸字第018261號,耐妥心５號軟片,patch_type/action_scope,貼片劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛署藥輸字第024744號,日方消毒貼布,patch_type/action_scope,貼片劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛署藥輸字第013381號,膚瘡隱膠帶,patch_type/action_scope,硬膏劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛署藥輸字第017471號,艾福達治錠,patch_type/action_scope,貼片劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛部藥輸字第026267號,寧絡貼5%貼布,patch_type/action_scope,貼布劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛署藥輸字第012884號,克暈貼片,patch_type/action_scope,硬膏劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛部藥製字第058054號,安疼片5%,patch_type/action_scope,貼片劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
衛部藥製字第058223號,美帝貼片5%,patch_type/action_scope,貼片劑,CLASSIFICATION_UNCERTAIN,官方結構化欄位不足以可靠判定貼布類型或作用範圍,https://data.fda.gov.tw/opendata/exportDataList.do?method=ExportData&InfoId=36&logType=5,查閱核准仿單或外盒標籤,NEEDS_MANUAL_REVIEW
